Carcass,Unit,Visibility,GroundCover,Season,HabitatType,Split,Size,DateFound
1,1,L,A,SF,HT1,C2,XL,1/1/2017
2,1,L,A,SF,HT1,C2,XL,1/1/2017
3,1,L,A,SF,HT1,C2,XL,1/1/2017
4,1,L,A,SF,HT1,C2,XL,1/1/2017
5,1,L,A,SF,HT1,C2,XL,1/1/2017
6,1,L,A,SF,HT1,C2,XL,1/1/2017
7,1,L,A,SF,HT2,C1,XL,1/1/2017
8,1,L,A,SF,HT2,C1,XL,1/1/2017
9,1,L,A,SF,HT2,C1,XL,1/1/2017
10,1,L,A,SF,HT2,C1,XL,1/1/2017
11,1,L,A,SF,HT2,C2,XL,1/1/2017
12,1,L,A,SF,HT2,C2,XL,1/1/2017
13,1,L,A,SF,HT2,C2,XL,1/1/2017
14,1,L,A,WS,HT1,C1,XL,1/1/2017
15,1,L,A,WS,HT1,C1,XL,1/1/2017
16,1,L,A,WS,HT1,C1,XL,1/1/2017
17,1,L,A,WS,HT1,C2,XL,1/15/2017
18,1,L,A,WS,HT1,C2,XL,1/15/2017
19,1,L,A,WS,HT1,C2,XL,1/15/2017
20,1,L,A,WS,HT1,C2,XL,1/15/2017
21,1,L,A,WS,HT1,C2,XL,1/15/2017
22,1,L,A,WS,HT1,C2,XL,1/15/2017
23,1,L,A,WS,HT2,C1,XL,1/15/2017
24,1,L,A,WS,HT2,C1,XL,1/15/2017
25,1,L,A,WS,HT2,C1,XL,1/15/2017
26,1,L,A,WS,HT2,C2,XL,1/15/2017
27,1,L,A,WS,HT2,C2,XL,1/15/2017
28,1,L,A,WS,HT2,C2,XL,1/15/2017
29,1,L,A,WS,HT2,C2,XL,1/15/2017
30,1,L,A,WS,HT2,C2,XL,1/15/2017
31,1,L,B,SF,HT1,C2,XL,1/15/2017
32,1,L,B,SF,HT1,C2,XL,1/22/2017
33,1,L,B,SF,HT1,C2,XL,1/22/2017
34,1,L,B,SF,HT1,C2,XL,1/22/2017
35,1,L,B,SF,HT2,C1,XL,1/22/2017
36,1,L,B,SF,HT2,C1,XL,1/22/2017
37,1,L,B,SF,HT2,C1,XL,1/22/2017
38,1,L,B,SF,HT2,C2,XL,1/22/2017
39,1,L,B,SF,HT2,C2,XL,1/22/2017
40,1,L,B,SF,HT2,C2,XL,1/22/2017
41,1,L,B,SF,HT2,C2,XL,1/22/2017
42,1,L,B,WS,HT1,C1,XL,1/22/2017
43,1,L,B,WS,HT1,C1,XL,1/22/2017
44,1,L,B,WS,HT1,C1,XL,1/22/2017
45,1,L,B,WS,HT1,C1,XL,1/22/2017
46,1,L,B,WS,HT1,C1,XL,1/22/2017
47,1,L,B,WS,HT1,C1,XL,1/22/2017
48,1,L,B,WS,HT1,C2,XL,1/22/2017
49,1,L,B,WS,HT1,C2,XL,1/22/2017
50,1,L,B,WS,HT1,C2,XL,1/22/2017
51,1,L,B,WS,HT1,C2,XL,1/29/2017
52,1,L,B,WS,HT2,C1,XL,1/29/2017
53,1,L,B,WS,HT2,C1,XL,1/29/2017
54,1,L,B,WS,HT2,C1,XL,1/29/2017
55,1,L,B,WS,HT2,C2,XL,1/29/2017
56,1,L,B,WS,HT2,C2,XL,1/29/2017
57,1,L,B,WS,HT2,C2,XL,1/29/2017
