Turbine,SearchDate,Easting,Northing,SearchArea,a-hat.B,a-hat.S,a-hat.M,a-hat.L,Turb.radius
11,4/3/2009,535136,64895224,RP,0.094,0.011,0.013,0.015,2
11,4/10/2009,535136,64895224,RP,0.094,0.011,0.013,0.015,2
11,4/17/2009,535136,64895224,RP,0.094,0.011,0.013,0.015,2
11,4/24/2009,535136,64895224,RP,0.094,0.011,0.013,0.015,2
11,5/1/2009,535136,64895224,RP,0.094,0.011,0.013,0.015,2
11,5/8/2009,535136,64895224,RP,0.094,0.011,0.013,0.015,2
11,5/15/2009,535136,64895224,RP,0.094,0.011,0.013,0.015,2
11,5/22/2009,535136,64895224,RP,0.094,0.011,0.013,0.015,2
11,5/29/2009,535136,64895224,RP,0.094,0.011,0.013,0.015,2
11,6/5/2009,535136,64895224,RP,0.094,0.011,0.013,0.015,2
11,6/12/2009,535136,64895224,RP,0.094,0.011,0.013,0.015,2
11,6/19/2009,535136,64895224,RP,0.094,0.011,0.013,0.015,2
11,6/26/2009,535136,64895224,RP,0.094,0.011,0.013,0.015,2
11,7/3/2009,535136,64895224,RP,0.094,0.011,0.013,0.015,2
11,7/10/2009,535136,64895224,RP,0.094,0.011,0.013,0.015,2
11,7/17/2009,535136,64895224,RP,0.094,0.011,0.013,0.015,2
11,7/24/2009,535136,64895224,RP,0.094,0.011,0.013,0.015,2
11,7/31/2009,535136,64895224,RP,0.094,0.011,0.013,0.015,2
11,8/7/2009,535136,64895224,RP,0.094,0.011,0.013,0.015,2
11,8/14/2009,535136,64895224,RP,0.094,0.011,0.013,0.015,2
11,8/21/2009,535136,64895224,RP,0.094,0.011,0.013,0.015,2
11,8/28/2009,535136,64895224,RP,0.094,0.011,0.013,0.015,2
11,9/4/2009,535136,64895224,RP,0.094,0.011,0.013,0.015,2
11,9/11/2009,535136,64895224,RP,0.094,0.011,0.013,0.015,2
11,9/18/2009,535136,64895224,RP,0.094,0.011,0.013,0.015,2
11,9/25/2009,535136,64895224,RP,0.094,0.011,0.013,0.015,2
11,10/2/2009,535136,64895224,RP,0.094,0.011,0.013,0.015,2
11,10/9/2009,535136,64895224,RP,0.094,0.011,0.013,0.015,2
11,10/16/2009,535136,64895224,RP,0.094,0.011,0.013,0.015,2
11,10/23/2009,535136,64895224,RP,0.094,0.011,0.013,0.015,2
11,10/30/2009,535136,64895224,RP,0.094,0.011,0.013,0.015,2
15,4/2/2009,535454,64895086,90m,0.912,0.975,0.891,0.802,2
15,4/9/2009,535454,64895086,90m,0.912,0.975,0.891,0.802,2
15,4/16/2009,535454,64895086,90m,0.912,0.975,0.891,0.802,2
15,4/23/2009,535454,64895086,90m,0.912,0.975,0.891,0.802,2
15,4/30/2009,535454,64895086,90m,0.912,0.975,0.891,0.802,2
15,5/7/2009,535454,64895086,90m,0.912,0.975,0.891,0.802,2
15,5/14/2009,535454,64895086,90m,0.912,0.975,0.891,0.802,2
15,5/21/2009,535454,64895086,90m,0.912,0.975,0.891,0.802,2
15,5/28/2009,535454,64895086,90m,0.912,0.975,0.891,0.802,2
15,6/4/2009,535454,64895086,90m,0.912,0.975,0.891,0.802,2
15,6/11/2009,535454,64895086,90m,0.912,0.975,0.891,0.802,2
15,6/18/2009,535454,64895086,90m,0.912,0.975,0.891,0.802,2
15,6/25/2009,535454,64895086,90m,0.912,0.975,0.891,0.802,2
15,7/2/2009,535454,64895086,90m,0.912,0.975,0.891,0.802,2
15,7/9/2009,535454,64895086,90m,0.912,0.975,0.891,0.802,2
15,7/16/2009,535454,64895086,90m,0.912,0.975,0.891,0.802,2
15,7/23/2009,535454,64895086,90m,0.912,0.975,0.891,0.802,2
15,7/30/2009,535454,64895086,90m,0.912,0.975,0.891,0.802,2
15,8/6/2009,535454,64895086,90m,0.912,0.975,0.891,0.802,2
15,8/13/2009,535454,64895086,90m,0.912,0.975,0.891,0.802,2
15,8/20/2009,535454,64895086,90m,0.912,0.975,0.891,0.802,2
15,8/27/2009,535454,64895086,90m,0.912,0.975,0.891,0.802,2
15,9/3/2009,535454,64895086,90m,0.912,0.975,0.891,0.802,2
15,9/10/2009,535454,64895086,90m,0.912,0.975,0.891,0.802,2
15,9/17/2009,535454,64895086,90m,0.912,0.975,0.891,0.802,2
15,9/24/2009,535454,64895086,90m,0.912,0.975,0.891,0.802,2
15,10/1/2009,535454,64895086,90m,0.912,0.975,0.891,0.802,2
15,10/8/2009,535454,64895086,90m,0.912,0.975,0.891,0.802,2
15,10/15/2009,535454,64895086,90m,0.912,0.975,0.891,0.802,2
15,10/22/2009,535454,64895086,90m,0.912,0.975,0.891,0.802,2
15,10/29/2009,535454,64895086,90m,0.912,0.975,0.891,0.802,2
