"","Season","left","right","Visibility"
"1","spring",30.1972222,Inf,"e"
"2","spring",10.9291667,10.9506944,"e"
"3","spring",30.1631944,Inf,"e"
"4","spring",0,16.0847222,"e"
"5","spring",6.7347222,13.3958333,"e"
"6","spring",0,13.3354167,"m"
"7","spring",6.80625,6.9875,"m"
"8","spring",7.0541667,7.9708333,"m"
"9","spring",13.3243056,15.0666667,"m"
"10","spring",13.30625,18.9826389,"m"
"11","summer",42.8916667,Inf,"e"
"12","summer",42.8715278,Inf,"e"
"13","summer",42.8534722,Inf,"e"
"14","summer",32.4736111,32.8486111,"e"
"15","summer",42.1256944,Inf,"e"
"16","summer",7.5423611,8.0333333,"m"
"17","summer",36.0618056,39.8965278,"m"
"18","summer",39.0659722,Inf,"m"
"19","summer",34.9722222,35.9048611,"m"
"20","summer",39.8618056,Inf,"m"
"21","fall",0,12.6340278,"e"
"22","fall",4.2930556,4.2930556,"e"
"23","fall",26.9020833,Inf,"e"
"24","fall",5.3847222,11.2347222,"e"
"25","fall",7.1201389,7.1201389,"e"
"26","winter",40.9875,Inf,"e"
"27","winter",41.0083333,Inf,"e"
"28","winter",12.9909722,Inf,"e"
"29","winter",41.0486111,Inf,"e"
"30","winter",41.025,Inf,"e"
"31","winter",41.0277778,Inf,"e"
"32","winter",26.9861111,Inf,"e"
"33","winter",41.0201389,Inf,"e"
"34","winter",41.0166667,Inf,"e"
"35","winter",40.9819444,Inf,"e"
"36","winter",40.9708333,Inf,"e"
"37","fall",14.9555556,17.5979167,"m"
"38","fall",28.4027778,43.3951389,"m"
"39","fall",16.9069444,17.8243056,"m"
"40","fall",54.9861111,Inf,"m"
"41","winter",41.025,Inf,"m"
"42","winter",41.0083333,Inf,"m"
"43","winter",41.0277778,Inf,"m"
"44","winter",41.0486111,Inf,"m"
"45","winter",40.9875,Inf,"m"
"46","winter",12.9909722,Inf,"m"
"47","fall",33.4875,39.2611111,"m"
"48","winter",40.9708333,Inf,"m"
"49","winter",40.94375,Inf,"m"
"50","winter",41.0201389,Inf,"m"
"51","winter",41.0166667,Inf,"m"
"52","winter",40.9819444,Inf,"m"
