sort,Name,File,Documented,Documentation follows CRAN template,Documented by,Documentation reviewed by,Issues
24,alogit,utility_functions,,,,,
25,averageSS,detection_probability_functions,,,,,
29,calcg,detection_probability_functions,,,,,
26,calcRate,splits_functions,,,,,
27,calcSplits,splits_functions,,,,,
,calcRateC,RcppExports,,,,,Not in export list
,CalcTsplitC,RcppExports,,,,,Not in export list
28,calcTsplit,splits_functions,,,,,
30,checkComponents,model_utility_functions,,,,,
31,clearNotifications,app_message_functions,,,,,
32,combinePreds,model_utility_functions,,,,,
33,combinePredsAcrossModels,model_utility_functions,,,,,
34,countCarcs,app_utility_functions,,,,,
16,CPdistOptions,app_utility_functions,,,,,
35,cpLogLik,carcass_persistence_functions,,,,,
36,cpm,carcass_persistence_functions,,,,,
37,cpmCPCellPlot,carcass_persistence_figure_functions,,,,,
38,cpmSet,carcass_persistence_functions,,,,,
39,cpmSetAICcTab,carcass_persistence_functions,,,,,
40,cpmSetFail,carcass_persistence_functions,,,,,
41,cpmSetFailRemove,carcass_persistence_functions,,,,,
42,cpmSetSize,carcass_persistence_functions,,,,,
43,cpmSetSizeFail,carcass_persistence_functions,,,,,
44,cpmSetSizeFailRemove,carcass_persistence_functions,,,,,
45,cpmSetSpecCPCellPlot,carcass_persistence_figure_functions,,,,,
46,createReactiveValues,app_list_generation_functions,,,,,
47,createvtext,app_welcome_functions,,,,,
48,dateCols,app_utility_functions,,,,,
49,dateToDay,utility_functions,,,,,
17,DWPbyCarcass,mortality_functions,,,,,
18,Ecbinom,utility_functions,,,,,
51,estg,detection_probability_functions,,,,,
52,estgGeneric,detection_probability_functions,,,,,
53,estgGenericSize,detection_probability_functions,,,,,
50,estM,mortality_functions,,,,,
54,isNeverDecreasing,utility_functions,,,,,
55,kFillPropose,detection_probability_functions,,,,,
56,kSuggest,searcher_efficiency_functions,,,,,
57,logit,utility_functions,,,,,
58,ltranspose,splits_functions,,,,,
59,makeMenu,app_utility_functions,,,,,
60,matchCells,model_utility_functions,,,,,
63,modalWelcome,app_welcome_functions,,,,,
61,modNamePaste,app_utility_functions,,,,,
62,modNameSplit,app_utility_functions,,,,,
64,msgModFail,app_message_functions,,,,,
65,msgModPartialFail,app_message_functions,,,,,
66,msgModRun,app_message_functions,,,,,
67,msgNobsSE,app_message_functions,,,,,
69,msgSampleSize,app_message_functions,,,,,
70,msgsplitFail,app_message_functions,,,,,
68,msgSSavgFail,app_message_functions,,,,,
71,pickSizeclass,app_sizeclass_functions,,,,,
72,pkLogLik,searcher_efficiency_functions,,,,,
,pkLogLik2,pkLogLik2,,,,,Not in export list
,pkLogLik3,PkLogLik3,,,,,Not in export list
73,pkm,searcher_efficiency_functions,,,,,
74,pkmParamPlot,searcher_efficiency_figure_functions,,,,,
75,pkmSECellPlot,searcher_efficiency_figure_functions,,,,,
76,pkmSet,searcher_efficiency_functions,,,,,
77,pkmSetAICcTab,searcher_efficiency_functions,,,,,
78,pkmSetFail,searcher_efficiency_functions,,,,,
79,pkmSetFailRemove,searcher_efficiency_functions,,,,,
80,pkmSetSize,searcher_efficiency_functions,,,,,
81,pkmSetSizeFail,searcher_efficiency_functions,,,,,
82,pkmSetSizeFailRemove,searcher_efficiency_functions,,,,,
83,pkmSetSpecParamPlot,searcher_efficiency_figure_functions,,,,,
84,pkmSetSpecSECellPlot,searcher_efficiency_figure_functions,,,,,
85,ppersist,carcass_persistence_functions,,,,,
86,prepPredictors,app_utility_functions,,,,,
87,prepSizeclassText,app_utility_functions,,,,,
88,prettyModTabCP,app_table_functions,,,,,
89,prettyModTabSE,app_table_functions,,,,,
90,prettySplitSpecTab,app_table_functions,,,,,
91,prettySplitTab,app_table_functions,,,,,
92,rcp,carcass_persistence_functions,,,,,
93,removeSelCols,app_utility_functions,,,,,
94,rpk,searcher_efficiency_functions,,,,,
95,runGenEst,app_functions,Yes,,?,,
1,"S3method(plot,cpm)",carcass_persistence_figure_functions,,,,,
2,"S3method(plot,cpmSet)",carcass_persistence_figure_functions,,,,,
3,"S3method(plot,estM)",mortality_figure_functions,,,,,
4,"S3method(plot,gGeneric)",detection_probability_figure_functions,,,,,
5,"S3method(plot,gGenericSize)",detection_probability_figure_functions,,,,,
6,"S3method(plot,pkm)",searcher_efficiency_figure_functions,,,,,
7,"S3method(plot,pkmSet)",searcher_efficiency_figure_functions,,,,,
8,"S3method(plot,splitFull)",splits_figure_functions,,,,,
9,"S3method(plot,splitSummary)",splits_figure_functions,,,,,
10,"S3method(print,cpm)",carcass_persistence_functions,,,,,
11,"S3method(print,pkm)",searcher_efficiency_functions,,,,,
12,"S3method(summary,estM)",mortality_functions,,,,,
13,"S3method(summary,gGeneric)",detection_probability_functions,,,,,
14,"S3method(summary,gGenericSize)",detection_probability_functions,,,,,
15,"S3method(summary,splitFull)",splits_functions,,,,,
