Carcass,Unit,Visibility,GroundCover,Season,HabitatType,Split,SearchSchedule,Size
1,1,L,A,SF,HT1,C2,1,XL
2,1,L,A,SF,HT1,C2,1,XL
3,1,L,A,SF,HT1,C2,1,XL
4,1,L,A,SF,HT1,C2,1,XL
5,1,L,A,SF,HT1,C2,1,XL
6,1,L,A,SF,HT1,C2,1,XL
7,1,L,A,SF,HT2,C1,1,XL
8,1,L,A,SF,HT2,C1,1,XL
9,1,L,A,SF,HT2,C1,1,XL
10,1,L,A,SF,HT2,C1,1,XL
11,1,L,A,SF,HT2,C2,1,XL
12,1,L,A,SF,HT2,C2,1,XL
13,1,L,A,SF,HT2,C2,1,XL
14,1,L,A,WS,HT1,C1,1,XL
15,1,L,A,WS,HT1,C1,1,XL
16,1,L,A,WS,HT1,C1,1,XL
17,1,L,A,WS,HT1,C2,1,XL
18,1,L,A,WS,HT1,C2,1,XL
19,1,L,A,WS,HT1,C2,1,XL
20,1,L,A,WS,HT1,C2,1,XL
21,1,L,A,WS,HT1,C2,1,XL
22,1,L,A,WS,HT1,C2,1,XL
23,1,L,A,WS,HT2,C1,1,XL
24,1,L,A,WS,HT2,C1,1,XL
25,1,L,A,WS,HT2,C1,1,XL
26,1,L,A,WS,HT2,C2,1,XL
27,1,L,A,WS,HT2,C2,1,XL
28,1,L,A,WS,HT2,C2,1,XL
29,1,L,A,WS,HT2,C2,1,XL
30,1,L,A,WS,HT2,C2,1,XL
31,1,L,B,SF,HT1,C2,1,XL
32,1,L,B,SF,HT1,C2,1,XL
33,1,L,B,SF,HT1,C2,1,XL
34,1,L,B,SF,HT1,C2,1,XL
35,1,L,B,SF,HT2,C1,1,XL
36,1,L,B,SF,HT2,C1,1,XL
37,1,L,B,SF,HT2,C1,1,XL
38,1,L,B,SF,HT2,C2,1,XL
39,1,L,B,SF,HT2,C2,1,XL
40,1,L,B,SF,HT2,C2,1,XL
41,1,L,B,SF,HT2,C2,1,XL
42,1,L,B,WS,HT1,C1,1,XL
43,1,L,B,WS,HT1,C1,1,XL
44,1,L,B,WS,HT1,C1,1,XL
45,1,L,B,WS,HT1,C1,1,XL
46,1,L,B,WS,HT1,C1,1,XL
47,1,L,B,WS,HT1,C1,1,XL
48,1,L,B,WS,HT1,C2,1,XL
49,1,L,B,WS,HT1,C2,1,XL
50,1,L,B,WS,HT1,C2,1,XL
51,1,L,B,WS,HT1,C2,1,XL
52,1,L,B,WS,HT2,C1,1,XL
53,1,L,B,WS,HT2,C1,1,XL
54,1,L,B,WS,HT2,C1,1,XL
55,1,L,B,WS,HT2,C2,1,XL
56,1,L,B,WS,HT2,C2,1,XL
57,1,L,B,WS,HT2,C2,1,XL
58,1,M,A,WS,HT2,C1,1,XL
59,1,M,A,WS,HT2,C1,1,XL
60,1,M,A,WS,HT2,C1,1,XL
61,1,M,B,SF,HT2,C2,1,XL
62,1,M,B,SF,HT2,C2,1,XL
63,1,M,B,SF,HT2,C2,1,XL
64,1,M,B,SF,HT2,C2,1,XL
65,1,M,B,SF,HT2,C2,1,XL
66,1,M,B,WS,HT2,C1,1,XL
67,1,M,B,WS,HT2,C1,1,XL
68,1,M,B,WS,HT2,C1,1,XL
69,1,M,B,WS,HT2,C1,1,XL
70,1,M,B,WS,HT2,C1,1,XL
71,1,M,B,WS,HT2,C2,1,XL
72,1,M,B,WS,HT2,C2,1,XL
73,1,M,B,WS,HT2,C2,1,XL
74,1,M,B,WS,HT2,C2,1,XL
75,1,M,B,WS,HT2,C2,1,XL
76,1,M,B,WS,HT2,C2,1,XL
77,1,H,A,WS,HT2,C1,1,XL
78,1,H,A,WS,HT2,C1,1,XL
79,1,H,A,WS,HT2,C1,1,XL
80,1,H,A,WS,HT2,C1,1,XL
