Unit,DateSearched,PWAS_S,PWAS_M,PWAS_L,PWAS_XL
1,1/1/2017,0.7,0.7,0.6,0.6
1,1/8/2017,0.7,0.7,0.6,0.6
1,1/15/2017,0.7,0.7,0.6,0.6
1,1/22/2017,0.7,0.7,0.6,0.6
1,1/29/2017,0.7,0.7,0.6,0.6
1,2/5/2017,0.7,0.7,0.6,0.6
1,2/12/2017,0.7,0.7,0.6,0.6
1,2/19/2017,0.7,0.7,0.6,0.6
1,2/26/2017,0.7,0.7,0.6,0.6
1,3/5/2017,0.7,0.7,0.6,0.6
1,3/12/2017,0.7,0.7,0.6,0.6
1,3/19/2017,0.7,0.7,0.6,0.6
1,3/26/2017,0.7,0.7,0.6,0.6
1,4/2/2017,0.7,0.7,0.6,0.6
1,4/9/2017,0.7,0.7,0.6,0.6
2,1/3/2017,0.7,0.7,0.6,0.6
2,1/10/2017,0.7,0.7,0.6,0.6
2,1/17/2017,0.7,0.7,0.6,0.6
2,1/24/2017,0.7,0.7,0.6,0.6
2,1/31/2017,0.7,0.7,0.6,0.6
2,2/7/2017,0.7,0.7,0.6,0.6
2,2/14/2017,0.7,0.7,0.6,0.6
2,2/21/2017,0.7,0.7,0.6,0.6
2,2/28/2017,0.7,0.7,0.6,0.6
2,3/7/2017,0.7,0.7,0.6,0.6
2,3/14/2017,0.7,0.7,0.6,0.6
2,3/21/2017,0.7,0.7,0.6,0.6
2,3/28/2017,0.7,0.7,0.6,0.6
2,4/4/2017,0.7,0.7,0.6,0.6
2,4/11/2017,0.7,0.7,0.6,0.6
3,1/1/2017,0.56,0.56,0.48,0.48
3,1/3/2017,0.56,0.56,0.48,0.48
3,1/5/2017,0.56,0.56,0.48,0.48
3,1/7/2017,0.56,0.56,0.48,0.48
3,1/9/2017,0.56,0.56,0.48,0.48
3,1/11/2017,0.56,0.56,0.48,0.48
3,1/13/2017,0.56,0.56,0.48,0.48
3,1/15/2017,0.56,0.56,0.48,0.48
3,1/17/2017,0.56,0.56,0.48,0.48
3,1/19/2017,0.56,0.56,0.48,0.48
3,1/21/2017,0.56,0.56,0.48,0.48
3,1/23/2017,0.56,0.56,0.48,0.48
3,1/25/2017,0.56,0.56,0.48,0.48
3,1/27/2017,0.56,0.56,0.48,0.48
3,1/29/2017,0.56,0.56,0.48,0.48
3,1/31/2017,0.56,0.56,0.48,0.48
3,2/2/2017,0.56,0.56,0.48,0.48
3,2/4/2017,0.56,0.56,0.48,0.48
3,2/6/2017,0.56,0.56,0.48,0.48
3,2/8/2017,0.56,0.56,0.48,0.48
3,2/10/2017,0.56,0.56,0.48,0.48
3,2/12/2017,0.56,0.56,0.48,0.48
3,2/14/2017,0.56,0.56,0.48,0.48
3,2/16/2017,0.56,0.56,0.48,0.48
3,2/18/2017,0.56,0.56,0.48,0.48
3,2/20/2017,0.56,0.56,0.48,0.48
3,2/22/2017,0.56,0.56,0.48,0.48
3,2/24/2017,0.56,0.56,0.48,0.48
