ID,Visibility,Season,GroundCover,Size,LastPresentDecimalDays,FirstAbsentDecimalDays
1,L,WS,A,S,0,1
3,L,WS,B,S,0,1
41,M,WS,A,S,0,1
42,M,WS,A,S,0,1
43,M,WS,B,S,0,1
81,H,WS,B,S,0,1
82,H,WS,B,S,0,1
83,H,WS,A,S,0,1
121,L,WS,A,L,0,1
123,L,WS,B,L,0,1
161,M,WS,A,L,0,1
162,M,WS,A,L,0,1
163,M,WS,B,L,0,1
201,H,WS,B,L,0,1
202,H,WS,B,L,0,1
203,H,WS,A,L,0,1
1,L,WS,A,M,0,1
3,L,WS,B,M,0,1
41,M,WS,A,M,0,1
42,M,WS,A,M,0,1
43,M,WS,B,M,0,1
81,H,WS,B,M,0,1
82,H,WS,B,M,0,1
83,H,WS,A,M,0,1
121,L,WS,A,XL,0,1
123,L,WS,B,XL,0,1
161,M,WS,A,XL,0,1
162,M,WS,A,XL,0,1
163,M,WS,B,XL,0,1
201,H,WS,B,XL,0,1
202,H,WS,B,XL,0,1
203,H,WS,A,XL,0,1
2,L,WS,B,S,1,2
4,L,WS,A,S,1,2
5,L,WS,A,S,1,2
21,L,SF,B,S,1,2
44,M,WS,B,S,1,2
45,M,WS,B,S,1,2
46,M,WS,B,S,1,2
61,M,SF,A,S,1,2
62,M,SF,B,S,1,2
84,H,WS,A,S,1,2
85,H,WS,A,S,1,2
86,H,WS,B,S,1,2
101,H,SF,A,S,1,2
102,H,SF,A,S,1,2
122,L,WS,B,L,1,2
124,L,WS,A,L,1,2
125,L,WS,A,L,1,2
141,L,SF,B,L,1,2
164,M,WS,B,L,1,2
181,M,SF,A,L,1,2
182,M,SF,B,L,1,2
204,H,WS,A,L,1,2
205,H,WS,A,L,1,2
206,H,WS,B,L,1,2
221,H,SF,A,L,1,2
222,H,SF,A,L,1,2
2,L,WS,B,M,1,2
4,L,WS,A,M,1,2
5,L,WS,A,M,1,2
21,L,SF,B,M,1,2
44,M,WS,B,M,1,2
45,M,WS,B,M,1,2
46,M,WS,B,M,1,2
61,M,SF,A,M,1,2
62,M,SF,B,M,1,2
84,H,WS,A,M,1,2
85,H,WS,A,M,1,2
86,H,WS,B,M,1,2
101,H,SF,A,M,1,2
102,H,SF,A,M,1,2
122,L,WS,B,XL,1,2
124,L,WS,A,XL,1,2
125,L,WS,A,XL,1,2
141,L,SF,B,XL,1,2
164,M,WS,B,XL,1,2
181,M,SF,A,XL,1,2
182,M,SF,B,XL,1,2
204,H,WS,A,XL,1,2
205,H,WS,A,XL,1,2
206,H,WS,B,XL,1,2
221,H,SF,A,XL,1,2
222,H,SF,A,XL,1,2
6,L,WS,A,S,2,3
7,L,WS,B,S,2,3
47,M,WS,A,S,2,3
87,H,WS,B,S,2,3
88,H,WS,A,S,2,3
165,M,WS,B,L,2,3
166,M,WS,B,L,2,3
167,M,WS,A,L,2,3
207,H,WS,B,L,2,3
208,H,WS,A,L,2,3
6,L,WS,A,M,2,3
7,L,WS,B,M,2,3
47,M,WS,A,M,2,3
87,H,WS,B,M,2,3
88,H,WS,A,M,2,3
165,M,WS,B,XL,2,3
166,M,WS,B,XL,2,3
167,M,WS,A,XL,2,3
207,H,WS,B,XL,2,3
208,H,WS,A,XL,2,3
8,L,WS,B,S,3,7
9,L,WS,B,S,3,7
22,L,SF,B,S,3,7
23,L,SF,A,S,3,7
48,M,WS,A,S,3,7
49,M,WS,A,S,3,7
50,M,WS,B,S,3,7
51,M,WS,B,S,3,7
52,M,WS,A,S,3,7
63,M,SF,B,S,3,7
64,M,SF,A,S,3,7
65,M,SF,A,S,3,7
89,H,WS,A,S,3,7
