ID,Visibility,HabitatType,Season,Size,Search1,Search2,Search3,Search4
1,L,HT1,SF,S,0,1,NA,NA
2,L,HT1,SF,S,0,0,0,0
3,L,HT1,WS,S,0,1,NA,NA
4,L,HT1,WS,S,0,0,0,0
5,L,HT1,WS,S,0,0,0,0
6,L,HT1,SF,S,0,0,0,1
7,L,HT1,WS,S,0,0,0,0
8,L,HT1,WS,S,0,0,0,0
9,L,HT1,SF,S,0,0,0,0
10,L,HT1,SF,S,0,0,0,0
11,L,HT1,WS,S,1,NA,NA,NA
12,L,HT1,SF,S,1,NA,NA,NA
13,L,HT1,SF,S,1,NA,NA,NA
14,L,HT1,SF,S,1,NA,NA,NA
15,L,HT1,WS,S,1,NA,NA,NA
16,L,HT1,WS,S,1,NA,NA,NA
17,L,HT1,WS,S,1,NA,NA,NA
18,L,HT1,SF,S,1,NA,NA,NA
19,L,HT1,WS,S,1,NA,NA,NA
20,L,HT1,WS,S,1,NA,NA,NA
21,L,HT1,SF,L,0,0,0,1
22,L,HT1,SF,L,0,0,0,0
23,L,HT1,WS,L,0,0,0,0
24,L,HT1,SF,L,0,1,NA,NA
25,L,HT1,SF,L,0,0,0,1
26,L,HT1,SF,L,0,1,NA,NA
27,L,HT1,WS,L,0,1,NA,NA
28,L,HT1,WS,L,1,NA,NA,NA
29,L,HT1,WS,L,1,NA,NA,NA
30,L,HT1,SF,L,1,NA,NA,NA
31,L,HT1,WS,L,1,NA,NA,NA
32,L,HT1,WS,L,1,NA,NA,NA
33,L,HT1,SF,L,1,NA,NA,NA
34,L,HT1,SF,L,1,NA,NA,NA
35,L,HT1,WS,L,1,NA,NA,NA
36,L,HT1,SF,L,1,NA,NA,NA
37,L,HT1,SF,L,1,NA,NA,NA
38,L,HT1,SF,L,1,NA,NA,NA
39,L,HT1,WS,L,1,NA,NA,NA
40,L,HT1,WS,L,1,NA,NA,NA
41,H,HT1,WS,S,0,0,0,1
42,H,HT1,SF,S,0,0,0,0
43,H,HT1,WS,S,0,0,0,0
44,H,HT1,WS,S,0,0,0,0
45,H,HT1,SF,S,0,0,0,0
46,H,HT1,SF,S,0,1,NA,NA
47,H,HT1,WS,S,0,0,0,1
48,H,HT1,SF,S,0,0,0,0
49,H,HT1,SF,S,0,1,NA,NA
50,H,HT1,SF,S,1,NA,NA,NA
51,H,HT1,WS,S,1,NA,NA,NA
52,H,HT1,WS,S,1,NA,NA,NA
53,H,HT1,WS,S,1,NA,NA,NA
54,H,HT1,SF,S,1,NA,NA,NA
55,H,HT1,WS,S,1,NA,NA,NA
56,H,HT1,WS,S,1,NA,NA,NA
57,H,HT1,SF,S,1,NA,NA,NA
58,H,HT1,SF,S,1,NA,NA,NA
59,H,HT1,WS,S,1,NA,NA,NA
60,H,HT1,SF,S,1,NA,NA,NA
61,H,HT1,SF,L,0,0,0,0
62,H,HT1,SF,L,0,0,0,0
63,H,HT1,WS,L,0,0,1,NA
64,H,HT1,WS,L,0,1,NA,NA
65,H,HT1,WS,L,0,1,NA,NA
66,H,HT1,SF,L,0,0,0,0
67,H,HT1,WS,L,1,NA,NA,NA
68,H,HT1,WS,L,1,NA,NA,NA
69,H,HT1,SF,L,1,NA,NA,NA
70,H,HT1,SF,L,1,NA,NA,NA
71,H,HT1,WS,L,1,NA,NA,NA
72,H,HT1,SF,L,1,NA,NA,NA
73,H,HT1,SF,L,1,NA,NA,NA
74,H,HT1,SF,L,1,NA,NA,NA
75,H,HT1,WS,L,1,NA,NA,NA
76,H,HT1,WS,L,1,NA,NA,NA
77,H,HT1,WS,L,1,NA,NA,NA
78,H,HT1,SF,L,1,NA,NA,NA
79,H,HT1,WS,L,1,NA,NA,NA
80,H,HT1,WS,L,1,NA,NA,NA
81,L,HT2,SF,S,0,1,NA,NA
82,L,HT2,SF,S,0,1,NA,NA
83,L,HT2,WS,S,0,0,0,1
84,L,HT2,SF,S,0,0,0,0
85,L,HT2,SF,S,0,0,0,0
86,L,HT2,SF,S,0,0,0,0
87,L,HT2,WS,S,0,0,0,0
88,L,HT2,WS,S,0,0,0,0
89,L,HT2,WS,S,0,0,0,0
90,L,HT2,SF,S,0,0,1,NA
91,L,HT2,WS,S,1,NA,NA,NA
92,L,HT2,WS,S,1,NA,NA,NA
93,L,HT2,SF,S,1,NA,NA,NA
94,L,HT2,SF,S,1,NA,NA,NA
95,L,HT2,WS,S,1,NA,NA,NA
96,L,HT2,SF,S,1,NA,NA,NA
97,L,HT2,SF,S,1,NA,NA,NA
