"Index","Visibility","Season","Size","Search1","Search2","Search3","Search4","Search5"
1,"RP","spring","small",0,0,0,0,1
2,"RP","spring","small",0,0,1,NA,NA
3,"RP","spring","small",1,NA,NA,NA,NA
4,"RP","spring","small",0,1,NA,NA,NA
5,"RP","spring","small",0,1,NA,NA,NA
6,"RP","spring","small",0,0,1,NA,NA
7,"RP","spring","small",1,NA,NA,NA,NA
8,"RP","spring","small",0,0,0,0,0
9,"RP","spring","small",1,NA,NA,NA,NA
10,"RP","spring","small",0,0,1,NA,NA
11,"RP","spring","small",0,0,1,NA,NA
12,"RP","spring","small",1,NA,NA,NA,NA
13,"RP","spring","small",1,NA,NA,NA,NA
14,"RP","spring","small",0,0,0,0,0
15,"RP","spring","small",1,NA,NA,NA,NA
16,"RP","spring","small",1,NA,NA,NA,NA
17,"RP","spring","small",1,NA,NA,NA,NA
18,"RP","spring","small",0,1,NA,NA,NA
19,"RP","spring","small",1,NA,NA,NA,NA
20,"RP","spring","small",0,0,1,NA,NA
21,"RP","summer","small",1,NA,NA,NA,NA
22,"RP","summer","small",1,NA,NA,NA,NA
23,"RP","summer","small",1,NA,NA,NA,NA
24,"RP","summer","small",1,NA,NA,NA,NA
25,"RP","summer","small",1,NA,NA,NA,NA
26,"RP","summer","small",1,NA,NA,NA,NA
27,"RP","summer","small",0,0,0,0,0
28,"RP","summer","small",0,0,0,0,0
29,"RP","summer","small",1,NA,NA,NA,NA
30,"RP","summer","small",1,NA,NA,NA,NA
31,"RP","summer","small",0,0,1,NA,NA
32,"RP","summer","small",1,NA,NA,NA,NA
33,"RP","summer","small",1,NA,NA,NA,NA
34,"RP","summer","small",0,1,NA,NA,NA
35,"RP","summer","small",0,0,1,NA,NA
36,"RP","summer","small",1,NA,NA,NA,NA
37,"RP","summer","small",1,NA,NA,NA,NA
38,"RP","summer","small",1,NA,NA,NA,NA
39,"RP","summer","small",0,0,0,1,NA
40,"RP","summer","small",1,NA,NA,NA,NA
41,"RP","fall","small",1,NA,NA,NA,NA
42,"RP","fall","small",1,NA,NA,NA,NA
43,"RP","fall","small",1,NA,NA,NA,NA
44,"RP","fall","small",1,NA,NA,NA,NA
45,"RP","fall","small",1,NA,NA,NA,NA
46,"RP","fall","small",1,NA,NA,NA,NA
47,"RP","fall","small",0,0,1,NA,NA
48,"RP","fall","small",1,NA,NA,NA,NA
49,"RP","fall","small",1,NA,NA,NA,NA
50,"RP","fall","small",0,1,NA,NA,NA
51,"RP","fall","small",1,NA,NA,NA,NA
52,"RP","fall","small",0,0,0,0,1
53,"RP","fall","small",1,NA,NA,NA,NA
54,"RP","fall","small",1,NA,NA,NA,NA
55,"RP","fall","small",1,NA,NA,NA,NA
56,"RP","fall","small",1,NA,NA,NA,NA
57,"RP","fall","small",1,NA,NA,NA,NA
58,"RP","fall","small",1,NA,NA,NA,NA
59,"RP","fall","small",1,NA,NA,NA,NA
60,"RP","fall","small",0,0,0,0,0
61,"M","spring","small",0,1,NA,NA,NA
62,"M","spring","small",0,0,1,NA,NA
63,"M","spring","small",0,1,NA,NA,NA
64,"M","spring","small",0,0,0,0,0
65,"M","spring","small",1,NA,NA,NA,NA
66,"M","spring","small",0,0,0,0,0
67,"M","spring","small",1,NA,NA,NA,NA
68,"M","spring","small",1,NA,NA,NA,NA
69,"M","spring","small",0,0,0,1,NA
70,"M","spring","small",0,0,1,NA,NA
71,"M","spring","small",0,1,NA,NA,NA
72,"M","spring","small",0,0,0,0,0
73,"M","spring","small",0,0,0,0,1
74,"M","spring","small",0,0,0,0,0
75,"M","spring","small",0,0,0,0,0
76,"M","spring","small",0,0,1,NA,NA
77,"M","spring","small",0,0,0,0,0
78,"M","spring","small",0,0,0,0,0
79,"M","spring","small",0,0,0,0,0
80,"M","spring","small",0,0,0,0,0
81,"M","summer","small",0,0,0,0,0
82,"M","summer","small",1,NA,NA,NA,NA
83,"M","summer","small",0,0,0,0,0
84,"M","summer","small",0,0,0,0,0
85,"M","summer","small",0,0,0,1,NA
86,"M","summer","small",1,NA,NA,NA,NA
87,"M","summer","small",0,0,1,NA,NA
88,"M","summer","small",0,0,0,1,NA
89,"M","summer","small",1,NA,NA,NA,NA
90,"M","summer","small",1,NA,NA,NA,NA
91,"M","summer","small",1,NA,NA,NA,NA
92,"M","summer","small",0,1,NA,NA,NA
93,"M","summer","small",0,0,0,0,0
94,"M","summer","small",1,NA,NA,NA,NA
95,"M","summer","small",0,1,NA,NA,NA
96,"M","summer","small",0,1,NA,NA,NA
97,"M","summer","small",0,1,NA,NA,NA
98,"M","summer","small",1,NA,NA,NA,NA
99,"M","summer","small",0,0,0,0,0
100,"M","summer","small",1,NA,NA,NA,NA
101,"M","fall","small",1,NA,NA,NA,NA
102,"M","fall","small",0,0,0,1,NA
103,"M","fall","small",1,NA,NA,NA,NA
104,"M","fall","small",1,NA,NA,NA,NA
105,"M","fall","small",0,1,NA,NA,NA
106,"M","fall","small",0,1,NA,NA,NA
107,"M","fall","small",0,1,NA,NA,NA
108,"M","fall","small",0,0,0,0,0
109,"M","fall","small",0,0,0,0,0
110,"M","fall","small",0,1,NA,NA,NA
111,"M","fall","small",1,NA,NA,NA,NA
112,"M","fall","small",0,0,0,0,0
113,"M","fall","small",0,0,0,0,0
114,"M","fall","small",0,0,0,0,0
115,"M","fall","small",1,NA,NA,NA,NA
116,"M","fall","small",0,0,1,NA,NA
117,"M","fall","small",1,NA,NA,NA,NA
118,"M","fall","small",0,0,0,0,0
119,"M","fall","small",0,1,NA,NA,NA
120,"M","fall","small",0,1,NA,NA,NA
121,"D","spring","small",0,0,0,0,0
122,"D","spring","small",0,0,1,NA,NA
123,"D","spring","small",0,1,NA,NA,NA
124,"D","spring","small",1,NA,NA,NA,NA
125,"D","spring","small",1,NA,NA,NA,NA
126,"D","spring","small",0,0,0,0,0
127,"D","spring","small",1,NA,NA,NA,NA
128,"D","spring","small",1,NA,NA,NA,NA
129,"D","spring","small",0,0,0,0,0
130,"D","spring","small",0,0,0,0,0
131,"D","spring","small",1,NA,NA,NA,NA
132,"D","spring","small",0,0,0,0,0
133,"D","spring","small",0,0,0,0,0
134,"D","spring","small",0,1,NA,NA,NA
135,"D","spring","small",0,0,0,0,0
136,"D","spring","small",0,0,0,0,0
137,"D","spring","small",0,0,0,0,0
138,"D","spring","small",0,0,0,0,0
139,"D","spring","small",0,0,0,0,0
140,"D","spring","small",0,0,0,0,0
141,"D","summer","small",0,0,1,NA,NA
142,"D","summer","small",0,0,0,0,0
143,"D","summer","small",1,NA,NA,NA,NA
144,"D","summer","small",0,0,0,1,NA
145,"D","summer","small",0,0,0,0,0
146,"D","summer","small",0,0,0,0,0
147,"D","summer","small",0,0,0,0,0
148,"D","summer","small",0,0,1,NA,NA
149,"D","summer","small",0,1,NA,NA,NA
150,"D","summer","small",1,NA,NA,NA,NA
151,"D","summer","small",0,1,NA,NA,NA
152,"D","summer","small",0,0,0,0,0
153,"D","summer","small",0,0,0,0,0
154,"D","summer","small",0,1,NA,NA,NA
155,"D","summer","small",0,1,NA,NA,NA
156,"D","summer","small",0,0,0,1,NA
157,"D","summer","small",0,0,0,0,0
158,"D","summer","small",0,1,NA,NA,NA
159,"D","summer","small",1,NA,NA,NA,NA
160,"D","summer","small",0,0,0,0,0
161,"D","fall","small",0,0,0,0,0
162,"D","fall","small",0,0,0,0,0
163,"D","fall","small",0,0,0,0,0
164,"D","fall","small",0,0,0,1,NA
165,"D","fall","small",0,0,0,0,0
166,"D","fall","small",1,NA,NA,NA,NA
167,"D","fall","small",0,0,0,0,0
168,"D","fall","small",0,0,0,0,0
169,"D","fall","small",0,1,NA,NA,NA
170,"D","fall","small",0,0,0,0,0
171,"D","fall","small",0,0,0,0,0
172,"D","fall","small",0,0,0,0,1
173,"D","fall","small",0,0,0,0,0
174,"D","fall","small",0,0,0,0,0
175,"D","fall","small",0,0,0,0,0
176,"D","fall","small",0,0,0,0,0
177,"D","fall","small",0,1,NA,NA,NA
178,"D","fall","small",1,NA,NA,NA,NA
179,"D","fall","small",0,0,0,0,0
180,"D","fall","small",0,0,0,0,0
181,"RP","spring","med",1,NA,NA,NA,NA
182,"RP","spring","med",1,NA,NA,NA,NA
183,"RP","spring","med",1,NA,NA,NA,NA
184,"RP","spring","med",0,1,NA,NA,NA
185,"RP","spring","med",0,1,NA,NA,NA
186,"RP","spring","med",1,NA,NA,NA,NA
187,"RP","spring","med",0,1,NA,NA,NA
188,"RP","spring","med",0,0,1,NA,NA
189,"RP","spring","med",0,0,1,NA,NA
190,"RP","spring","med",1,NA,NA,NA,NA
191,"RP","spring","med",0,1,NA,NA,NA
192,"RP","spring","med",0,0,0,0,0
193,"RP","spring","med",1,NA,NA,NA,NA
194,"RP","spring","med",1,NA,NA,NA,NA
195,"RP","spring","med",1,NA,NA,NA,NA
196,"RP","spring","med",1,NA,NA,NA,NA
197,"RP","spring","med",1,NA,NA,NA,NA
198,"RP","spring","med",0,0,1,NA,NA
199,"RP","spring","med",1,NA,NA,NA,NA
200,"RP","spring","med",0,1,NA,NA,NA
201,"RP","summer","med",1,NA,NA,NA,NA
202,"RP","summer","med",1,NA,NA,NA,NA
203,"RP","summer","med",1,NA,NA,NA,NA
204,"RP","summer","med",0,1,NA,NA,NA
205,"RP","summer","med",1,NA,NA,NA,NA
206,"RP","summer","med",0,0,1,NA,NA
207,"RP","summer","med",1,NA,NA,NA,NA
208,"RP","summer","med",1,NA,NA,NA,NA
209,"RP","summer","med",1,NA,NA,NA,NA
210,"RP","summer","med",0,0,0,0,1
211,"RP","summer","med",1,NA,NA,NA,NA
212,"RP","summer","med",1,NA,NA,NA,NA
213,"RP","summer","med",0,1,NA,NA,NA
214,"RP","summer","med",1,NA,NA,NA,NA
215,"RP","summer","med",0,0,1,NA,NA
216,"RP","summer","med",1,NA,NA,NA,NA
217,"RP","summer","med",1,NA,NA,NA,NA
218,"RP","summer","med",1,NA,NA,NA,NA
219,"RP","summer","med",1,NA,NA,NA,NA
220,"RP","summer","med",1,NA,NA,NA,NA
221,"RP","fall","med",1,NA,NA,NA,NA
222,"RP","fall","med",1,NA,NA,NA,NA
223,"RP","fall","med",1,NA,NA,NA,NA
224,"RP","fall","med",0,0,1,NA,NA
225,"RP","fall","med",1,NA,NA,NA,NA
226,"RP","fall","med",1,NA,NA,NA,NA
227,"RP","fall","med",0,0,1,NA,NA
228,"RP","fall","med",1,NA,NA,NA,NA
229,"RP","fall","med",1,NA,NA,NA,NA
230,"RP","fall","med",0,0,0,0,0
231,"RP","fall","med",1,NA,NA,NA,NA
232,"RP","fall","med",0,1,NA,NA,NA
233,"RP","fall","med",0,1,NA,NA,NA
234,"RP","fall","med",1,NA,NA,NA,NA
235,"RP","fall","med",1,NA,NA,NA,NA
236,"RP","fall","med",0,1,NA,NA,NA
237,"RP","fall","med",1,NA,NA,NA,NA
238,"RP","fall","med",1,NA,NA,NA,NA
239,"RP","fall","med",1,NA,NA,NA,NA
240,"RP","fall","med",1,NA,NA,NA,NA
241,"M","spring","med",0,0,0,0,0
242,"M","spring","med",0,0,0,0,0
243,"M","spring","med",1,NA,NA,NA,NA
244,"M","spring","med",0,1,NA,NA,NA
245,"M","spring","med",0,0,0,0,0
246,"M","spring","med",0,0,0,0,1
