"carcID","Turbine","TurbineType","DateFound","Visibility","Species","SpeciesGroup","Size","Distance"
"x30","t19","X",2018-03-29,"RP","BB","bat1","bat",44.9820303577423
"x46","t65","Z",2018-03-23,"RP","BA","bat1","bat",7.78564224499957
"x61","t27","X",2018-04-22,"RP","SG","brd1","sml",9.45649532024758
"x63","t49","Y",2018-03-23,"RP","BA","bat1","bat",0.616391638388513
"x92","t100","Z",2018-03-23,"RP","BA","bat1","bat",2.13157832867805
"x124","t22","X",2018-03-26,"RP","BA","bat1","bat",8.91904695257844
"x166","t50","Y",2018-03-26,"RP","BA","bat1","bat",0.554540095600497
"x182","t34","Y",2018-03-26,"RP","BA","bat1","bat",10.8090941189918
"x208","t82","Z",2018-03-26,"RP","BA","bat1","bat",24.8400472902516
"x229","t49","Y",2018-03-29,"RP","BB","bat1","bat",14.8930430052759
"x232","t53","Z",2018-03-29,"RP","BB","bat1","bat",5.35041938725475
"x233","t54","Z",2018-04-01,"RP","SC","brd1","sml",7.15587918981528
"x240","t7","X",2018-03-29,"RP","BA","bat1","bat",11.8599018022916
"x250","t49","Y",2018-03-29,"RP","BA","bat1","bat",19.1138011211634
"x263","t56","Z",2018-04-01,"RP","BA","bat1","bat",2.92993154657462
"x264","t39","Y",2018-03-29,"RP","BA","bat1","bat",25.8451586870916
"x310","t65","Z",2018-03-29,"RP","BA","bat1","bat",3.9285477980563
"x316","t39","Y",2018-03-29,"RP","BB","bat1","bat",11.0023536851385
"x346","t90","Z",2018-03-29,"RP","BC","bat1","bat",0.41100311068731
"x422","t78","Z",2018-04-01,"RP","BA","bat1","bat",4.5674218983078
"x491","t65","Z",2018-04-04,"RP","SC","brd1","sml",52.015423322424
"x511","t56","Z",2018-04-07,"RP","BA","bat1","bat",2.38823767556245
"x588","t72","Z",2018-04-07,"RP","SC","brd1","sml",1.83237881763327
"x622","t92","Z",2018-04-16,"RP","SC","brd1","sml",33.6325350461922
"x655","t51","Z",2018-04-10,"RP","SC","brd1","sml",8.97542946017667
"x669","t11","X",2018-04-10,"RP","BA","bat1","bat",4.28799529338617
"x785","t86","Z",2018-04-10,"RP","BA","bat1","bat",3.94811854850047
"x835","t80","Z",2018-04-13,"RP","BC","bat1","bat",4.2329120223434
"x926","t29","X",2018-04-16,"RP","SG","brd1","sml",4.10975584855459
"x937","t81","Z",2018-04-16,"RP","BA","bat1","bat",7.7648986187202
"x938","t63","Z",2018-04-16,"RP","BA","bat1","bat",65.5827536307523
"x994","t74","Z",2018-04-19,"RP","BB","bat1","bat",8.75912730668211
"x999","t82","Z",2018-04-16,"RP","BA","bat1","bat",8.90164518464843
"x1056","t34","Y",2018-04-19,"RP","BA","bat1","bat",3.27772504189779
"x1100","t46","Y",2018-04-19,"RP","SG","brd1","sml",55.3405177531302
"x1101","t85","Z",2018-04-19,"RP","BD","bat0","bat",6.80189635626526
