Unit,dwpB,dwpS,dwpM,dwpL
1,0.184104609,0.130048106,0.107882115,0.046481175
2,0.193526864,0.144642533,0.120203347,0.061305977
3,0.205774793,0.149501705,0.122747698,0.052159786
4,0.1946946,0.137116997,0.113804341,0.046542534
5,0.180003663,0.123640222,0.103502789,0.042561962
6,0.172463004,0.1117949,0.099122686,0.048038789
7,0.226791134,0.16918767,0.139322805,0.062027907
8,0.246436868,0.203126409,0.163760666,0.090886056
9,0.199045879,0.146552558,0.119326192,0.05103368
10,0.218737503,0.158144835,0.129692043,0.050816244
11,0.200342396,0.143498095,0.119187638,0.053301384
12,0.194762359,0.138750398,0.115011823,0.048445643
13,0.212234338,0.158495041,0.129190896,0.057992743
14,0.23220912,0.178003971,0.143837405,0.063516315
15,0.193833403,0.140920412,0.117709918,0.056716938
16,0.299861648,0.269049501,0.211877578,0.129197618
17,0.213698672,0.152533211,0.125617315,0.048359112
18,0.212831203,0.157321269,0.13403331,0.067151569
19,0.199277779,0.143158156,0.118086431,0.049663081
20,0.204644584,0.154432751,0.126084339,0.059400395
21,0.235603825,0.200060616,0.160323166,0.094300456
22,0.203987285,0.155669811,0.127649859,0.064471266
23,0.184390514,0.127553143,0.106657386,0.045289396
24,0.21132449,0.161786196,0.131169516,0.0649905
25,0.222635312,0.169820191,0.146424914,0.092919197
26,0.185652811,0.130525579,0.108227254,0.04503658
27,0.213683526,0.154076594,0.127184518,0.052313059
28,0.171413871,0.120774388,0.101167043,0.047787096
29,0.194326691,0.138187555,0.114994553,0.05002237
30,0.192574386,0.14336651,0.118012198,0.057326332
31,0.208581811,0.150130856,0.124296634,0.051878066
32,0.230613953,0.183409311,0.148144869,0.079960969
33,0.191308478,0.135865405,0.112566903,0.047258252
34,0.196978105,0.143246288,0.117750478,0.050809779
35,0.196391251,0.138941931,0.114957091,0.046155185
36,0.19540998,0.141997035,0.117373976,0.052501162
37,0.159615282,0.099112248,0.087622393,0.034798179
38,0.182484488,0.127896879,0.106407463,0.044791979
39,0.179422365,0.126753126,0.105368718,0.045637412
40,0.197832611,0.142224088,0.11811113,0.052072179
41,0.182709076,0.12817885,0.106975732,0.045517324
42,0.165967638,0.104563944,0.09060521,0.031484785
43,0.202127471,0.147710189,0.121860256,0.055946856
44,0.215952968,0.16186688,0.131988863,0.059942461
45,0.200680344,0.146243622,0.120038864,0.05280377
46,0.174994058,0.120309291,0.100558175,0.041327344
47,0.213844247,0.162463832,0.132077133,0.061835633
48,0.175140495,0.118929274,0.100755353,0.043394557
49,0.194266449,0.136083595,0.113065705,0.045759159
50,0.161603565,0.099623839,0.086339563,0.029176113
51,0.178159802,0.125346907,0.104734593,0.047339477
52,0.157623824,0.094208331,0.084402227,0.02649905
53,0.162893536,0.108550865,0.091306985,0.036291221
54,0.156989342,0.096240397,0.084905867,0.031972949
55,0.161224207,0.102377723,0.088898564,0.033843655
56,0.182767032,0.124696025,0.105056091,0.042437965
57,0.155073456,0.09377282,0.083475955,0.027135631
58,0.181932375,0.127693358,0.112999301,0.07036244
59,0.150555655,0.089471402,0.078902296,0.02576397
60,0.150298057,0.088239404,0.078684057,0.025553572
61,0.171423299,0.117784707,0.10382195,0.060612966
62,0.158744819,0.09574315,0.083732484,0.026988774
63,0.16702354,0.102357255,0.088607248,0.026346829
64,0.156502759,0.100910109,0.086402521,0.034173604
65,0.162063075,0.101497634,0.089018092,0.036566509
66,0.153258073,0.090465136,0.079874104,0.024511623
67,0.156205162,0.096268101,0.086304592,0.038453635
68,0.149404755,0.086655604,0.076967053,0.023409911
69,0.15010537,0.08769428,0.077732008,0.024432144
70,0.166875879,0.101861464,0.090595119,0.033208324
71,0.200303038,0.149564031,0.121705361,0.055334311
72,0.167270321,0.105586942,0.092279132,0.036101684
73,0.152523606,0.091189117,0.081046654,0.028905904
74,0.161811386,0.099441312,0.086948483,0.030298363
75,0.176284351,0.108815365,0.099191274,0.039308084
76,0.164511046,0.100731903,0.087855133,0.029098166
77,0.180681391,0.114455996,0.098686317,0.032395588
78,0.165406784,0.101839056,0.091040301,0.030188207
79,0.155478754,0.09291141,0.081940847,0.02700921
80,0.154709309,0.094016985,0.08275072,0.029939725
81,0.158160219,0.096144256,0.084451047,0.029447591
82,0.175402929,0.124016245,0.10717832,0.060542857
83,0.152031191,0.088296634,0.08132319,0.030142774
84,0.140192583,0.080703582,0.072542716,0.02566798
85,0.174887596,0.111954921,0.097772525,0.040443855
86,0.182024127,0.117873542,0.102502739,0.039918157
87,0.195807024,0.131647452,0.111945982,0.04268722
88,0.16882661,0.104008326,0.09037899,0.028918692
89,0.163557182,0.099922421,0.087159921,0.028479434
90,0.170610567,0.10540037,0.091727166,0.030009747
91,0.163554585,0.10142619,0.090480911,0.03921289
92,0.167030427,0.105605681,0.091453989,0.034689524
93,0.176657948,0.110754568,0.09546907,0.030187832
94,0.182308327,0.116095467,0.099207445,0.031073559
95,0.182401794,0.120244747,0.104342954,0.046135078
96,0.157121294,0.093372947,0.082482908,0.026235513
97,0.184890228,0.123244452,0.104590304,0.040603973
98,0.148338551,0.085048019,0.075528275,0.022010871
99,0.144701532,0.083209278,0.073648353,0.021552513
100,0.165106403,0.101248197,0.088404148,0.029717324
