ID,DatePlaced,Visibility,HabitatType,Season,Size,Scavenged,Search1,Search2,Search3,Search4
1,1/1/2001,L,HT1,SF,S,0,0,1,NA,NA
2,1/1/2001,L,HT1,SF,S,0,0,0,0,0
3,1/1/2001,L,HT1,WS,S,0,0,1,NA,NA
4,1/1/2001,L,HT1,WS,S,0,0,0,0,0
5,1/1/2001,L,HT1,WS,S,0,0,0,0,0
6,1/1/2001,L,HT1,SF,S,0,0,0,0,1
7,1/1/2001,L,HT1,WS,S,0,0,0,0,0
8,1/1/2001,L,HT1,WS,S,0,0,0,0,0
9,1/1/2001,L,HT1,SF,S,0,0,0,0,0
10,1/1/2001,L,HT1,SF,S,0,0,0,0,0
11,1/1/2001,L,HT1,WS,S,0,1,NA,NA,NA
12,1/1/2001,L,HT1,SF,S,0,1,NA,NA,NA
13,1/1/2001,L,HT1,SF,S,0,1,NA,NA,NA
14,1/1/2001,L,HT1,SF,S,0,1,NA,NA,NA
15,1/1/2001,L,HT1,WS,S,0,1,NA,NA,NA
16,1/1/2001,L,HT1,WS,S,0,1,NA,NA,NA
17,1/1/2001,L,HT1,WS,S,0,1,NA,NA,NA
18,1/1/2001,L,HT1,SF,S,0,1,NA,NA,NA
19,1/1/2001,L,HT1,WS,S,0,1,NA,NA,NA
20,1/1/2001,L,HT1,WS,S,0,1,NA,NA,NA
21,1/1/2001,L,HT1,SF,L,0,0,0,0,1
22,1/1/2001,L,HT1,SF,L,0,0,0,0,0
23,1/1/2001,L,HT1,WS,L,0,0,0,0,0
24,1/1/2001,L,HT1,SF,L,0,0,1,NA,NA
25,1/1/2001,L,HT1,SF,L,0,0,0,0,1
26,1/1/2001,L,HT1,SF,L,0,0,1,NA,NA
27,1/1/2001,L,HT1,WS,L,0,0,1,NA,NA
28,1/1/2001,L,HT1,WS,L,0,1,NA,NA,NA
29,1/1/2001,L,HT1,WS,L,0,1,NA,NA,NA
30,1/1/2001,L,HT1,SF,L,0,1,NA,NA,NA
31,1/1/2001,L,HT1,WS,L,0,1,NA,NA,NA
32,1/1/2001,L,HT1,WS,L,0,1,NA,NA,NA
33,1/1/2001,L,HT1,SF,L,0,1,NA,NA,NA
34,1/1/2001,L,HT1,SF,L,0,1,NA,NA,NA
35,1/1/2001,L,HT1,WS,L,0,1,NA,NA,NA
36,1/1/2001,L,HT1,SF,L,0,1,NA,NA,NA
37,1/1/2001,L,HT1,SF,L,0,1,NA,NA,NA
38,1/1/2001,L,HT1,SF,L,0,1,NA,NA,NA
39,1/1/2001,L,HT1,WS,L,0,1,NA,NA,NA
40,1/1/2001,L,HT1,WS,L,0,1,NA,NA,NA
41,1/1/2001,H,HT1,WS,S,0,0,0,0,1
42,1/1/2001,H,HT1,SF,S,0,0,0,0,0
43,1/1/2001,H,HT1,WS,S,0,0,0,0,0
44,1/1/2001,H,HT1,WS,S,0,0,0,0,0
45,1/1/2001,H,HT1,SF,S,0,0,0,0,0
46,1/1/2001,H,HT1,SF,S,0,0,1,NA,NA
47,1/1/2001,H,HT1,WS,S,0,0,0,0,1
48,1/1/2001,H,HT1,SF,S,0,0,0,0,0
49,1/1/2001,H,HT1,SF,S,0,0,1,NA,NA
50,1/1/2001,H,HT1,SF,S,0,1,NA,NA,NA
51,1/1/2001,H,HT1,WS,S,0,1,NA,NA,NA
52,1/1/2001,H,HT1,WS,S,0,1,NA,NA,NA
53,1/1/2001,H,HT1,WS,S,0,1,NA,NA,NA
54,1/1/2001,H,HT1,SF,S,0,1,NA,NA,NA
55,1/1/2001,H,HT1,WS,S,0,1,NA,NA,NA
56,1/1/2001,H,HT1,WS,S,0,1,NA,NA,NA
57,1/1/2001,H,HT1,SF,S,0,1,NA,NA,NA
58,1/1/2001,H,HT1,SF,S,0,1,NA,NA,NA
59,1/1/2001,H,HT1,WS,S,0,1,NA,NA,NA
60,1/1/2001,H,HT1,SF,S,0,1,NA,NA,NA
61,1/1/2001,H,HT1,SF,L,0,0,0,0,0
62,1/1/2001,H,HT1,SF,L,0,0,0,0,0
63,1/1/2001,H,HT1,WS,L,0,0,0,1,NA
64,1/1/2001,H,HT1,WS,L,0,0,1,NA,NA
65,1/1/2001,H,HT1,WS,L,0,0,1,NA,NA
66,1/1/2001,H,HT1,SF,L,0,0,0,0,0
67,1/1/2001,H,HT1,WS,L,0,1,NA,NA,NA
68,1/1/2001,H,HT1,WS,L,0,1,NA,NA,NA
69,1/1/2001,H,HT1,SF,L,0,1,NA,NA,NA
70,1/1/2001,H,HT1,SF,L,0,1,NA,NA,NA
71,1/1/2001,H,HT1,WS,L,0,1,NA,NA,NA
72,1/1/2001,H,HT1,SF,L,0,1,NA,NA,NA
