"Index","Unit","Species","Size","Row","Distance","DateFound","X","Y"
1,"Transect27","SC","small",73,35,2018-01-02,528483,3857812
2,"Transect11","SB","small",49,14,2018-02-18,526014,3857332
3,"Transect19","SC","small",6,41,2018-02-26,527264,3856472
4,"Transect44","SB","small",68,40,2018-01-09,531088,3857712
5,"Transect55","SC","small",64,52,2018-02-08,532783,3857632
6,"Transect59","SC","small",28,40,2018-04-11,533384,3856912
7,"Transect10","SC","small",24,45,2018-05-01,525891,3856832
8,"Transect41","SD","small",27,32,2018-04-11,530621,3856892
9,"Transect31","SC","small",71,36,2018-06-03,529096,3857772
10,"Transect22","SA","small",3,9,2018-05-27,527691,3856412
11,"Transect9","SA","small",94,60,2018-04-02,525753,3858232
12,"Transect12","SC","small",88,33,2018-05-14,526186,3858112
13,"Transect24","SE","small",89,33,2018-06-18,528021,3858132
14,"Transect45","SB","small",33,11,2018-05-10,531213,3857012
15,"Transect22","SD","small",36,13,2018-05-06,527695,3857072
16,"Transect46","SA","small",39,19,2018-04-05,531374,3857132
17,"Transect43","SA","small",64,0,2018-04-20,530896,3857632
18,"Transect23","SB","small",4,56,2018-05-06,527891,3856432
19,"Transect49","SD","small",68,61,2018-06-09,531875,3857712
20,"Transect21","SE","small",64,24,2018-04-18,527554,3857632
21,"Transect14","SB","small",41,17,2018-03-25,526475,3857172
22,"Transect4","SC","small",98,12,2018-06-08,524941,3858312
23,"Transect1","SD","small",67,24,2018-04-04,524494,3857692
24,"Transect33","SD","small",70,45,2018-03-29,529411,3857752
25,"Transect4","SB","small",45,22,2018-03-26,524950,3857252
26,"Transect33","SB","small",26,22,2018-06-07,529388,3856872
27,"Transect39","SE","small",26,3,2018-06-05,530287,3856872
28,"Transect31","SB","small",22,1,2018-04-22,529060,3856792
29,"Transect48","SD","small",84,34,2018-04-10,531694,3858032
30,"Transect40","SC","small",67,7,2018-04-14,530443,3857692
31,"Transect23","SD","small",99,30,2018-04-27,527865,3858332
32,"Transect36","SC","small",78,3,2018-04-02,529827,3857912
33,"Transect25","SB","small",74,41,2018-04-18,528182,3857832
34,"Transect20","SC","small",94,51,2018-05-26,527427,3858232
35,"Transect6","SD","small",99,17,2018-06-06,525251,3858332
36,"Transect4","SD","small",53,9,2018-06-02,524937,3857412
37,"Transect40","SC","small",99,52,2018-05-09,530489,3858332
38,"Transect52","SC","small",50,28,2018-04-27,532301,3857352
39,"Transect46","SE","small",85,29,2018-03-28,531383,3858052
40,"Transect44","SA","small",90,24,2018-04-23,531073,3858152
41,"Transect38","SA","small",4,24,2018-03-21,530155,3856432
42,"Transect45","SB","small",97,32,2018-04-30,531233,3858292
43,"Transect17","SB","small",34,53,2018-04-28,526970,3857032
44,"Transect49","SE","small",66,5,2018-03-22,531819,3857672
45,"Transect36","SD","small",16,10,2018-04-06,529835,3856672
46,"Transect10","SB","small",85,19,2018-04-26,525865,3858052
47,"Transect52","SA","small",41,51,2018-04-27,532324,3857172
48,"Transect22","SC","small",80,63,2018-06-11,527746,3857952
49,"Transect57","SB","small",64,21,2018-06-03,533058,3857632
50,"Transect37","SE","small",26,54,2018-04-18,530032,3856872
51,"Transect7","SA","small",41,45,2018-05-13,525433,3857172
52,"Transect33","SD","small",63,30,2018-05-04,529395,3857612
53,"Transect15","SC","small",67,17,2018-04-03,526628,3857692
54,"Transect18","SD","small",31,7,2018-04-13,527077,3856972
55,"Transect17","SD","small",69,8,2018-05-30,526925,3857732
56,"Transect38","SB","small",95,9,2018-03-28,530140,3858252
57,"Transect55","SC","small",90,67,2018-05-06,532798,3858152
58,"Transect9","SA","small",30,4,2018-04-22,525697,3856952
59,"Transect34","SC","small",74,20,2018-03-23,529538,3857832
60,"Transect57","SB","small",48,26,2018-05-08,533064,3857312
61,"Transect25","SA","small",55,77,2018-05-31,528218,3857452
62,"Transect43","SA","small",73,29,2018-05-07,530925,3857812
63,"Transect52","SE","small",67,17,2018-03-30,532289,3857692
64,"Transect14","SC","small",19,14,2018-05-21,526472,3856732
65,"Transect28","SB","small",96,32,2018-04-06,528633,3858272
66,"Transect11","SC","small",25,40,2018-04-16,526040,3856852
67,"Transect7","SA","small",77,24,2018-04-06,525411,3857892
68,"Transect1","SD","small",65,18,2018-08-08,524487,3857652
69,"Transect31","SC","small",68,14,2018-07-09,529073,3857712
70,"Transect42","SD","small",93,22,2018-08-27,530764,3858212
71,"Transect4","SB","small",95,15,2018-09-04,524944,3858252
72,"Transect54","SC","small",68,5,2018-07-12,532583,3857712
73,"Transect30","SE","small",92,43,2018-06-30,528950,3858192
74,"Transect41","SB","small",1,48,2018-08-21,530638,3856372
75,"Transect18","SB","small",28,33,2018-08-05,527103,3856912
76,"Transect8","SB","small",91,44,2018-08-19,525584,3858172
77,"Transect5","SB","small",82,49,2018-08-24,525131,3857992
78,"Transect43","SC","small",36,24,2018-08-26,530919,3857072
79,"Transect45","SD","small",14,11,2018-08-19,531213,3856632
80,"Transect5","SB","small",81,18,2018-09-21,525099,3857972
81,"Transect20","SB","small",26,13,2018-07-10,527390,3856872
82,"Transect14","SA","small",6,27,2018-07-22,526485,3856472
83,"Transect27","SB","small",76,63,2018-08-16,528510,3857872
84,"Transect33","SA","small",65,1,2018-08-23,529366,3857652
85,"Transect18","SA","small",92,9,2018-07-07,527080,3858192
86,"Transect58","SA","small",39,12,2018-07-20,533202,3857132
87,"Transect15","SD","small",89,58,2018-08-02,526670,3858132
88,"Transect12","SC","small",79,24,2018-09-16,526176,3857932
89,"Transect40","SD","small",42,12,2018-07-03,530449,3857192
90,"Transect1","SD","small",41,65,2018-07-21,524534,3857172
91,"Transect27","SA","small",69,21,2018-09-13,528468,3857732
92,"Transect34","SC","small",58,56,2018-08-28,529575,3857512
93,"Transect36","SA","small",35,11,2018-07-11,529835,3857052
94,"Transect7","SA","small",51,31,2018-07-02,525419,3857372
95,"Transect59","SD","small",59,2,2018-09-12,533346,3857532
96,"Transect10","SC","small",65,10,2018-08-10,525856,3857652
97,"Transect2","SA","small",21,9,2018-07-31,524631,3856772
98,"Transect22","SB","small",7,19,2018-07-08,527701,3856492
99,"Transect42","SD","small",56,4,2018-07-08,530746,3857472
100,"Transect56","SC","small",62,36,2018-11-03,532920,3857592
101,"Transect42","SD","small",36,42,2018-11-13,530784,3857072
102,"Transect40","SB","small",25,1,2018-11-05,530437,3856852
103,"Transect48","SD","small",59,33,2018-12-14,531694,3857532
104,"Transect17","SA","small",77,18,2018-10-05,526935,3857892
105,"Transect45","SC","small",34,38,2018-12-14,531239,3857032
106,"Transect42","SC","small",66,24,2018-11-26,530767,3857672
107,"Transect12","SB","small",71,55,2018-10-20,526208,3857772
108,"Transect27","SD","small",87,23,2018-10-06,528471,3858092
109,"Transect41","SC","small",67,17,2018-11-11,530606,3857692
110,"Transect34","SA","small",55,26,2018-12-12,529545,3857452
111,"Transect33","MC","med",59,43,2018-02-16,529408,3857532
112,"Transect46","MA","med",54,54,2017-12-23,531408,3857432
113,"Transect23","MC","med",1,64,2018-02-22,527900,3856372
114,"Transect7","MB","med",88,11,2018-02-24,525398,3858112
115,"Transect17","MA","med",99,60,2018-01-02,526977,3858332
116,"Transect33","MC","med",73,23,2018-01-17,529388,3857812
117,"Transect45","MB","med",9,20,2018-03-05,531222,3856532
118,"Transect37","ME","med",30,109,2018-03-19,530086,3856952
119,"Transect47","MA","med",23,104,2018-01-13,531612,3856812
120,"Transect57","MB","med",94,33,2018-04-12,533070,3858232
121,"Transect25","ME","med",66,60,2018-04-11,528201,3857672
