Index,Unit,Visibility,GroundCover,HabitatType,Species,Size,DateFound
1,42,RP,A,B,BA,bat,4/4/2018
2,2,D,B,B,BA,bat,3/26/2018
3,60,RP,B,C,BA,bat,3/23/2018
4,5,RP,B,B,BB,bat,4/13/2018
5,16,M,B,B,BA,bat,5/1/2018
6,45,RP,B,C,BB,bat,3/26/2018
7,32,M,A,C,BA,bat,3/26/2018
8,29,D,A,B,BB,bat,4/7/2018
9,33,RP,A,A,BB,bat,3/23/2018
10,47,D,B,B,BB,bat,5/1/2018
11,79,M,B,B,BB,bat,3/29/2018
12,65,RP,A,B,BA,bat,4/16/2018
13,33,D,A,C,BA,bat,4/25/2018
14,64,D,A,B,BA,bat,4/1/2018
15,59,D,B,C,BA,bat,4/22/2018
16,34,D,B,B,BA,bat,5/1/2018
17,58,RP,B,C,BA,bat,4/16/2018
18,18,D,A,B,BB,bat,4/22/2018
19,92,M,B,B,BB,bat,4/19/2018
20,24,M,B,C,BB,bat,3/29/2018
21,6,M,A,B,BA,bat,4/22/2018
22,31,RP,B,B,BA,bat,4/4/2018
23,52,D,B,C,BA,bat,4/7/2018
24,86,D,B,A,BB,bat,3/29/2018
25,94,RP,B,C,BD,bat,3/29/2018
26,18,RP,A,B,BD,bat,4/19/2018
27,84,D,A,A,BA,bat,4/13/2018
28,66,RP,B,C,BA,bat,4/10/2018
29,45,M,A,C,BA,bat,3/26/2018
30,75,D,A,B,BA,bat,4/16/2018
31,66,RP,B,A,BB,bat,4/16/2018
32,97,D,B,B,BC,bat,3/29/2018
33,93,D,A,A,BB,bat,4/19/2018
34,95,RP,A,B,BA,bat,5/1/2018
35,22,M,B,B,BB,bat,4/10/2018
36,62,RP,A,B,BA,bat,3/23/2018
37,69,M,A,B,BB,bat,4/7/2018
38,57,RP,A,B,BB,bat,3/29/2018
39,8,RP,B,C,BA,bat,4/19/2018
40,27,M,A,C,BB,bat,4/16/2018
41,47,D,B,B,BB,bat,4/13/2018
42,25,RP,B,C,BA,bat,4/25/2018
43,12,RP,B,C,BA,bat,3/26/2018
44,67,RP,B,C,BB,bat,4/16/2018
45,36,M,B,B,BA,bat,4/25/2018
46,95,RP,B,C,BB,bat,4/16/2018
47,67,M,B,B,BC,bat,4/13/2018
48,70,D,B,A,BA,bat,3/29/2018
49,69,D,B,B,BA,bat,4/7/2018
50,56,RP,B,A,BA,bat,3/29/2018
51,90,M,A,B,BC,bat,4/4/2018
52,73,D,B,B,BC,bat,3/29/2018
53,67,RP,B,B,BA,bat,4/4/2018
54,22,M,B,C,BA,bat,4/7/2018
55,25,D,B,B,BA,bat,4/25/2018
56,48,RP,A,B,BC,bat,4/7/2018
57,37,D,A,C,BB,bat,4/1/2018
58,49,D,B,B,BC,bat,4/10/2018
59,32,RP,A,B,BB,bat,4/4/2018
60,45,D,B,B,BB,bat,4/19/2018
61,54,RP,A,B,BB,bat,4/22/2018
62,82,RP,B,A,BA,bat,4/16/2018
63,77,RP,B,B,BB,bat,4/4/2018
64,9,RP,A,C,BA,bat,4/13/2018
65,27,RP,B,A,BA,bat,4/4/2018
66,49,RP,B,B,BB,bat,4/13/2018
67,62,D,A,B,BA,bat,5/1/2018
68,9,D,B,B,BB,bat,4/28/2018
69,20,D,B,B,BB,bat,5/1/2018
70,91,RP,A,B,BA,bat,4/28/2018
71,65,RP,B,A,BA,bat,3/23/2018
72,19,M,A,B,BB,bat,4/1/2018
73,1,D,A,B,BA,bat,4/28/2018
74,53,RP,B,C,BA,bat,3/29/2018
75,52,M,A,C,BB,bat,3/26/2018
76,57,D,A,B,BA,bat,4/22/2018
77,27,D,B,B,BA,bat,4/19/2018
78,67,D,B,B,BA,bat,4/19/2018
79,24,RP,B,B,BA,bat,4/4/2018
80,93,D,A,C,BA,bat,4/13/2018
81,46,RP,B,B,BB,bat,4/16/2018
82,78,D,B,B,BA,bat,3/26/2018
83,1,RP,A,C,BB,bat,4/25/2018
84,47,RP,B,C,BB,bat,4/1/2018
85,64,RP,B,C,BB,bat,4/10/2018
86,34,M,B,C,BB,bat,4/19/2018
87,12,M,B,B,BB,bat,4/1/2018
88,64,D,A,B,BB,bat,4/25/2018
89,36,D,B,C,BB,bat,4/22/2018
90,32,RP,B,C,BB,bat,4/1/2018
91,69,D,B,C,BB,bat,4/13/2018
92,26,D,B,A,BB,bat,4/10/2018
93,35,RP,B,A,BB,bat,4/22/2018
94,11,RP,B,B,BA,bat,4/7/2018
95,75,RP,B,B,BB,bat,3/29/2018
96,54,D,A,B,BB,bat,4/16/2018
97,54,RP,B,B,BA,bat,3/26/2018
98,85,RP,B,B,BA,bat,4/4/2018
99,36,RP,B,B,BB,bat,4/4/2018
100,27,RP,A,C,BA,bat,4/4/2018
101,32,M,A,A,BA,bat,4/13/2018
102,28,RP,A,B,BB,bat,4/25/2018
103,76,D,B,B,BA,bat,4/4/2018
104,2,M,A,B,BB,bat,4/19/2018
105,10,M,B,C,BA,bat,4/7/2018
106,86,RP,B,C,BB,bat,4/10/2018
107,22,RP,B,B,BB,bat,4/4/2018
108,27,RP,A,B,BB,bat,4/19/2018
109,36,RP,B,A,BA,bat,4/7/2018
110,14,D,A,C,BA,bat,4/1/2018
111,37,RP,B,C,BB,bat,4/19/2018
112,40,D,B,B,BB,bat,4/25/2018
113,19,RP,B,B,BA,bat,3/23/2018
114,45,RP,B,C,BB,bat,4/16/2018
115,70,D,B,C,BD,bat,4/22/2018
