Index,Unit,Visibility,GroundCover,HabitatType,Species,Size,DateFound
1,42,RP,A,B,BA,bat,4/4/2018
2,60,RP,B,B,BA,bat,3/23/2018
3,5,RP,B,A,BB,bat,4/13/2018
4,45,RP,B,B,BB,bat,3/26/2018
5,33,RP,B,C,BB,bat,3/23/2018
6,65,RP,B,B,BA,bat,4/16/2018
7,63,RP,A,B,BB,bat,4/16/2018
8,58,RP,A,A,BA,bat,4/16/2018
9,31,RP,A,B,BA,bat,4/4/2018
10,94,RP,B,B,BD,bat,3/29/2018
11,18,RP,B,C,BD,bat,4/19/2018
12,66,RP,A,B,BA,bat,4/10/2018
13,66,RP,A,C,BB,bat,4/16/2018
14,95,RP,A,C,BA,bat,5/1/2018
15,62,RP,B,B,BA,bat,3/23/2018
16,57,RP,B,C,BB,bat,3/29/2018
17,8,RP,B,A,BA,bat,4/19/2018
18,25,RP,A,B,BA,bat,4/25/2018
19,12,RP,B,C,BA,bat,3/26/2018
20,67,RP,B,B,BB,bat,4/16/2018
21,95,RP,A,C,BB,bat,4/16/2018
22,56,RP,B,B,BA,bat,3/29/2018
23,67,RP,B,C,BA,bat,4/4/2018
24,48,RP,B,C,BC,bat,4/7/2018
25,32,RP,B,B,BB,bat,4/4/2018
26,54,RP,A,B,BB,bat,4/22/2018
27,82,RP,A,B,BA,bat,4/16/2018
28,77,RP,B,C,BB,bat,4/4/2018
29,9,RP,A,C,BA,bat,4/13/2018
30,27,RP,A,B,BA,bat,4/4/2018
31,49,RP,B,C,BB,bat,4/13/2018
32,91,RP,B,C,BA,bat,4/28/2018
33,65,RP,A,C,BA,bat,3/23/2018
34,53,RP,A,B,BA,bat,3/29/2018
35,24,RP,B,C,BA,bat,4/4/2018
36,46,RP,A,B,BB,bat,4/16/2018
37,1,RP,A,B,BB,bat,4/25/2018
38,47,RP,A,B,BB,bat,4/1/2018
39,64,RP,B,B,BB,bat,4/10/2018
40,32,RP,A,C,BB,bat,4/1/2018
41,35,RP,B,C,BB,bat,4/22/2018
42,11,RP,B,C,BA,bat,4/7/2018
43,75,RP,B,B,BB,bat,3/29/2018
44,54,RP,B,C,BA,bat,3/26/2018
45,85,RP,B,B,BA,bat,4/4/2018
46,36,RP,B,C,BB,bat,4/4/2018
47,27,RP,B,B,BA,bat,4/4/2018
48,28,RP,B,B,BB,bat,4/25/2018
49,86,RP,B,C,BB,bat,4/10/2018
50,22,RP,B,C,BB,bat,4/4/2018
51,27,RP,A,C,BB,bat,4/19/2018
52,82,RP,B,C,BB,bat,4/19/2018
53,36,RP,B,B,BA,bat,4/7/2018
54,37,RP,B,A,BB,bat,4/19/2018
55,19,RP,B,B,BA,bat,3/23/2018
56,45,RP,A,C,BB,bat,4/16/2018
57,25,RP,A,C,BA,bat,3/26/2018
58,95,RP,B,B,BB,bat,4/19/2018
59,20,RP,A,C,BC,bat,4/22/2018
60,58,RP,B,B,BA,bat,4/16/2018
61,80,RP,A,B,BB,bat,4/25/2018
62,81,RP,B,C,BA,bat,3/26/2018
63,75,RP,B,C,BA,bat,4/22/2018
64,64,RP,A,B,BA,bat,4/7/2018
65,65,RP,B,B,BB,bat,4/25/2018
66,54,RP,B,C,BA,bat,4/13/2018
67,85,RP,A,B,BA,bat,4/19/2018
68,78,RP,B,B,BB,bat,4/13/2018
69,22,RP,B,C,BB,bat,3/29/2018
70,47,RP,A,B,BB,bat,3/29/2018
71,65,RP,B,C,BA,bat,3/23/2018
72,22,RP,A,B,BA,bat,4/7/2018
73,65,RP,A,C,BA,bat,3/29/2018
74,2,RP,B,A,BA,bat,4/16/2018
75,26,RP,A,C,BA,bat,4/22/2018
76,72,RP,A,B,BA,bat,4/25/2018
77,92,RP,B,A,BB,bat,4/1/2018
78,71,RP,B,B,BB,bat,4/19/2018
79,93,RP,B,B,BA,bat,4/25/2018
80,44,RP,A,B,BA,bat,4/10/2018
81,81,RP,B,C,BA,bat,4/16/2018
82,2,RP,B,C,BB,bat,4/19/2018
83,50,RP,A,B,BA,bat,3/29/2018
84,58,RP,B,B,BA,bat,3/29/2018
85,99,RP,B,B,BA,bat,4/10/2018
86,94,RP,B,B,BA,bat,4/19/2018
87,94,RP,B,C,BA,bat,4/13/2018
88,63,RP,A,B,BB,bat,4/25/2018
89,77,RP,B,B,BA,bat,4/1/2018
90,29,RP,B,C,BB,bat,4/28/2018
91,44,RP,B,C,BB,bat,4/22/2018
92,17,RP,B,B,BA,bat,4/13/2018
93,80,RP,B,C,BA,bat,4/10/2018
94,56,RP,B,B,BB,bat,4/28/2018
95,63,RP,B,B,BA,bat,4/28/2018
96,22,RP,A,A,BB,bat,4/10/2018
97,77,RP,B,B,BA,bat,4/22/2018
98,98,RP,B,B,BE,bat,4/10/2018
99,17,RP,B,B,BA,bat,4/19/2018
100,20,RP,A,B,BB,bat,4/25/2018
101,48,RP,A,C,BB,bat,4/1/2018
102,100,RP,A,B,BB,bat,4/25/2018
103,15,RP,B,B,BB,bat,4/1/2018
104,52,RP,A,B,BB,bat,3/29/2018
105,19,RP,B,B,BA,bat,4/7/2018
106,14,RP,B,C,BA,bat,4/25/2018
107,56,RP,B,B,BA,bat,3/29/2018
108,60,RP,A,A,BA,bat,4/7/2018
109,93,RP,B,C,BA,bat,4/1/2018
110,39,RP,A,C,BA,bat,4/19/2018
111,48,RP,B,B,BB,bat,4/16/2018
112,1,RP,B,C,BC,bat,4/10/2018
113,49,RP,B,B,BA,bat,3/29/2018
114,36,RP,B,B,BA,bat,4/10/2018
115,11,RP,B,A,BA,bat,4/13/2018
116,49,RP,A,B,BB,bat,4/22/2018
117,19,RP,A,B,BB,bat,4/13/2018
118,5,RP,A,C,BB,bat,4/7/2018
119,90,RP,B,C,BD,bat,4/1/2018
120,81,RP,A,B,BA,bat,5/1/2018
121,32,RP,B,B,BA,bat,4/16/2018
122,95,RP,B,B,BB,bat,3/26/2018
123,39,RP,B,B,BB,bat,3/29/2018
124,79,RP,B,C,BB,bat,4/1/2018
125,43,RP,B,C,BB,bat,4/25/2018
126,13,RP,B,C,BA,bat,4/10/2018
127,62,RP,A,C,BA,bat,3/23/2018
128,24,RP,B,B,BC,bat,4/13/2018
129,49,RP,B,B,BA,bat,3/26/2018
130,41,RP,B,B,BB,bat,4/4/2018
131,100,RP,B,C,BA,bat,3/23/2018
132,18,RP,B,B,BA,bat,4/7/2018
133,8,RP,B,C,BA,bat,3/29/2018
134,65,RP,B,B,BA,bat,4/19/2018
135,74,RP,B,A,BB,bat,4/16/2018
136,27,RP,B,B,BD,bat,3/29/2018
137,49,RP,B,B,BB,bat,4/19/2018
138,17,RP,A,C,BB,bat,4/7/2018
139,70,RP,B,B,BA,bat,4/7/2018
140,95,RP,B,A,BC,bat,4/10/2018
141,34,RP,A,C,BB,bat,4/28/2018
142,21,RP,B,C,BD,bat,4/7/2018
143,2,RP,B,C,BA,bat,4/1/2018
144,31,RP,A,B,BA,bat,4/13/2018
145,96,RP,B,B,BA,bat,4/7/2018
146,7,RP,B,B,BA,bat,3/26/2018
147,21,RP,A,C,BD,bat,4/19/2018
148,40,RP,A,B,BB,bat,4/1/2018
149,5,RP,B,B,BB,bat,4/10/2018
150,61,RP,B,B,BB,bat,5/1/2018
151,39,RP,A,C,BA,bat,3/29/2018
152,69,RP,B,B,BA,bat,4/22/2018
153,33,RP,A,B,BA,bat,5/1/2018
154,57,RP,A,A,BA,bat,4/13/2018
155,11,RP,A,B,BD,bat,4/25/2018
156,18,RP,B,B,BA,bat,4/19/2018
157,43,RP,B,C,BB,bat,3/29/2018
158,31,RP,A,B,BA,bat,4/16/2018
159,52,RP,A,B,BB,bat,5/1/2018
160,69,RP,A,C,BB,bat,5/29/2018
