ID,Visibility,Season,GroundCover,Size,LastPresentDecimalDays,FirstAbsentDecimalDays
1,L,WS,A,S,10,14
2,L,WS,B,S,3,7
3,M,WS,A,S,10,14
4,M,WS,A,S,28,NA
5,M,WS,B,S,14,21
6,H,WS,B,S,2,3
7,H,WS,B,S,14,21
8,H,WS,A,S,3,7
9,L,WS,A,L,7,10
10,L,WS,B,L,21,28
11,M,WS,A,L,10,14
12,M,WS,A,L,1,2
13,M,WS,B,L,3,7
14,H,WS,B,L,28,NA
15,H,WS,B,L,14,21
16,H,WS,A,L,3,7
17,L,WS,A,M,3,7
18,L,WS,B,M,14,21
19,M,WS,A,M,14,21
20,M,WS,A,M,21,28
21,M,WS,B,M,0,1
22,H,WS,B,M,21,28
23,H,WS,B,M,28,NA
24,H,WS,A,M,14,21
25,L,WS,A,XL,2,3
26,L,WS,B,XL,10,14
27,M,WS,A,XL,7,10
28,M,WS,A,XL,7,10
29,M,WS,B,XL,21,28
30,H,WS,B,XL,14,21
31,H,WS,B,XL,14,21
32,H,WS,A,XL,10,14
33,L,WS,B,S,14,21
34,L,WS,A,S,1,2
35,L,WS,A,S,3,7
36,L,SF,B,S,14,21
37,M,WS,B,S,14,21
38,M,WS,B,S,21,28
39,M,WS,B,S,1,2
40,M,SF,A,S,14,21
41,M,SF,B,S,10,14
42,H,WS,A,S,1,2
43,H,WS,A,S,3,7
44,H,WS,B,S,1,2
45,H,SF,A,S,14,21
46,H,SF,A,S,3,7
47,L,WS,B,L,14,21
48,L,WS,A,L,3,7
49,L,WS,A,L,28,NA
50,L,SF,B,L,3,7
51,M,WS,B,L,10,14
52,M,SF,A,L,14,21
53,M,SF,B,L,14,21
54,H,WS,A,L,0,1
55,H,WS,A,L,7,10
56,H,WS,B,L,14,21
57,H,SF,A,L,10,14
58,H,SF,A,L,0,1
59,L,WS,B,M,1,2
60,L,WS,A,M,7,10
61,L,WS,A,M,21,28
62,L,SF,B,M,3,7
63,M,WS,B,M,3,7
64,M,WS,B,M,10,14
65,M,WS,B,M,10,14
66,M,SF,A,M,21,28
67,M,SF,B,M,21,28
68,H,WS,A,M,3,7
69,H,WS,A,M,14,21
70,H,WS,B,M,14,21
71,H,SF,A,M,0,1
72,H,SF,A,M,10,14
73,L,WS,B,XL,14,21
74,L,WS,A,XL,1,2
75,L,WS,A,XL,21,28
76,L,SF,B,XL,14,21
77,M,WS,B,XL,10,14
78,M,SF,A,XL,21,28
