"","DateSearched","Season","Construction","Unit1","Unit2","Unit3","Unit4","Unit5"
"1",2017-01-01,"WS","Before",1,0,1,0,1
"2",2017-01-02,"WS","Before",0,1,0,1,0
"3",2017-01-15,"WS","Before",1,0,1,0,1
"4",2017-01-16,"WS","Before",0,1,0,1,0
"5",2017-01-29,"WS","Before",1,0,1,0,1
"6",2017-01-30,"WS","Before",0,1,0,1,0
"7",2017-02-12,"WS","Before",1,0,1,0,1
"8",2017-02-13,"WS","Before",0,1,0,1,0
"9",2017-02-26,"WS","Before",1,0,1,0,1
"10",2017-02-27,"WS","Before",0,1,0,1,0
"11",2017-03-12,"WS","Before",1,0,1,0,1
"12",2017-03-13,"WS","Before",0,1,0,1,0
"13",2017-03-26,"WS","Before",1,0,1,0,1
"14",2017-03-27,"WS","Before",0,1,0,1,0
"15",2017-04-09,"WS","Before",1,0,1,0,1
"16",2017-04-10,"WS","Before",0,1,0,1,0
"17",2017-04-23,"WS","Before",1,0,1,0,1
"18",2017-04-24,"WS","Before",0,1,0,1,0
"19",2017-05-07,"WS","Before",1,0,1,0,1
"20",2017-05-08,"WS","Before",0,1,0,1,0
"21",2017-05-21,"WS","After",1,0,1,0,1
"22",2017-05-22,"WS","After",0,1,0,1,0
"23",2017-06-04,"WS","After",1,0,1,0,1
"24",2017-06-05,"WS","After",0,1,0,1,0
"25",2017-06-18,"WS","After",1,0,1,0,1
"26",2017-06-19,"WS","After",0,1,0,1,0
"27",2017-07-01,"SF","After",1,1,1,1,1
"28",2017-07-15,"SF","After",1,1,1,1,1
"29",2017-07-29,"SF","After",1,1,1,1,1
"30",2017-08-12,"SF","After",0,1,1,1,1
"31",2017-08-26,"SF","After",1,1,1,1,1
"32",2017-09-09,"SF","After",1,1,1,1,0
"33",2017-09-23,"SF","After",1,1,1,1,1
"34",2017-10-07,"SF","After",1,0,1,1,1
"35",2017-10-21,"SF","After",1,1,1,1,1
"36",2017-11-04,"SF","After",1,1,1,1,1
"37",2017-11-18,"SF","After",1,1,1,1,1
"38",2017-12-02,"SF","After",1,1,1,1,1
"39",2017-12-16,"SF","After",1,1,1,0,1
"40",2017-12-30,"WS","After",1,1,1,1,1
