"ID";"Visibility";"HabitatType";"Season";"Size";"Search1";"Search2";"Search3";"Search4"
1;"L";"HT1";"SF";"S";1;NA;NA;NA
2;"L";"HT1";"SF";"S";1;NA;NA;NA
3;"L";"HT1";"WS";"S";0;0;0;0
4;"L";"HT1";"WS";"S";1;NA;NA;NA
5;"L";"HT1";"WS";"S";0;1;NA;NA
6;"L";"HT1";"SF";"S";1;NA;NA;NA
7;"L";"HT1";"WS";"S";0;0;0;0
8;"L";"HT1";"WS";"S";1;NA;NA;NA
9;"L";"HT1";"SF";"S";0;0;0;0
10;"L";"HT1";"SF";"S";0;0;0;1
11;"L";"HT1";"WS";"S";0;0;0;0
12;"L";"HT1";"SF";"S";0;1;NA;NA
13;"L";"HT1";"SF";"S";1;NA;NA;NA
14;"L";"HT1";"SF";"S";1;NA;NA;NA
15;"L";"HT1";"WS";"S";0;0;0;0
16;"L";"HT1";"WS";"S";1;NA;NA;NA
17;"L";"HT1";"WS";"S";1;NA;NA;NA
18;"L";"HT1";"SF";"S";0;1;NA;NA
19;"L";"HT1";"WS";"S";1;NA;NA;NA
20;"L";"HT1";"WS";"S";0;0;0;0
21;"L";"HT1";"SF";"L";0;0;0;0
22;"L";"HT1";"SF";"L";1;NA;NA;NA
23;"L";"HT1";"WS";"L";1;NA;NA;NA
24;"L";"HT1";"SF";"L";0;0;0;0
25;"L";"HT1";"SF";"L";0;0;0;0
26;"L";"HT1";"SF";"L";1;NA;NA;NA
27;"L";"HT1";"WS";"L";0;1;NA;NA
28;"L";"HT1";"WS";"L";1;NA;NA;NA
29;"L";"HT1";"WS";"L";0;1;NA;NA
30;"L";"HT1";"SF";"L";1;NA;NA;NA
31;"L";"HT1";"WS";"L";1;NA;NA;NA
32;"L";"HT1";"WS";"L";0;0;0;0
33;"L";"HT1";"SF";"L";1;NA;NA;NA
34;"L";"HT1";"SF";"L";1;NA;NA;NA
35;"L";"HT1";"WS";"L";1;NA;NA;NA
36;"L";"HT1";"SF";"L";1;NA;NA;NA
37;"L";"HT1";"SF";"L";0;0;0;0
38;"L";"HT1";"SF";"L";1;NA;NA;NA
39;"L";"HT1";"WS";"L";1;NA;NA;NA
40;"L";"HT1";"WS";"L";1;NA;NA;NA
41;"H";"HT1";"WS";"S";0;1;NA;NA
42;"H";"HT1";"SF";"S";1;NA;NA;NA
43;"H";"HT1";"WS";"S";1;NA;NA;NA
44;"H";"HT1";"WS";"S";1;NA;NA;NA
45;"H";"HT1";"SF";"S";1;NA;NA;NA
46;"H";"HT1";"SF";"S";1;NA;NA;NA
47;"H";"HT1";"WS";"S";0;1;NA;NA
48;"H";"HT1";"SF";"S";0;1;NA;NA
49;"H";"HT1";"SF";"S";0;1;NA;NA
50;"H";"HT1";"SF";"S";1;NA;NA;NA
51;"H";"HT1";"WS";"S";0;0;0;0
52;"H";"HT1";"WS";"S";0;1;NA;NA
53;"H";"HT1";"WS";"S";1;NA;NA;NA
54;"H";"HT1";"SF";"S";1;NA;NA;NA
55;"H";"HT1";"WS";"S";0;0;0;0
56;"H";"HT1";"WS";"S";1;NA;NA;NA
57;"H";"HT1";"SF";"S";0;1;NA;NA
58;"H";"HT1";"SF";"S";1;NA;NA;NA
59;"H";"HT1";"WS";"S";1;NA;NA;NA
60;"H";"HT1";"SF";"S";0;1;NA;NA
61;"H";"HT1";"SF";"L";0;1;NA;NA
62;"H";"HT1";"SF";"L";0;0;1;NA
63;"H";"HT1";"WS";"L";1;NA;NA;NA
64;"H";"HT1";"WS";"L";1;NA;NA;NA
65;"H";"HT1";"WS";"L";1;NA;NA;NA
66;"H";"HT1";"SF";"L";0;0;0;0
67;"H";"HT1";"WS";"L";1;NA;NA;NA
68;"H";"HT1";"WS";"L";0;0;0;0
69;"H";"HT1";"SF";"L";1;NA;NA;NA
70;"H";"HT1";"SF";"L";0;0;0;0
71;"H";"HT1";"WS";"L";1;NA;NA;NA
72;"H";"HT1";"SF";"L";0;0;0;1
73;"H";"HT1";"SF";"L";1;NA;NA;NA
