"ID","Unit","Visibility","GroundCover","HabitatType","Split","Size","DateFound"
"1","1","H","A","HT2","C2","M","1/1/2017"
"2","3","H","A","HT2","C2","L","1/1/2017"
"3","3","H","A","HT1","C1","XL","1/1/2017"
"4","3","M","B","HT2","C2","M","1/1/2017"
"5","3","H","A","HT2","C1","XL","1/1/2017"
"6","3","H","A","HT1","C2","S","1/1/2017"
"7","3","M","A","HT2","C2","S","1/1/2017"
"8","3","H","B","HT2","C1","M","1/1/2017"
"9","3","H","B","HT1","C2","M","1/1/2017"
"10","3","M","B","HT1","C1","S","1/1/2017"
"11","5","M","B","HT1","C1","M","1/1/2017"
"12","2","H","A","HT1","C2","M","1/2/2017"
"13","2","L","B","HT2","C1","L","1/2/2017"
"14","2","L","B","HT1","C1","M","1/2/2017"
"15","2","M","A","HT2","C1","L","1/2/2017"
"16","2","M","B","HT1","C1","S","1/2/2017"
"17","4","L","B","HT1","C2","S","1/2/2017"
"18","4","H","B","HT2","C1","S","1/2/2017"
"19","4","H","A","HT1","C2","S","1/2/2017"
"20","4","H","A","HT1","C2","L","1/2/2017"
"21","4","M","A","HT1","C1","XL","1/2/2017"
"22","4","L","B","HT2","C2","XL","1/2/2017"
"23","4","M","A","HT1","C2","L","1/2/2017"
"24","4","M","A","HT2","C1","XL","1/2/2017"
"25","1","M","B","HT1","C1","M","1/15/2017"
"26","1","H","A","HT1","C2","M","1/15/2017"
"27","1","M","B","HT2","C2","L","1/15/2017"
"28","1","L","A","HT1","C1","L","1/15/2017"
"29","1","H","A","HT2","C1","S","1/15/2017"
"30","1","M","A","HT1","C2","M","1/15/2017"
"31","1","H","B","HT1","C2","M","1/15/2017"
"32","3","H","B","HT2","C1","S","1/15/2017"
"33","3","M","A","HT2","C2","M","1/15/2017"
"34","5","L","A","HT1","C1","L","1/15/2017"
"35","2","M","B","HT1","C2","M","1/16/2017"
"36","2","H","B","HT1","C1","M","1/16/2017"
"37","2","H","A","HT1","C1","XL","1/16/2017"
"38","4","L","A","HT2","C1","S","1/16/2017"
"39","1","M","A","HT1","C2","S","1/29/2017"
"40","1","M","A","HT1","C2","L","1/29/2017"
"41","3","H","B","HT2","C1","S","1/29/2017"
"42","2","H","B","HT1","C1","M","1/30/2017"
"43","2","L","A","HT1","C2","M","1/30/2017"
"44","2","H","B","HT1","C1","M","1/30/2017"
"45","1","H","A","HT1","C1","L","2/12/2017"
"46","1","M","A","HT1","C1","M","2/12/2017"
"47","3","M","B","HT1","C1","S","2/12/2017"
"48","3","M","B","HT2","C1","L","2/12/2017"
"49","3","M","B","HT2","C2","S","2/12/2017"
"50","2","H","B","HT1","C1","M","2/13/2017"
"51","2","M","B","HT1","C2","M","2/13/2017"
"52","2","H","B","HT1","C2","S","2/13/2017"
"53","2","H","A","HT1","C2","M","2/13/2017"
"54","2","H","B","HT2","C2","S","2/13/2017"
"55","2","M","B","HT2","C2","XL","2/13/2017"
"56","4","H","B","HT2","C2","XL","2/13/2017"
"57","4","M","A","HT1","C2","L","2/13/2017"
"58","4","M","A","HT2","C1","S","2/13/2017"
"59","1","M","A","HT2","C1","M","2/26/2017"
"60","1","H","B","HT2","C1","L","2/26/2017"
"61","1","M","B","HT1","C2","XL","2/26/2017"
"62","3","H","B","HT2","C1","M","2/26/2017"
"63","3","H","B","HT1","C2","XL","2/26/2017"
"64","3","H","B","HT1","C2","L","2/26/2017"
"65","3","M","B","HT1","C2","S","2/26/2017"
"66","3","H","B","HT1","C2","XL","2/26/2017"
"67","5","H","A","HT1","C2","XL","2/26/2017"
"68","5","M","A","HT1","C2","L","2/26/2017"
"69","5","H","B","HT1","C1","S","2/26/2017"
"70","5","L","B","HT1","C1","M","2/26/2017"
"71","1","H","B","HT1","C1","XL","3/12/2017"
"72","1","H","A","HT1","C1","M","3/12/2017"
"73","1","M","A","HT1","C1","S","3/12/2017"
"74","1","H","A","HT2","C1","M","3/12/2017"
"75","1","H","B","HT1","C1","L","3/12/2017"
"76","3","M","B","HT2","C1","XL","3/12/2017"
"77","5","H","B","HT1","C2","M","3/12/2017"
"78","5","H","A","HT2","C2","XL","3/12/2017"
"79","5","L","A","HT2","C1","L","3/12/2017"
"80","5","H","B","HT1","C1","M","3/12/2017"
