DateSearched,Season,Unit1,Unit2,Unit3,Unit4,Unit5
2017-01-01,WS,1,0,1,0,1
2017-01-02,WS,0,1,0,1,0
2017-01-15,WS,1,0,1,0,1
2017-01-16,WS,0,1,0,1,0
2017-01-29,WS,1,0,1,0,1
2017-01-30,WS,0,1,0,1,0
2017-02-12,WS,1,0,1,0,1
2017-02-13,WS,0,1,0,1,0
2017-02-26,WS,1,0,1,0,1
2017-02-27,WS,0,1,0,1,0
2017-03-12,WS,1,0,1,0,1
2017-03-13,WS,0,1,0,1,0
2017-03-26,WS,1,0,1,0,1
2017-03-27,WS,0,1,0,1,0
2017-04-09,WS,1,0,1,0,1
2017-04-10,WS,0,1,0,1,0
2017-04-23,WS,1,0,1,0,1
2017-04-24,WS,0,1,0,1,0
2017-05-07,WS,1,0,1,0,1
2017-05-08,WS,0,1,0,1,0
2017-05-21,WS,1,0,1,0,1
2017-05-22,WS,0,1,0,1,0
2017-06-04,WS,1,0,1,0,1
2017-06-05,WS,0,1,0,1,0
2017-06-18,WS,1,0,1,0,1
2017-06-19,WS,0,1,0,1,0
2017-07-01,SF,1,1,1,1,1
2017-07-15,SF,1,1,1,1,1
2017-07-29,SF,1,1,1,1,1
2017-08-12,SF,0,1,1,1,1
2017-08-26,SF,1,1,1,1,1
2017-09-09,SF,1,1,1,1,0
2017-09-23,SF,1,1,1,1,1
2017-10-07,SF,1,0,1,1,1
2017-10-21,SF,1,1,1,1,1
2017-11-04,SF,1,1,1,1,1
2017-11-18,SF,1,1,1,1,1
2017-12-02,SF,1,1,1,1,1
2017-12-16,SF,1,1,1,0,1
2017-12-30,WS,1,1,1,1,1
