"Index","Unit","Species","Size","Row","Distance","DateFound","X","Y"
1,"Unit82","SA","small",28,13,2018-01-26,524641,3857110
2,"Unit147","SB","small",30,23,2018-01-13,525440,3857592
3,"Unit213","SC","small",31,44,2018-02-04,526408,3858069
4,"Unit204","SA","small",34,10,2018-04-29,524953,3858081
5,"Unit117","SC","small",25,27,2018-04-20,527023,3857256
6,"Unit72","SA","small",29,33,2018-05-04,526239,3856956
7,"Unit180","SB","small",1,3,2018-06-16,527472,3857635
8,"Unit61","SA","small",18,40,2018-04-27,524510,3856913
9,"Unit43","SA","small",12,8,2018-03-29,524793,3856731
10,"Unit110","SA","small",17,8,2018-05-25,525899,3857225
11,"Unit178","SB","small",20,12,2018-05-19,527166,3857710
12,"Unit96","SA","small",11,18,2018-05-11,526856,3857043
13,"Unit287","SB","small",16,1,2018-05-07,525418,3858642
14,"Unit26","SC","small",19,19,2018-04-26,525277,3856601
15,"Unit106","SA","small",17,16,2018-05-11,525275,3857225
16,"Unit83","SA","small",23,47,2018-05-11,524833,3857091
17,"Unit265","SA","small",24,16,2018-04-16,525117,3858516
18,"Unit44","SD","small",36,16,2018-06-07,524960,3856826
19,"Unit26","SA","small",12,27,2018-03-29,525286,3856573
20,"Unit273","SA","small",9,0,2018-04-09,526364,3858456
21,"Unit129","SB","small",33,16,2018-06-30,525748,3857446
22,"Unit269","SB","small",34,23,2018-05-07,525756,3858555
23,"Unit129","SC","small",17,55,2018-04-14,525788,3857383
24,"Unit270","SB","small",22,1,2018-03-26,525892,3858508
25,"Unit152","SB","small",10,11,2018-04-07,526217,3857513
26,"Unit292","SB","small",8,41,2018-05-21,526248,3858610
27,"Unit248","SB","small",10,18,2018-05-28,525592,3858302
28,"Unit263","SB","small",5,12,2018-05-14,524797,3858441
29,"Unit140","SD","small",20,24,2018-05-12,527494,3857394
30,"Unit113","SA","small",15,48,2018-03-23,526412,3857217
31,"Unit187","SB","small",9,39,2018-06-17,525456,3857825
32,"Unit204","SA","small",21,28,2018-06-17,524971,3858030
33,"Unit195","SB","small",10,39,2018-04-01,526719,3857829
34,"Unit151","SB","small",10,93,2018-06-09,526142,3857513
35,"Unit139","SA","small",12,14,2018-05-12,527326,3857363
36,"Unit30","SB","small",12,7,2018-04-12,525898,3856573
37,"Unit122","SA","small",2,71,2018-04-14,524698,3857323
38,"Unit218","SB","small",32,8,2018-06-10,527162,3858073
39,"Unit208","SA","small",21,16,2018-05-13,525591,3858030
40,"Unit237","SB","small",24,24,2018-05-27,527020,3858200
41,"Unit261","SB","small",28,25,2018-05-28,524494,3858531
42,"Unit156","SD","small",35,16,2018-06-09,526854,3857612
43,"Unit163","SB","small",19,40,2018-05-05,524825,3857706
44,"Unit168","SA","small",24,13,2018-04-28,525587,3857726
45,"Unit298","SB","small",9,71,2018-06-04,527224,3858614
46,"Unit117","SB","small",6,21,2018-05-04,527017,3857181
47,"Unit138","SB","small",37,26,2018-04-21,527180,3857462
48,"Unit241","SA","small",14,22,2018-04-02,524492,3858318
