"Index","Season","Size","Search1","Search2","Search3","Search4","Search5","Distance"
1,"winter","small",1,NA,NA,NA,NA,17
2,"winter","small",1,NA,NA,NA,NA,26
3,"winter","small",0,1,NA,NA,NA,54
4,"winter","small",0,1,NA,NA,NA,28
5,"winter","small",1,NA,NA,NA,NA,46
6,"winter","small",1,NA,NA,NA,NA,40
7,"winter","small",0,0,1,NA,NA,34
8,"winter","small",1,NA,NA,NA,NA,40
9,"winter","small",1,NA,NA,NA,NA,23
10,"winter","small",1,NA,NA,NA,NA,20
11,"winter","small",0,1,NA,NA,NA,53
12,"winter","small",0,0,0,1,NA,33
13,"winter","small",0,0,0,0,1,26
14,"winter","small",0,0,1,NA,NA,47
15,"winter","small",0,0,0,0,1,24
16,"winter","small",1,NA,NA,NA,NA,4
17,"winter","small",0,1,NA,NA,NA,23
18,"winter","small",1,NA,NA,NA,NA,10
19,"winter","small",0,1,NA,NA,NA,34
20,"winter","small",1,NA,NA,NA,NA,20
21,"spring","small",0,0,0,0,1,39
22,"spring","small",1,NA,NA,NA,NA,18
23,"spring","small",1,NA,NA,NA,NA,6
24,"spring","small",0,1,NA,NA,NA,36
25,"spring","small",1,NA,NA,NA,NA,40
26,"spring","small",0,1,NA,NA,NA,49
27,"spring","small",0,1,NA,NA,NA,16
28,"spring","small",1,NA,NA,NA,NA,29
29,"spring","small",1,NA,NA,NA,NA,8
30,"spring","small",0,0,1,NA,NA,37
31,"spring","small",0,0,1,NA,NA,11
32,"spring","small",0,1,NA,NA,NA,44
33,"spring","small",1,NA,NA,NA,NA,29
34,"spring","small",1,NA,NA,NA,NA,5
35,"spring","small",0,1,NA,NA,NA,45
36,"spring","small",0,1,NA,NA,NA,19
37,"spring","small",1,NA,NA,NA,NA,7
38,"spring","small",1,NA,NA,NA,NA,6
39,"spring","small",0,0,1,NA,NA,23
40,"spring","small",1,NA,NA,NA,NA,15
41,"summer","small",0,1,NA,NA,NA,47
42,"summer","small",1,NA,NA,NA,NA,17
43,"summer","small",1,NA,NA,NA,NA,21
44,"summer","small",1,NA,NA,NA,NA,15
45,"summer","small",1,NA,NA,NA,NA,12
46,"summer","small",1,NA,NA,NA,NA,36
47,"summer","small",0,1,NA,NA,NA,50
48,"summer","small",1,NA,NA,NA,NA,8
49,"summer","small",1,NA,NA,NA,NA,24
50,"summer","small",0,0,0,0,1,54
51,"summer","small",1,NA,NA,NA,NA,24
52,"summer","small",0,1,NA,NA,NA,45
53,"summer","small",1,NA,NA,NA,NA,10
54,"summer","small",1,NA,NA,NA,NA,11
55,"summer","small",0,1,NA,NA,NA,52
56,"summer","small",0,0,1,NA,NA,54
57,"summer","small",1,NA,NA,NA,NA,31
58,"summer","small",1,NA,NA,NA,NA,43
59,"summer","small",0,0,1,NA,NA,54
60,"summer","small",1,NA,NA,NA,NA,5
61,"fall","small",0,0,0,0,0,52
62,"fall","small",0,0,0,0,1,35
63,"fall","small",1,NA,NA,NA,NA,3
64,"fall","small",0,1,NA,NA,NA,54
65,"fall","small",0,0,1,NA,NA,40
66,"fall","small",0,0,0,1,NA,21
67,"fall","small",1,NA,NA,NA,NA,6
68,"fall","small",1,NA,NA,NA,NA,30
69,"fall","small",1,NA,NA,NA,NA,6
70,"fall","small",0,1,NA,NA,NA,34
71,"fall","small",1,NA,NA,NA,NA,6
72,"fall","small",1,NA,NA,NA,NA,1
73,"fall","small",0,1,NA,NA,NA,40
74,"fall","small",1,NA,NA,NA,NA,15
75,"fall","small",1,NA,NA,NA,NA,27
76,"fall","small",0,1,NA,NA,NA,28
77,"fall","small",0,1,NA,NA,NA,37
78,"fall","small",0,0,0,0,1,24
79,"fall","small",1,NA,NA,NA,NA,23
80,"fall","small",0,1,NA,NA,NA,25
81,"winter","med",1,NA,NA,NA,NA,35
82,"winter","med",0,1,NA,NA,NA,92
83,"winter","med",1,NA,NA,NA,NA,20
84,"winter","med",1,NA,NA,NA,NA,110
85,"winter","med",0,0,1,NA,NA,90
86,"winter","med",1,NA,NA,NA,NA,61
87,"winter","med",1,NA,NA,NA,NA,60
88,"winter","med",0,1,NA,NA,NA,99
89,"winter","med",0,0,1,NA,NA,88
90,"winter","med",1,NA,NA,NA,NA,29
91,"winter","med",1,NA,NA,NA,NA,64
92,"winter","med",1,NA,NA,NA,NA,42
93,"winter","med",1,NA,NA,NA,NA,68
94,"winter","med",1,NA,NA,NA,NA,39
95,"winter","med",0,1,NA,NA,NA,71
96,"winter","med",1,NA,NA,NA,NA,3
97,"winter","med",1,NA,NA,NA,NA,34
98,"winter","med",1,NA,NA,NA,NA,23
99,"winter","med",1,NA,NA,NA,NA,21
100,"winter","med",1,NA,NA,NA,NA,27
101,"spring","med",0,0,0,0,0,113
102,"spring","med",0,1,NA,NA,NA,88
103,"spring","med",0,0,1,NA,NA,110
104,"spring","med",0,0,0,1,NA,82
105,"spring","med",1,NA,NA,NA,NA,65
106,"spring","med",1,NA,NA,NA,NA,38
107,"spring","med",0,1,NA,NA,NA,67
108,"spring","med",1,NA,NA,NA,NA,49
109,"spring","med",1,NA,NA,NA,NA,11
110,"spring","med",1,NA,NA,NA,NA,7
111,"spring","med",0,1,NA,NA,NA,100
112,"spring","med",0,0,0,0,0,51
113,"spring","med",1,NA,NA,NA,NA,40
114,"spring","med",1,NA,NA,NA,NA,23
115,"spring","med",1,NA,NA,NA,NA,56
116,"spring","med",1,NA,NA,NA,NA,107
117,"spring","med",1,NA,NA,NA,NA,6
118,"spring","med",1,NA,NA,NA,NA,40
119,"spring","med",1,NA,NA,NA,NA,33
120,"spring","med",0,1,NA,NA,NA,13
121,"summer","med",0,0,0,0,0,111
122,"summer","med",1,NA,NA,NA,NA,57
123,"summer","med",0,1,NA,NA,NA,89
124,"summer","med",1,NA,NA,NA,NA,31
125,"summer","med",0,0,1,NA,NA,84
126,"summer","med",1,NA,NA,NA,NA,2
127,"summer","med",0,1,NA,NA,NA,15
128,"summer","med",0,0,0,1,NA,72
129,"summer","med",1,NA,NA,NA,NA,80
130,"summer","med",1,NA,NA,NA,NA,16
131,"summer","med",0,1,NA,NA,NA,18
132,"summer","med",0,1,NA,NA,NA,61
133,"summer","med",1,NA,NA,NA,NA,70
134,"summer","med",1,NA,NA,NA,NA,104
135,"summer","med",1,NA,NA,NA,NA,47
136,"summer","med",0,0,1,NA,NA,77
137,"summer","med",1,NA,NA,NA,NA,43
138,"summer","med",0,1,NA,NA,NA,78
139,"summer","med",1,NA,NA,NA,NA,39
140,"summer","med",1,NA,NA,NA,NA,98
141,"fall","med",1,NA,NA,NA,NA,90
142,"fall","med",0,1,NA,NA,NA,60
143,"fall","med",0,1,NA,NA,NA,32
144,"fall","med",1,NA,NA,NA,NA,69
145,"fall","med",1,NA,NA,NA,NA,16
146,"fall","med",1,NA,NA,NA,NA,59
147,"fall","med",1,NA,NA,NA,NA,77
148,"fall","med",0,1,NA,NA,NA,113
149,"fall","med",0,0,0,0,0,65
150,"fall","med",0,1,NA,NA,NA,89
151,"fall","med",0,1,NA,NA,NA,103
152,"fall","med",1,NA,NA,NA,NA,2
153,"fall","med",0,0,0,1,NA,117
154,"fall","med",1,NA,NA,NA,NA,1
155,"fall","med",1,NA,NA,NA,NA,52
156,"fall","med",0,0,1,NA,NA,28
157,"fall","med",1,NA,NA,NA,NA,39
158,"fall","med",1,NA,NA,NA,NA,6
159,"fall","med",1,NA,NA,NA,NA,28
160,"fall","med",1,NA,NA,NA,NA,10
161,"winter","lrg",0,1,NA,NA,NA,101
162,"winter","lrg",1,NA,NA,NA,NA,32
163,"winter","lrg",1,NA,NA,NA,NA,78
164,"winter","lrg",1,NA,NA,NA,NA,17
165,"winter","lrg",1,NA,NA,NA,NA,85
166,"winter","lrg",0,1,NA,NA,NA,113
167,"winter","lrg",1,NA,NA,NA,NA,3
168,"winter","lrg",1,NA,NA,NA,NA,17
169,"winter","lrg",1,NA,NA,NA,NA,115
170,"winter","lrg",1,NA,NA,NA,NA,12
171,"winter","lrg",1,NA,NA,NA,NA,81
172,"winter","lrg",1,NA,NA,NA,NA,99
173,"winter","lrg",1,NA,NA,NA,NA,148
174,"winter","lrg",0,1,NA,NA,NA,128
175,"winter","lrg",1,NA,NA,NA,NA,65
176,"winter","lrg",1,NA,NA,NA,NA,98
177,"winter","lrg",1,NA,NA,NA,NA,24
178,"winter","lrg",0,1,NA,NA,NA,103
179,"winter","lrg",1,NA,NA,NA,NA,30
180,"winter","lrg",1,NA,NA,NA,NA,77
181,"spring","lrg",1,NA,NA,NA,NA,126
182,"spring","lrg",0,1,NA,NA,NA,137
183,"spring","lrg",1,NA,NA,NA,NA,56
184,"spring","lrg",1,NA,NA,NA,NA,149
185,"spring","lrg",1,NA,NA,NA,NA,13
186,"spring","lrg",1,NA,NA,NA,NA,50
187,"spring","lrg",1,NA,NA,NA,NA,66
188,"spring","lrg",0,1,NA,NA,NA,58
189,"spring","lrg",1,NA,NA,NA,NA,87
190,"spring","lrg",0,1,NA,NA,NA,137
191,"spring","lrg",1,NA,NA,NA,NA,18
192,"spring","lrg",1,NA,NA,NA,NA,25
193,"spring","lrg",1,NA,NA,NA,NA,79
194,"spring","lrg",1,NA,NA,NA,NA,64
195,"spring","lrg",1,NA,NA,NA,NA,24
196,"spring","lrg",1,NA,NA,NA,NA,9
197,"spring","lrg",1,NA,NA,NA,NA,69
198,"spring","lrg",1,NA,NA,NA,NA,34
199,"spring","lrg",1,NA,NA,NA,NA,92
200,"spring","lrg",1,NA,NA,NA,NA,33
201,"summer","lrg",1,NA,NA,NA,NA,83
202,"summer","lrg",1,NA,NA,NA,NA,43
203,"summer","lrg",1,NA,NA,NA,NA,33
204,"summer","lrg",1,NA,NA,NA,NA,127
205,"summer","lrg",1,NA,NA,NA,NA,27
206,"summer","lrg",1,NA,NA,NA,NA,10
207,"summer","lrg",1,NA,NA,NA,NA,91
208,"summer","lrg",1,NA,NA,NA,NA,26
209,"summer","lrg",1,NA,NA,NA,NA,143
210,"summer","lrg",1,NA,NA,NA,NA,55
211,"summer","lrg",1,NA,NA,NA,NA,29
212,"summer","lrg",1,NA,NA,NA,NA,132
213,"summer","lrg",1,NA,NA,NA,NA,46
214,"summer","lrg",1,NA,NA,NA,NA,106
215,"summer","lrg",1,NA,NA,NA,NA,57
216,"summer","lrg",1,NA,NA,NA,NA,26
217,"summer","lrg",0,1,NA,NA,NA,139
218,"summer","lrg",1,NA,NA,NA,NA,62
219,"summer","lrg",1,NA,NA,NA,NA,8
220,"summer","lrg",1,NA,NA,NA,NA,5
221,"fall","lrg",0,1,NA,NA,NA,141
222,"fall","lrg",1,NA,NA,NA,NA,118
223,"fall","lrg",1,NA,NA,NA,NA,45
224,"fall","lrg",1,NA,NA,NA,NA,89
225,"fall","lrg",1,NA,NA,NA,NA,105
226,"fall","lrg",1,NA,NA,NA,NA,62
227,"fall","lrg",0,1,NA,NA,NA,140
228,"fall","lrg",1,NA,NA,NA,NA,1
229,"fall","lrg",1,NA,NA,NA,NA,15
230,"fall","lrg",0,1,NA,NA,NA,108
231,"fall","lrg",0,1,NA,NA,NA,100
232,"fall","lrg",0,0,0,0,1,135
233,"fall","lrg",1,NA,NA,NA,NA,22
234,"fall","lrg",1,NA,NA,NA,NA,104
235,"fall","lrg",1,NA,NA,NA,NA,88
236,"fall","lrg",1,NA,NA,NA,NA,14
237,"fall","lrg",0,1,NA,NA,NA,142
238,"fall","lrg",0,1,NA,NA,NA,126
239,"fall","lrg",1,NA,NA,NA,NA,24
240,"fall","lrg",1,NA,NA,NA,NA,35
