"Index","Unit","Species","Size","Season","Flux","Field","Ring","Distance","DateFound","X","Y"
1,"center","SA","sml","winter",TRUE,"inner",NA,NA,2018-01-11,760,1086
2,"arc107","SB","sml","winter",FALSE,"outer",17,2,2018-03-04,1435,1799
3,"center","SD","sml","winter",TRUE,"inner",NA,NA,2018-01-11,831,1085
4,"center","SB","sml","spring",TRUE,"inner",NA,NA,2018-05-24,751,1001
5,"center","SE","sml","spring",TRUE,"inner",NA,NA,2018-06-14,746,1000
6,"center","SB","sml","spring",TRUE,"inner",NA,NA,2018-06-07,703,1042
7,"center","SA","sml","spring",TRUE,"inner",NA,NA,2018-03-22,817,1031
8,"arc137","SB","sml","spring",FALSE,"outer",11,7,2018-05-07,135,1443
9,"arc34","SA","sml","spring",FALSE,"outer",16,9,2018-04-13,325,84
10,"center","SB","sml","spring",TRUE,"inner",NA,NA,2018-04-26,636,1036
11,"center","SA","sml","spring",TRUE,"inner",NA,NA,2018-05-10,650,1123
12,"center","SB","sml","spring",TRUE,"inner",NA,NA,2018-04-26,764,1001
13,"center","SB","sml","spring",TRUE,"inner",NA,NA,2018-05-24,752,928
14,"arc47","SA","sml","spring",FALSE,"outer",11,4,2018-06-15,972,279
15,"center","SA","sml","spring",TRUE,"inner",NA,NA,2018-04-26,743,1011
16,"center","SB","sml","spring",TRUE,"inner",NA,NA,2018-03-29,751,990
17,"center","SA","sml","spring",TRUE,"inner",NA,NA,2018-06-07,685,1048
18,"center","SA","sml","spring",TRUE,"inner",NA,NA,2018-05-17,753,996
19,"center","SA","sml","spring",TRUE,"inner",NA,NA,2018-05-10,753,963
20,"arc131","SB","sml","spring",FALSE,"outer",5,3,2018-04-23,427,1318
21,"center","SA","sml","spring",TRUE,"inner",NA,NA,2018-05-10,811,935
22,"center","SB","sml","spring",TRUE,"inner",NA,NA,2018-06-07,735,1045
23,"arc11","SC","sml","spring",FALSE,"outer",11,2,2018-04-05,32,775
24,"arc100","SC","sml","spring",FALSE,"outer",10,1,2018-05-06,977,1663
25,"arc78","SB","sml","spring",FALSE,"outer",6,6,2018-04-07,1248,1093
26,"center","SB","sml","summer",TRUE,"inner",NA,NA,2018-08-16,860,1098
27,"center","SA","sml","summer",TRUE,"inner",NA,NA,2018-09-13,723,1084
28,"center","SA","sml","summer",TRUE,"inner",NA,NA,2018-08-09,694,993
29,"center","SB","sml","summer",TRUE,"inner",NA,NA,2018-08-16,795,1076
30,"center","SB","sml","summer",TRUE,"inner",NA,NA,2018-09-27,792,946
31,"arc79","SA","sml","summer",FALSE,"outer",7,3,2018-07-14,1301,1056
32,"arc43","SA","sml","summer",FALSE,"outer",7,5,2018-08-17,1085,557
33,"center","SC","sml","summer",TRUE,"inner",NA,NA,2018-09-27,748,912
34,"center","SA","sml","summer",TRUE,"inner",NA,NA,2018-09-13,773,989
35,"arc134","SA","sml","summer",FALSE,"outer",8,11,2018-09-17,163,1172
36,"center","SA","sml","summer",TRUE,"inner",NA,NA,2018-08-02,703,974
37,"center","SB","sml","summer",TRUE,"inner",NA,NA,2018-07-19,744,988
38,"center","SE","sml","summer",TRUE,"inner",NA,NA,2018-06-28,783,936
39,"center","SA","sml","summer",TRUE,"inner",NA,NA,2018-07-19,808,776
40,"center","SA","sml","fall",TRUE,"inner",NA,NA,2018-11-08,690,1133
41,"arc122","SA","sml","fall",FALSE,"outer",14,1,2018-11-26,136,1659
42,"center","SB","sml","fall",TRUE,"inner",NA,NA,2018-10-18,743,1054
43,"arc85","SB","sml","fall",FALSE,"outer",13,3,2018-10-06,1484,1435
44,"arc50","SA","sml","fall",FALSE,"outer",14,1,2018-10-12,909,112
45,"center","SA","sml","fall",TRUE,"inner",NA,NA,2018-11-29,791,1068
46,"center","MB","med","winter",TRUE,"inner",NA,NA,2018-01-11,772,1010
47,"arc92","MA","med","winter",FALSE,"outer",2,4,2018-01-07,895,1268
48,"arc22","MA","med","spring",FALSE,"outer",4,11,2018-03-22,521,657
49,"arc123","MC","med","summer",FALSE,"outer",15,6,2018-08-20,338,1863
50,"center","MA","med","summer",TRUE,"inner",NA,NA,2018-09-27,683,1022
51,"center","MB","med","summer",TRUE,"inner",NA,NA,2018-09-13,744,1048
52,"center","MB","med","fall",TRUE,"inner",NA,NA,2018-11-29,796,975
53,"arc79","MB","med","fall",FALSE,"outer",7,0,2018-12-15,1151,1377
54,"arc27","MC","med","fall",FALSE,"outer",9,14,2018-11-15,695,338
55,"center","MB","med","fall",TRUE,"inner",NA,NA,2018-11-08,662,1035
56,"arc53","LA","lrg","winter",FALSE,"outer",17,46,2018-03-02,1482,183
57,"center","LA","lrg","winter",TRUE,"inner",NA,NA,2018-02-01,706,999
58,"arc133","LA","lrg","winter",FALSE,"outer",7,33,2018-01-29,231,1265
59,"center","LB","lrg","winter",FALSE,"inner",NA,NA,2018-03-01,694,1038
60,"arc45","LB","lrg","spring",FALSE,"outer",9,36,2018-04-20,951,344
61,"center","LE","lrg","spring",TRUE,"inner",NA,NA,2018-06-21,748,985
62,"center","LB","lrg","summer",TRUE,"inner",NA,NA,2018-06-28,719,971
63,"center","LB","lrg","summer",TRUE,"inner",NA,NA,2018-08-23,754,1000
64,"arc34","LB","lrg","summer",FALSE,"outer",16,23,2018-06-29,340,62
65,"arc79","LA","lrg","summer",FALSE,"outer",7,40,2018-07-14,1234,1338
66,"center","LA","lrg","summer",TRUE,"inner",NA,NA,2018-09-13,799,980
67,"arc131","LB","lrg","summer",FALSE,"outer",5,2,2018-09-03,320,1141
68,"center","LA","lrg","summer",TRUE,"inner",NA,NA,2018-09-20,845,870
