"","Season","Size","Field","Search1","Search2","Search3","Search4","Search5"
"1","winter","sml","inner",1,NA,NA,NA,NA
"2","winter","sml","inner",1,NA,NA,NA,NA
"3","winter","sml","inner",0,0,1,NA,NA
"4","winter","sml","inner",1,NA,NA,NA,NA
"5","winter","sml","inner",1,NA,NA,NA,NA
"6","winter","sml","inner",1,NA,NA,NA,NA
"7","winter","sml","inner",0,0,0,0,1
"8","winter","sml","inner",1,NA,NA,NA,NA
"9","winter","sml","inner",0,0,0,0,0
"10","winter","sml","inner",1,NA,NA,NA,NA
"11","winter","sml","inner",1,NA,NA,NA,NA
"12","winter","sml","inner",0,0,1,NA,NA
"13","winter","sml","inner",0,0,1,NA,NA
"14","winter","sml","inner",1,NA,NA,NA,NA
"15","winter","sml","inner",0,0,0,0,0
"16","winter","sml","inner",0,0,1,NA,NA
"17","winter","sml","inner",0,0,1,NA,NA
"18","winter","sml","inner",1,NA,NA,NA,NA
"19","winter","sml","inner",0,0,0,0,0
"20","winter","sml","inner",1,NA,NA,NA,NA
"21","spring","sml","inner",0,0,0,0,0
"22","spring","sml","inner",0,0,0,0,0
"23","spring","sml","inner",0,0,0,0,0
"24","spring","sml","inner",0,0,0,0,0
"25","spring","sml","inner",0,0,0,0,0
"26","spring","sml","inner",1,NA,NA,NA,NA
"27","spring","sml","inner",1,NA,NA,NA,NA
"28","spring","sml","inner",0,0,0,0,0
"29","spring","sml","inner",0,0,0,0,0
"30","spring","sml","inner",1,NA,NA,NA,NA
"31","spring","sml","inner",0,0,0,1,NA
"32","spring","sml","inner",0,0,0,0,0
"33","spring","sml","inner",1,NA,NA,NA,NA
"34","spring","sml","inner",1,NA,NA,NA,NA
"35","spring","sml","inner",0,0,0,0,0
"36","spring","sml","inner",0,0,0,0,0
"37","spring","sml","inner",0,0,0,0,0
"38","spring","sml","inner",1,NA,NA,NA,NA
"39","spring","sml","inner",0,1,NA,NA,NA
"40","spring","sml","inner",0,0,1,NA,NA
"41","summer","sml","inner",1,NA,NA,NA,NA
"42","summer","sml","inner",0,0,0,0,0
"43","summer","sml","inner",1,NA,NA,NA,NA
"44","summer","sml","inner",1,NA,NA,NA,NA
"45","summer","sml","inner",0,0,0,0,0
"46","summer","sml","inner",0,0,0,0,0
"47","summer","sml","inner",0,1,NA,NA,NA
"48","summer","sml","inner",0,0,1,NA,NA
"49","summer","sml","inner",0,0,0,1,NA
"50","summer","sml","inner",0,0,0,0,0
"51","summer","sml","inner",0,0,0,0,0
"52","summer","sml","inner",0,0,0,0,1
"53","summer","sml","inner",0,0,1,NA,NA
"54","summer","sml","inner",0,0,0,0,0
"55","summer","sml","inner",0,0,0,0,0
"56","summer","sml","inner",0,0,0,0,0
"57","summer","sml","inner",1,NA,NA,NA,NA
"58","summer","sml","inner",1,NA,NA,NA,NA
"59","summer","sml","inner",1,NA,NA,NA,NA
"60","summer","sml","inner",0,1,NA,NA,NA
"61","fall","sml","inner",0,1,NA,NA,NA
"62","fall","sml","inner",0,0,0,0,0
"63","fall","sml","inner",0,1,NA,NA,NA
"64","fall","sml","inner",0,0,0,0,0
"65","fall","sml","inner",1,NA,NA,NA,NA
"66","fall","sml","inner",0,0,0,0,0
"67","fall","sml","inner",0,0,0,0,0
"68","fall","sml","inner",0,0,0,1,NA
"69","fall","sml","inner",1,NA,NA,NA,NA
"70","fall","sml","inner",0,0,1,NA,NA
"71","fall","sml","inner",0,0,0,1,NA
"72","fall","sml","inner",1,NA,NA,NA,NA
"73","fall","sml","inner",1,NA,NA,NA,NA
"74","fall","sml","inner",1,NA,NA,NA,NA
"75","fall","sml","inner",0,1,NA,NA,NA
"76","fall","sml","inner",0,0,0,0,0
"77","fall","sml","inner",1,NA,NA,NA,NA
"78","fall","sml","inner",0,1,NA,NA,NA
"79","fall","sml","inner",0,1,NA,NA,NA
"80","fall","sml","inner",0,1,NA,NA,NA
"81","winter","med","inner",0,0,1,NA,NA
"82","winter","med","inner",1,NA,NA,NA,NA
"83","winter","med","inner",0,0,1,NA,NA
"84","winter","med","inner",1,NA,NA,NA,NA
"85","winter","med","inner",1,NA,NA,NA,NA
"86","winter","med","inner",0,1,NA,NA,NA
"87","winter","med","inner",0,1,NA,NA,NA
"88","winter","med","inner",0,1,NA,NA,NA
"89","winter","med","inner",0,0,0,0,0
"90","winter","med","inner",1,NA,NA,NA,NA
"91","winter","med","inner",0,0,0,1,NA
"92","winter","med","inner",1,NA,NA,NA,NA
"93","winter","med","inner",0,1,NA,NA,NA
"94","winter","med","inner",0,0,0,0,0
"95","winter","med","inner",0,0,0,0,0
"96","winter","med","inner",1,NA,NA,NA,NA
"97","winter","med","inner",0,0,0,0,0
"98","winter","med","inner",1,NA,NA,NA,NA
"99","winter","med","inner",0,0,0,0,0
"100","winter","med","inner",0,0,1,NA,NA
"101","spring","med","inner",0,0,0,1,NA
"102","spring","med","inner",0,0,1,NA,NA
"103","spring","med","inner",1,NA,NA,NA,NA
"104","spring","med","inner",1,NA,NA,NA,NA
"105","spring","med","inner",0,0,0,0,0
"106","spring","med","inner",1,NA,NA,NA,NA
"107","spring","med","inner",1,NA,NA,NA,NA
"108","spring","med","inner",1,NA,NA,NA,NA
"109","spring","med","inner",0,0,1,NA,NA
"110","spring","med","inner",1,NA,NA,NA,NA
"111","spring","med","inner",1,NA,NA,NA,NA
"112","spring","med","inner",1,NA,NA,NA,NA
"113","spring","med","inner",0,0,0,0,0
"114","spring","med","inner",1,NA,NA,NA,NA
"115","spring","med","inner",1,NA,NA,NA,NA
"116","spring","med","inner",0,1,NA,NA,NA
"117","spring","med","inner",0,0,0,0,0
"118","spring","med","inner",0,0,0,0,0
"119","spring","med","inner",0,0,1,NA,NA
"120","spring","med","inner",0,0,0,0,0
"121","summer","med","inner",0,0,1,NA,NA
"122","summer","med","inner",0,0,0,0,0
"123","summer","med","inner",1,NA,NA,NA,NA
"124","summer","med","inner",1,NA,NA,NA,NA
"125","summer","med","inner",0,0,0,0,0
"126","summer","med","inner",0,0,0,0,1
"127","summer","med","inner",0,1,NA,NA,NA
"128","summer","med","inner",1,NA,NA,NA,NA
"129","summer","med","inner",0,0,0,1,NA
"130","summer","med","inner",1,NA,NA,NA,NA
"131","summer","med","inner",0,0,0,0,1
"132","summer","med","inner",0,1,NA,NA,NA
"133","summer","med","inner",0,0,0,0,0
"134","summer","med","inner",0,0,0,0,0
"135","summer","med","inner",0,0,0,1,NA
"136","summer","med","inner",1,NA,NA,NA,NA
"137","summer","med","inner",1,NA,NA,NA,NA
"138","summer","med","inner",0,0,1,NA,NA
"139","summer","med","inner",0,0,0,1,NA
"140","summer","med","inner",0,1,NA,NA,NA
"141","fall","med","inner",1,NA,NA,NA,NA
"142","fall","med","inner",1,NA,NA,NA,NA
"143","fall","med","inner",1,NA,NA,NA,NA
"144","fall","med","inner",1,NA,NA,NA,NA
"145","fall","med","inner",0,0,0,0,0
"146","fall","med","inner",1,NA,NA,NA,NA
"147","fall","med","inner",0,1,NA,NA,NA
"148","fall","med","inner",0,0,0,0,0
"149","fall","med","inner",1,NA,NA,NA,NA
"150","fall","med","inner",0,0,0,0,0
"151","fall","med","inner",1,NA,NA,NA,NA
"152","fall","med","inner",1,NA,NA,NA,NA
"153","fall","med","inner",1,NA,NA,NA,NA
"154","fall","med","inner",0,0,0,0,0
"155","fall","med","inner",0,0,0,0,0
"156","fall","med","inner",1,NA,NA,NA,NA
"157","fall","med","inner",0,0,0,0,0
"158","fall","med","inner",0,0,0,0,0
"159","fall","med","inner",0,1,NA,NA,NA
"160","fall","med","inner",0,0,1,NA,NA
"161","winter","lrg","inner",1,NA,NA,NA,NA
"162","winter","lrg","inner",1,NA,NA,NA,NA
"163","winter","lrg","inner",1,NA,NA,NA,NA
"164","winter","lrg","inner",1,NA,NA,NA,NA
"165","winter","lrg","inner",1,NA,NA,NA,NA
"166","winter","lrg","inner",1,NA,NA,NA,NA
"167","winter","lrg","inner",1,NA,NA,NA,NA
"168","winter","lrg","inner",0,1,NA,NA,NA
"169","winter","lrg","inner",0,1,NA,NA,NA
"170","winter","lrg","inner",1,NA,NA,NA,NA
"171","winter","lrg","inner",1,NA,NA,NA,NA
"172","winter","lrg","inner",1,NA,NA,NA,NA
"173","winter","lrg","inner",1,NA,NA,NA,NA
"174","winter","lrg","inner",0,1,NA,NA,NA
"175","winter","lrg","inner",1,NA,NA,NA,NA
"176","winter","lrg","inner",0,1,NA,NA,NA
"177","winter","lrg","inner",1,NA,NA,NA,NA
"178","winter","lrg","inner",1,NA,NA,NA,NA
"179","winter","lrg","inner",1,NA,NA,NA,NA
"180","winter","lrg","inner",1,NA,NA,NA,NA
"181","spring","lrg","inner",1,NA,NA,NA,NA
"182","spring","lrg","inner",1,NA,NA,NA,NA
"183","spring","lrg","inner",1,NA,NA,NA,NA
"184","spring","lrg","inner",1,NA,NA,NA,NA
"185","spring","lrg","inner",1,NA,NA,NA,NA
"186","spring","lrg","inner",1,NA,NA,NA,NA
"187","spring","lrg","inner",1,NA,NA,NA,NA
"188","spring","lrg","inner",1,NA,NA,NA,NA
"189","spring","lrg","inner",1,NA,NA,NA,NA
"190","spring","lrg","inner",1,NA,NA,NA,NA
"191","spring","lrg","inner",1,NA,NA,NA,NA
"192","spring","lrg","inner",0,0,0,0,1
"193","spring","lrg","inner",0,1,NA,NA,NA
"194","spring","lrg","inner",0,1,NA,NA,NA
"195","spring","lrg","inner",1,NA,NA,NA,NA
"196","spring","lrg","inner",1,NA,NA,NA,NA
"197","spring","lrg","inner",0,1,NA,NA,NA
"198","spring","lrg","inner",1,NA,NA,NA,NA
"199","spring","lrg","inner",1,NA,NA,NA,NA
"200","spring","lrg","inner",1,NA,NA,NA,NA
"201","summer","lrg","inner",1,NA,NA,NA,NA
"202","summer","lrg","inner",0,0,0,1,NA
"203","summer","lrg","inner",1,NA,NA,NA,NA
"204","summer","lrg","inner",1,NA,NA,NA,NA
"205","summer","lrg","inner",1,NA,NA,NA,NA
"206","summer","lrg","inner",1,NA,NA,NA,NA
"207","summer","lrg","inner",1,NA,NA,NA,NA
"208","summer","lrg","inner",0,0,1,NA,NA
"209","summer","lrg","inner",0,0,1,NA,NA
"210","summer","lrg","inner",1,NA,NA,NA,NA
"211","summer","lrg","inner",1,NA,NA,NA,NA
"212","summer","lrg","inner",1,NA,NA,NA,NA
"213","summer","lrg","inner",1,NA,NA,NA,NA
"214","summer","lrg","inner",1,NA,NA,NA,NA
"215","summer","lrg","inner",1,NA,NA,NA,NA
"216","summer","lrg","inner",1,NA,NA,NA,NA
"217","summer","lrg","inner",1,NA,NA,NA,NA
"218","summer","lrg","inner",0,1,NA,NA,NA
"219","summer","lrg","inner",0,0,1,NA,NA
"220","summer","lrg","inner",1,NA,NA,NA,NA
"221","fall","lrg","inner",1,NA,NA,NA,NA
"222","fall","lrg","inner",0,1,NA,NA,NA
"223","fall","lrg","inner",1,NA,NA,NA,NA
"224","fall","lrg","inner",0,1,NA,NA,NA
"225","fall","lrg","inner",1,NA,NA,NA,NA
"226","fall","lrg","inner",1,NA,NA,NA,NA
"227","fall","lrg","inner",1,NA,NA,NA,NA
"228","fall","lrg","inner",1,NA,NA,NA,NA
"229","fall","lrg","inner",1,NA,NA,NA,NA
"230","fall","lrg","inner",1,NA,NA,NA,NA
"231","fall","lrg","inner",1,NA,NA,NA,NA
"232","fall","lrg","inner",1,NA,NA,NA,NA
"233","fall","lrg","inner",1,NA,NA,NA,NA
"234","fall","lrg","inner",1,NA,NA,NA,NA
"235","fall","lrg","inner",1,NA,NA,NA,NA
"236","fall","lrg","inner",1,NA,NA,NA,NA
"237","fall","lrg","inner",1,NA,NA,NA,NA
"238","fall","lrg","inner",1,NA,NA,NA,NA
"239","fall","lrg","inner",1,NA,NA,NA,NA
"240","fall","lrg","inner",1,NA,NA,NA,NA
"241","winter","sml","outer",0,0,0,0,0
"242","winter","sml","outer",0,0,0,0,0
"243","winter","sml","outer",0,0,1,NA,NA
"244","winter","sml","outer",0,0,0,0,1
"245","winter","sml","outer",0,0,0,0,0
"246","winter","sml","outer",0,0,0,0,0
"247","winter","sml","outer",1,NA,NA,NA,NA
"248","winter","sml","outer",0,1,NA,NA,NA
"249","winter","sml","outer",1,NA,NA,NA,NA
"250","winter","sml","outer",1,NA,NA,NA,NA
"251","winter","sml","outer",0,0,1,NA,NA
"252","winter","sml","outer",1,NA,NA,NA,NA
"253","winter","sml","outer",0,1,NA,NA,NA
"254","winter","sml","outer",1,NA,NA,NA,NA
"255","winter","sml","outer",1,NA,NA,NA,NA
"256","winter","sml","outer",0,0,0,0,0
"257","winter","sml","outer",1,NA,NA,NA,NA
"258","winter","sml","outer",0,0,1,NA,NA
"259","winter","sml","outer",1,NA,NA,NA,NA
"260","winter","sml","outer",0,1,NA,NA,NA
"261","spring","sml","outer",0,0,0,0,0
"262","spring","sml","outer",0,0,0,0,0
"263","spring","sml","outer",1,NA,NA,NA,NA
"264","spring","sml","outer",1,NA,NA,NA,NA
"265","spring","sml","outer",0,1,NA,NA,NA
"266","spring","sml","outer",0,0,1,NA,NA
"267","spring","sml","outer",0,0,1,NA,NA
"268","spring","sml","outer",1,NA,NA,NA,NA
"269","spring","sml","outer",1,NA,NA,NA,NA
"270","spring","sml","outer",1,NA,NA,NA,NA
"271","spring","sml","outer",1,NA,NA,NA,NA
"272","spring","sml","outer",1,NA,NA,NA,NA
"273","spring","sml","outer",1,NA,NA,NA,NA
"274","spring","sml","outer",1,NA,NA,NA,NA
"275","spring","sml","outer",0,0,0,1,NA
"276","spring","sml","outer",1,NA,NA,NA,NA
"277","spring","sml","outer",1,NA,NA,NA,NA
"278","spring","sml","outer",1,NA,NA,NA,NA
"279","spring","sml","outer",1,NA,NA,NA,NA
"280","spring","sml","outer",0,1,NA,NA,NA
"281","summer","sml","outer",1,NA,NA,NA,NA
"282","summer","sml","outer",1,NA,NA,NA,NA
"283","summer","sml","outer",0,0,1,NA,NA
"284","summer","sml","outer",1,NA,NA,NA,NA
"285","summer","sml","outer",0,1,NA,NA,NA
"286","summer","sml","outer",0,0,1,NA,NA
"287","summer","sml","outer",1,NA,NA,NA,NA
"288","summer","sml","outer",1,NA,NA,NA,NA
"289","summer","sml","outer",1,NA,NA,NA,NA
"290","summer","sml","outer",0,1,NA,NA,NA
"291","summer","sml","outer",1,NA,NA,NA,NA
"292","summer","sml","outer",1,NA,NA,NA,NA
"293","summer","sml","outer",1,NA,NA,NA,NA
"294","summer","sml","outer",1,NA,NA,NA,NA
"295","summer","sml","outer",0,0,0,1,NA
"296","summer","sml","outer",0,0,0,1,NA
"297","summer","sml","outer",1,NA,NA,NA,NA
"298","summer","sml","outer",1,NA,NA,NA,NA
"299","summer","sml","outer",0,1,NA,NA,NA
"300","summer","sml","outer",0,1,NA,NA,NA
"301","fall","sml","outer",1,NA,NA,NA,NA
"302","fall","sml","outer",0,1,NA,NA,NA
"303","fall","sml","outer",1,NA,NA,NA,NA
"304","fall","sml","outer",1,NA,NA,NA,NA
"305","fall","sml","outer",1,NA,NA,NA,NA
"306","fall","sml","outer",0,0,1,NA,NA
"307","fall","sml","outer",0,1,NA,NA,NA
"308","fall","sml","outer",1,NA,NA,NA,NA
"309","fall","sml","outer",1,NA,NA,NA,NA
"310","fall","sml","outer",1,NA,NA,NA,NA
"311","fall","sml","outer",1,NA,NA,NA,NA
"312","fall","sml","outer",1,NA,NA,NA,NA
"313","fall","sml","outer",1,NA,NA,NA,NA
"314","fall","sml","outer",1,NA,NA,NA,NA
"315","fall","sml","outer",1,NA,NA,NA,NA
"316","fall","sml","outer",1,NA,NA,NA,NA
"317","fall","sml","outer",0,1,NA,NA,NA
"318","fall","sml","outer",0,1,NA,NA,NA
"319","fall","sml","outer",0,0,0,1,NA
"320","fall","sml","outer",1,NA,NA,NA,NA
"321","winter","med","outer",0,0,0,0,0
"322","winter","med","outer",0,0,0,0,1
"323","winter","med","outer",1,NA,NA,NA,NA
"324","winter","med","outer",0,1,NA,NA,NA
"325","winter","med","outer",0,1,NA,NA,NA
"326","winter","med","outer",1,NA,NA,NA,NA
"327","winter","med","outer",1,NA,NA,NA,NA
"328","winter","med","outer",1,NA,NA,NA,NA
"329","winter","med","outer",0,0,1,NA,NA
"330","winter","med","outer",0,1,NA,NA,NA
"331","winter","med","outer",1,NA,NA,NA,NA
"332","winter","med","outer",1,NA,NA,NA,NA
"333","winter","med","outer",1,NA,NA,NA,NA
"334","winter","med","outer",0,1,NA,NA,NA
"335","winter","med","outer",1,NA,NA,NA,NA
"336","winter","med","outer",0,1,NA,NA,NA
"337","winter","med","outer",0,1,NA,NA,NA
"338","winter","med","outer",0,1,NA,NA,NA
"339","winter","med","outer",1,NA,NA,NA,NA
"340","winter","med","outer",0,1,NA,NA,NA
"341","spring","med","outer",0,0,0,0,1
"342","spring","med","outer",1,NA,NA,NA,NA
"343","spring","med","outer",1,NA,NA,NA,NA
"344","spring","med","outer",0,1,NA,NA,NA
"345","spring","med","outer",0,1,NA,NA,NA
"346","spring","med","outer",1,NA,NA,NA,NA
"347","spring","med","outer",0,0,1,NA,NA
"348","spring","med","outer",0,1,NA,NA,NA
"349","spring","med","outer",1,NA,NA,NA,NA
"350","spring","med","outer",0,1,NA,NA,NA
"351","spring","med","outer",1,NA,NA,NA,NA
"352","spring","med","outer",0,0,0,1,NA
"353","spring","med","outer",1,NA,NA,NA,NA
"354","spring","med","outer",0,0,1,NA,NA
"355","spring","med","outer",1,NA,NA,NA,NA
"356","spring","med","outer",0,0,0,0,1
"357","spring","med","outer",0,0,0,0,0
"358","spring","med","outer",0,0,0,1,NA
"359","spring","med","outer",1,NA,NA,NA,NA
"360","spring","med","outer",1,NA,NA,NA,NA
"361","summer","med","outer",1,NA,NA,NA,NA
"362","summer","med","outer",0,1,NA,NA,NA
"363","summer","med","outer",1,NA,NA,NA,NA
"364","summer","med","outer",1,NA,NA,NA,NA
"365","summer","med","outer",1,NA,NA,NA,NA
"366","summer","med","outer",0,1,NA,NA,NA
"367","summer","med","outer",1,NA,NA,NA,NA
"368","summer","med","outer",1,NA,NA,NA,NA
"369","summer","med","outer",0,1,NA,NA,NA
"370","summer","med","outer",0,0,1,NA,NA
"371","summer","med","outer",1,NA,NA,NA,NA
"372","summer","med","outer",1,NA,NA,NA,NA
"373","summer","med","outer",0,1,NA,NA,NA
"374","summer","med","outer",1,NA,NA,NA,NA
"375","summer","med","outer",1,NA,NA,NA,NA
"376","summer","med","outer",0,0,1,NA,NA
"377","summer","med","outer",1,NA,NA,NA,NA
"378","summer","med","outer",1,NA,NA,NA,NA
"379","summer","med","outer",0,0,0,1,NA
"380","summer","med","outer",1,NA,NA,NA,NA
"381","fall","med","outer",0,1,NA,NA,NA
"382","fall","med","outer",0,0,1,NA,NA
"383","fall","med","outer",0,0,0,1,NA
"384","fall","med","outer",0,1,NA,NA,NA
"385","fall","med","outer",0,1,NA,NA,NA
"386","fall","med","outer",0,0,0,0,1
"387","fall","med","outer",1,NA,NA,NA,NA
"388","fall","med","outer",0,1,NA,NA,NA
"389","fall","med","outer",1,NA,NA,NA,NA
"390","fall","med","outer",1,NA,NA,NA,NA
"391","fall","med","outer",0,1,NA,NA,NA
"392","fall","med","outer",0,1,NA,NA,NA
"393","fall","med","outer",1,NA,NA,NA,NA
"394","fall","med","outer",1,NA,NA,NA,NA
"395","fall","med","outer",0,0,1,NA,NA
"396","fall","med","outer",1,NA,NA,NA,NA
"397","fall","med","outer",1,NA,NA,NA,NA
"398","fall","med","outer",1,NA,NA,NA,NA
"399","fall","med","outer",0,1,NA,NA,NA
"400","fall","med","outer",1,NA,NA,NA,NA
"401","winter","lrg","outer",1,NA,NA,NA,NA
"402","winter","lrg","outer",0,1,NA,NA,NA
"403","winter","lrg","outer",1,NA,NA,NA,NA
"404","winter","lrg","outer",1,NA,NA,NA,NA
"405","winter","lrg","outer",0,1,NA,NA,NA
"406","winter","lrg","outer",1,NA,NA,NA,NA
"407","winter","lrg","outer",1,NA,NA,NA,NA
"408","winter","lrg","outer",1,NA,NA,NA,NA
"409","winter","lrg","outer",0,0,1,NA,NA
"410","winter","lrg","outer",1,NA,NA,NA,NA
"411","winter","lrg","outer",1,NA,NA,NA,NA
"412","winter","lrg","outer",1,NA,NA,NA,NA
"413","winter","lrg","outer",0,1,NA,NA,NA
"414","winter","lrg","outer",1,NA,NA,NA,NA
"415","winter","lrg","outer",1,NA,NA,NA,NA
"416","winter","lrg","outer",1,NA,NA,NA,NA
"417","winter","lrg","outer",1,NA,NA,NA,NA
"418","winter","lrg","outer",0,1,NA,NA,NA
"419","winter","lrg","outer",0,1,NA,NA,NA
"420","winter","lrg","outer",0,1,NA,NA,NA
"421","spring","lrg","outer",0,1,NA,NA,NA
"422","spring","lrg","outer",0,0,0,1,NA
"423","spring","lrg","outer",1,NA,NA,NA,NA
