"Index","Unit","Species","Size","Row","Distance","DateFound","X","Y"
1,"Unit178","BB","bat",25,13,2018-04-28,527167,3857730
2,"Unit278","BB","bat",4,10,2018-11-12,527163,3858437
3,"Unit152","SB","small",31,8,2018-03-17,526215,3857596
4,"Unit265","SC","small",10,18,2018-02-26,525119,3858460
5,"Unit83","SC","small",28,1,2018-01-05,524787,3857110
6,"Unit262","SC","small",2,11,2018-02-05,524638,3858429
7,"Unit198","SD","small",26,16,2017-12-31,527169,3857892
8,"Unit234","SE","small",9,23,2018-03-04,526545,3858141
9,"Unit239","SC","small",33,27,2018-03-04,527339,3858235
10,"Unit285","SD","small",17,52,2018-04-02,525153,3858646
11,"Unit129","SD","small",34,24,2018-03-31,525757,3857450
12,"Unit38","SD","small",18,46,2018-04-12,527199,3856597
13,"Unit262","SB","small",7,43,2018-06-11,524670,3858448
14,"Unit96","SB","small",7,23,2018-06-22,526861,3857027
15,"Unit72","SE","small",32,1,2018-05-11,526208,3856968
16,"Unit101","SA","small",19,19,2018-06-15,524488,3857233
17,"Unit220","SB","small",29,1,2018-05-27,527470,3858062
18,"Unit204","SC","small",15,57,2018-04-29,525000,3858006
19,"Unit239","SA","small",24,11,2018-06-17,527322,3858200
20,"Unit265","SD","small",32,1,2018-04-09,525102,3858547
21,"Unit151","SA","small",1,32,2018-03-31,526080,3857477
22,"Unit220","SD","small",28,16,2018-04-01,527485,3858058
23,"Unit52","SE","small",38,13,2018-05-03,526220,3856834
24,"Unit38","SB","small",34,40,2018-04-05,527193,3856660
25,"Unit122","SC","small",38,30,2018-03-24,524657,3857466
26,"Unit261","SA","small",11,24,2018-04-09,524494,3858464
27,"Unit97","SD","small",8,18,2018-05-18,527014,3857031
28,"Unit2","SB","small",29,5,2018-06-14,524632,3856483
29,"Unit223","SB","small",22,6,2018-06-17,524791,3858192
30,"Unit215","SC","small",11,58,2018-04-29,526738,3857991
31,"Unit184","SA","small",1,12,2018-05-13,524955,3857793
32,"Unit35","SC","small",35,24,2018-06-07,526704,3856664
33,"Unit189","SA","small",26,34,2018-04-22,525766,3857892
34,"Unit173","SC","small",36,28,2018-06-09,526392,3857773
35,"Unit252","SB","small",10,19,2018-06-18,526225,3858302
36,"Unit274","SA","small",14,39,2018-06-04,526561,3858476
37,"Unit238","SB","small",37,37,2018-06-17,527191,3858251
38,"Unit241","SA","small",9,1,2018-06-18,524470,3858298
39,"Unit130","SA","small",12,54,2018-07-14,525944,3857363
40,"Unit29","SA","small",30,7,2018-05-03,525740,3856644
41,"Unit227","SC","small",2,49,2018-04-15,525466,3858113
42,"Unit55","SA","small",13,16,2018-04-05,526696,3856735
43,"Unit148","SB","small",2,57,2018-06-02,525631,3857481
44,"Unit96","SE","small",35,24,2018-06-08,526862,3857138
45,"Unit150","SC","small",5,66,2018-06-02,525957,3857493
46,"Unit279","SD","small",22,16,2018-05-07,527327,3858508
47,"Unit24","SC","small",13,60,2018-05-31,525003,3856577
48,"Unit122","SC","small",24,40,2018-05-05,524667,3857410
49,"Unit177","SA","small",36,40,2018-04-28,527035,3857773
50,"Unit170","SA","small",35,49,2018-05-12,525939,3857769
51,"Unit290","SA","small",35,40,2018-06-04,525931,3858717
52,"Unit162","SE","small",7,49,2018-04-21,524676,3857659
53,"Unit133","SC","small",38,17,2018-06-09,526381,3857466
54,"Unit287","SC","small",14,13,2018-04-16,525430,3858634
55,"Unit278","SC","small",34,7,2018-06-11,527160,3858555
56,"Unit126","SA","small",21,29,2018-04-28,525288,3857398
57,"Unit91","SB","small",17,18,2018-03-30,526067,3857067
58,"Unit201","SD","small",16,6,2018-05-13,524475,3858010
59,"Unit114","SB","small",12,39,2018-05-04,526561,3857205
60,"Unit97","SE","small",38,22,2018-06-22,527018,3857150
61,"Unit247","SC","small",33,17,2018-06-11,525434,3858393
62,"Unit242","SA","small",10,22,2018-06-11,524650,3858302
63,"Unit223","SA","small",38,2,2018-04-15,524787,3858255
64,"Unit12","SC","small",22,55,2018-04-12,526261,3856455
65,"Unit172","SA","small",21,13,2018-03-31,526219,3857714
66,"Unit2","SC","small",34,8,2018-04-05,524635,3856502
67,"Unit107","SC","small",13,6,2018-05-11,525423,3857209
68,"Unit284","SD","small",11,54,2018-04-09,524997,3858622
69,"Unit16","SC","small",33,16,2018-05-17,526854,3856498
70,"Unit276","SA","small",6,31,2018-07-16,526869,3858444
71,"Unit297","SE","small",36,28,2018-07-23,527024,3858721
72,"Unit25","SD","small",21,61,2018-09-27,525162,3856609
73,"Unit133","SD","small",21,5,2018-06-23,526369,3857398
74,"Unit74","SD","small",28,25,2018-08-03,526547,3856952
75,"Unit57","SA","small",22,35,2018-08-30,527031,3856771
76,"Unit176","SD","small",13,42,2018-07-28,526880,3857683
77,"Unit289","SB","small",4,35,2018-07-09,525768,3858594
78,"Unit204","SD","small",23,9,2018-07-15,524952,3858038
79,"Unit44","SE","small",2,3,2018-08-16,524946,3856692
80,"Unit95","SE","small",24,25,2018-07-13,526705,3857094
81,"Unit26","SB","small",17,5,2018-07-05,525264,3856593
82,"Unit29","SB","small",30,6,2018-06-21,525738,3856644
83,"Unit27","SD","small",38,30,2018-08-16,525447,3856676
84,"Unit163","SC","small",14,47,2018-07-14,524832,3857687
85,"Unit254","SD","small",2,18,2018-08-13,526540,3858271
86,"Unit123","SC","small",25,5,2018-07-28,524791,3857414
87,"Unit178","SA","small",15,38,2018-07-28,527192,3857691
88,"Unit245","SD","small",30,25,2018-07-09,525126,3858381
89,"Unit178","SE","small",6,22,2018-08-11,527176,3857655
90,"Unit201","SC","small",26,71,2018-09-02,524540,3858050
91,"Unit6","SC","small",16,37,2018-07-19,525295,3856431
92,"Unit52","SA","small",21,34,2018-08-30,526240,3856767
93,"Unit109","SE","small",32,11,2018-07-20,525743,3857284
94,"Unit160","SC","small",8,16,2018-07-07,527486,3857505
95,"Unit53","SA","small",14,11,2018-09-20,526376,3856739
96,"Unit23","SB","small",23,18,2018-08-16,524803,3856617
97,"Unit44","SA","small",28,39,2018-09-27,524982,3856794
98,"Unit132","SD","small",30,25,2018-09-22,526232,3857434
99,"Unit18","SB","small",32,45,2018-08-30,527199,3856494
100,"Unit184","SB","small",26,34,2018-09-02,524977,3857892
101,"Unit259","SB","small",10,10,2018-09-03,527321,3858302
102,"Unit137","SA","small",12,50,2018-10-06,527046,3857363
103,"Unit218","SE","small",10,3,2018-08-12,527156,3857987
104,"Unit82","SC","small",6,38,2018-08-10,524666,3857023
105,"Unit207","SC","small",33,20,2018-07-08,525437,3858077
106,"Unit50","SA","small",33,11,2018-09-13,525902,3856814
107,"Unit179","SD","small",8,13,2018-06-23,527325,3857663
108,"Unit26","SB","small",19,16,2018-09-20,525274,3856601
109,"Unit15","SC","small",16,1,2018-08-09,526681,3856431
110,"Unit241","SC","small",22,49,2018-09-03,524519,3858350
111,"Unit221","SA","small",5,33,2018-07-29,524502,3858125
112,"Unit199","SB","small",3,41,2018-07-15,527352,3857801
113,"Unit98","SA","small",33,14,2018-08-10,527168,3857130
114,"Unit221","SC","small",4,0,2018-08-26,524470,3858121
115,"Unit108","SD","small",15,54,2018-11-02,525628,3857217
116,"Unit158","SA","small",21,19,2018-10-13,527173,3857556
117,"Unit135","SB","small",8,56,2018-10-06,526736,3857347
118,"Unit204","SB","small",28,16,2018-10-14,524959,3858058
119,"Unit6","SE","small",12,4,2018-10-25,525263,3856416
120,"Unit231","SB","small",38,1,2018-10-07,526050,3858255
121,"Unit266","SA","small",28,2,2018-12-17,525261,3858531
122,"Unit55","SA","small",32,15,2018-11-15,526695,3856810
123,"Unit210","SD","small",37,8,2018-12-09,525898,3858093
124,"Unit291","SA","small",5,2,2018-11-26,526050,3858598
125,"Unit274","SA","small",4,39,2018-09-24,526561,3858437
126,"Unit194","SA","small",13,29,2018-11-11,526551,3857841
127,"Unit285","SA","small",14,0,2018-10-15,525101,3858634
128,"Unit152","MC","med",18,77,2018-01-20,526283,3857544
129,"Unit229","MC","med",20,122,2018-01-28,525854,3858184
130,"Unit16","MD","med",18,40,2018-03-15,526878,3856439
131,"Unit7","MB","med",10,40,2018-01-04,525457,3856408
132,"Unit252","MB","med",16,18,2018-06-04,526224,3858326
133,"Unit99","MA","med",12,56,2018-06-22,527368,3857047
134,"Unit245","ME","med",32,27,2018-05-28,525128,3858389
135,"Unit62","ME","med",25,81,2018-04-20,524709,3856941
136,"Unit196","MB","med",27,24,2018-05-20,526862,3857896
137,"Unit117","MC","med",30,69,2018-05-18,527064,3857276
138,"Unit185","MD","med",23,46,2018-06-10,525147,3857880
139,"Unit66","ME","med",36,126,2018-05-11,525385,3856984
140,"Unit31","MA","med",9,29,2018-04-05,526077,3856562
141,"Unit20","MD","med",1,92,2018-06-21,527561,3856372
142,"Unit69","MD","med",6,88,2018-08-17,525820,3856866
143,"Unit4","MB","med",25,33,2018-08-09,524976,3856467
144,"Unit247","MD","med",3,41,2018-09-17,525457,3858275
145,"Unit197","MB","med",11,36,2018-07-15,527032,3857833
146,"Unit102","MC","med",7,53,2018-06-22,524680,3857185
147,"Unit131","ME","med",1,35,2018-07-28,526084,3857319
148,"Unit210","MA","med",36,74,2018-09-16,525964,3858089
149,"Unit263","MD","med",22,37,2018-09-03,524822,3858508
150,"Unit25","MC","med",22,90,2018-09-13,525192,3856613
151,"Unit238","MC","med",8,18,2018-07-29,527171,3858137
152,"Unit272","MB","med",21,54,2018-09-17,526260,3858504
153,"Unit222","ME","med",19,29,2018-08-26,524656,3858180
154,"Unit148","MA","med",9,25,2018-07-14,525600,3857509
155,"Unit12","MC","med",20,58,2018-07-19,526265,3856447
156,"Unit93","MB","med",26,78,2018-09-07,526442,3857102
157,"Unit69","MA","med",38,37,2018-06-29,525770,3856992
158,"Unit100","MD","med",20,9,2018-08-24,527479,3857079
159,"Unit162","MA","med",34,94,2018-09-01,524721,3857766
160,"Unit190","MC","med",14,30,2018-08-05,525920,3857844
161,"Unit89","ME","med",38,38,2018-11-09,525771,3857150
162,"Unit40","MA","med",6,96,2018-12-06,527566,3856550
163,"Unit153","ME","med",12,30,2018-11-03,526394,3857521
164,"Unit123","ME","med",2,62,2018-10-13,524847,3857323
165,"Unit232","MA","med",10,103,2018-12-02,526309,3858144
166,"Unit82","MC","med",11,11,2018-12-07,524638,3857043
167,"Unit156","ME","med",14,40,2018-09-29,526878,3857529
168,"Unit195","MC","med",35,36,2018-09-30,526716,3857927
169,"Unit97","MC","med",3,24,2018-11-23,527020,3857012
170,"Unit243","MA","med",35,73,2018-11-19,524858,3858401
171,"Unit162","MA","med",5,72,2018-11-24,524699,3857651
172,"Unit35","MB","med",2,64,2018-11-08,526744,3856534
173,"Unit180","MC","med",7,28,2018-12-15,527497,3857659
174,"Unit291","MB","med",20,63,2018-10-15,526112,3858658
175,"Unit190","MB","med",30,69,2018-11-11,525960,3857908
176,"Unit54","LB","lrg",18,113,2018-03-08,526635,3856755
177,"Unit39","LD","lrg",12,51,2018-01-04,527362,3856573
178,"Unit21","LB","lrg",32,62,2017-12-28,524532,3856652
179,"Unit283","LB","lrg",30,106,2018-01-08,524891,3858697
180,"Unit134","LC","lrg",3,123,2018-02-03,526645,3857327
181,"Unit46","LC","lrg",37,89,2018-03-08,525348,3856830
182,"Unit79","LA","lrg",32,9,2018-01-19,527320,3856968
183,"Unit288","LA","lrg",35,5,2018-01-22,525580,3858717
184,"Unit65","LC","lrg",30,16,2018-03-02,525117,3856960
185,"Unit49","LE","lrg",38,46,2018-02-08,525779,3856834
186,"Unit215","LD","lrg",10,143,2018-03-18,526823,3857987
187,"Unit258","LC","lrg",7,94,2018-03-12,527247,3858291
188,"Unit165","LA","lrg",16,117,2018-02-10,525218,3857694
189,"Unit39","LA","lrg",3,138,2018-03-29,527450,3856538
