"Unit","small","med","lrg"
"Unit1",0.365,0.777,1
"Unit2",0.365,0.777,1
"Unit3",0.365,0.777,1
"Unit4",0.365,0.777,1
"Unit5",0.365,0.777,1
"Unit6",0.365,0.777,1
"Unit7",0.365,0.777,1
"Unit8",0.365,0.777,1
"Unit9",0.365,0.777,1
"Unit10",0.365,0.777,1
"Unit11",0.365,0.777,1
"Unit12",0.365,0.777,1
"Unit13",0.365,0.777,1
"Unit14",0.365,0.777,1
"Unit15",0.365,0.777,1
"Unit16",0.365,0.777,1
"Unit17",0.365,0.777,1
"Unit18",0.365,0.777,1
"Unit19",0.365,0.777,1
"Unit20",0.365,0.777,1
"Unit21",0.365,0.777,1
"Unit22",0.365,0.777,1
"Unit23",0.365,0.777,1
"Unit24",0.365,0.777,1
"Unit25",0.365,0.777,1
"Unit26",0.365,0.777,1
"Unit27",0.365,0.777,1
"Unit28",0.365,0.777,1
"Unit29",0.365,0.777,1
"Unit30",0.365,0.777,1
"Unit31",0.365,0.777,1
"Unit32",0.365,0.777,1
"Unit33",0.365,0.777,1
"Unit34",0.365,0.777,1
"Unit35",0.365,0.777,1
"Unit36",0.365,0.777,1
"Unit37",0.365,0.777,1
"Unit38",0.365,0.777,1
"Unit39",0.365,0.777,1
"Unit40",0.365,0.777,1
"Unit41",0.365,0.777,1
"Unit42",0.365,0.777,1
"Unit43",0.365,0.777,1
"Unit44",0.365,0.777,1
"Unit45",0.365,0.777,1
"Unit46",0.365,0.777,1
"Unit47",0.365,0.777,1
"Unit48",0.365,0.777,1
"Unit49",0.365,0.777,1
"Unit50",0.365,0.777,1
"Unit51",0.365,0.777,1
"Unit52",0.365,0.777,1
"Unit53",0.365,0.777,1
"Unit54",0.365,0.777,1
"Unit55",0.365,0.777,1
"Unit56",0.365,0.777,1
"Unit57",0.365,0.777,1
"Unit58",0.365,0.777,1
"Unit59",0.365,0.777,1
"Unit60",0.365,0.777,1
"Unit61",0.365,0.777,1
"Unit62",0.365,0.777,1
"Unit63",0.365,0.777,1
"Unit64",0.365,0.777,1
"Unit65",0.365,0.777,1
"Unit66",0.365,0.777,1
"Unit67",0.365,0.777,1
"Unit68",0.365,0.777,1
"Unit69",0.365,0.777,1
"Unit70",0.365,0.777,1
"Unit71",0.365,0.777,1
"Unit72",0.365,0.777,1
"Unit73",0.365,0.777,1
"Unit74",0.365,0.777,1
"Unit75",0.365,0.777,1
"Unit76",0.365,0.777,1
"Unit77",0.365,0.777,1
"Unit78",0.365,0.777,1
"Unit79",0.365,0.777,1
"Unit80",0.365,0.777,1
"Unit81",0.365,0.777,1
"Unit82",0.365,0.777,1
"Unit83",0.365,0.777,1
"Unit84",0.365,0.777,1
"Unit85",0.365,0.777,1
"Unit86",0.365,0.777,1
"Unit87",0.365,0.777,1
"Unit88",0.365,0.777,1
"Unit89",0.365,0.777,1
"Unit90",0.365,0.777,1
"Unit91",0.365,0.777,1
"Unit92",0.365,0.777,1
"Unit93",0.365,0.777,1
"Unit94",0.365,0.777,1
"Unit95",0.365,0.777,1
"Unit96",0.365,0.777,1
"Unit97",0.365,0.777,1
"Unit98",0.365,0.777,1
"Unit99",0.365,0.777,1
"Unit100",0.365,0.777,1
"Unit101",0.365,0.777,1
"Unit102",0.365,0.777,1
"Unit103",0.365,0.777,1
"Unit104",0.365,0.777,1
"Unit105",0.365,0.777,1
"Unit106",0.365,0.777,1
"Unit107",0.365,0.777,1
"Unit108",0.365,0.777,1
"Unit109",0.365,0.777,1
"Unit110",0.365,0.777,1
"Unit111",0.365,0.777,1
"Unit112",0.365,0.777,1
