"Index","Season","Size","LastPresentDecimalDays","FirstAbsentDecimalDays"
1,"winter","small",28,NA
2,"winter","small",10,14
3,"winter","small",0,1
4,"winter","small",0,1
5,"winter","small",10,14
6,"winter","small",7,10
7,"winter","small",7,10
8,"winter","small",14,21
9,"winter","small",1,2
10,"winter","small",4,7
11,"winter","small",2,3
12,"winter","small",28,NA
13,"winter","small",1,2
14,"winter","small",1,2
15,"winter","small",10,14
16,"winter","small",1,2
17,"winter","small",7,10
18,"winter","small",0,1
19,"winter","small",4,7
20,"winter","small",0,1
21,"spring","small",3,4
22,"spring","small",10,14
23,"spring","small",0,1
24,"spring","small",0,1
25,"spring","small",0,1
26,"spring","small",4,7
27,"spring","small",14,21
28,"spring","small",0,1
29,"spring","small",1,2
30,"spring","small",2,3
31,"spring","small",3,4
32,"spring","small",7,10
33,"spring","small",2,3
34,"spring","small",0,1
35,"spring","small",7,10
36,"spring","small",0,1
37,"spring","small",14,21
38,"spring","small",28,NA
39,"spring","small",28,NA
40,"spring","small",3,4
41,"summer","small",0,1
42,"summer","small",0,1
43,"summer","small",0,1
44,"summer","small",0,1
45,"summer","small",14,21
46,"summer","small",3,4
47,"summer","small",3,4
48,"summer","small",0,1
49,"summer","small",14,21
50,"summer","small",0,1
51,"summer","small",3,4
52,"summer","small",21,28
53,"summer","small",10,14
54,"summer","small",28,NA
55,"summer","small",28,NA
56,"summer","small",4,7
57,"summer","small",28,NA
58,"summer","small",1,2
59,"summer","small",0,1
60,"summer","small",1,2
61,"fall","small",1,2
62,"fall","small",0,1
63,"fall","small",1,2
64,"fall","small",0,1
65,"fall","small",0,1
66,"fall","small",4,7
67,"fall","small",0,1
68,"fall","small",4,7
69,"fall","small",4,7
70,"fall","small",7,10
71,"fall","small",28,NA
72,"fall","small",0,1
73,"fall","small",0,1
74,"fall","small",0,1
75,"fall","small",3,4
76,"fall","small",3,4
77,"fall","small",7,10
78,"fall","small",0,1
79,"fall","small",10,14
80,"fall","small",4,7
81,"winter","med",7,10
82,"winter","med",10,14
83,"winter","med",1,2
84,"winter","med",4,7
85,"winter","med",4,7
86,"winter","med",0,1
87,"winter","med",0,1
88,"winter","med",0,1
89,"winter","med",10,14
90,"winter","med",10,14
91,"winter","med",4,7
92,"winter","med",4,7
93,"winter","med",28,NA
94,"winter","med",7,10
95,"winter","med",2,3
96,"winter","med",0,1
97,"winter","med",10,14
98,"winter","med",10,14
99,"winter","med",28,NA
100,"winter","med",1,2
101,"spring","med",1,2
102,"spring","med",0,1
103,"spring","med",7,10
104,"spring","med",10,14
105,"spring","med",28,NA
106,"spring","med",0,1
107,"spring","med",3,4
108,"spring","med",4,7
109,"spring","med",0,1
110,"spring","med",1,2
111,"spring","med",7,10
112,"spring","med",21,28
113,"spring","med",0,1
114,"spring","med",28,NA
115,"spring","med",0,1
116,"spring","med",0,1
117,"spring","med",2,3
118,"spring","med",0,1
119,"spring","med",4,7
120,"spring","med",7,10
121,"summer","med",3,4
122,"summer","med",7,10
123,"summer","med",28,NA
124,"summer","med",10,14
125,"summer","med",7,10
126,"summer","med",4,7
127,"summer","med",1,2
128,"summer","med",14,21
129,"summer","med",3,4
130,"summer","med",4,7
131,"summer","med",0,1
132,"summer","med",7,10
133,"summer","med",1,2
134,"summer","med",1,2
135,"summer","med",0,1
136,"summer","med",28,NA
137,"summer","med",1,2
138,"summer","med",0,1
139,"summer","med",2,3
140,"summer","med",7,10
141,"fall","med",4,7
142,"fall","med",4,7
143,"fall","med",21,28
144,"fall","med",0,1
145,"fall","med",4,7
146,"fall","med",28,NA
147,"fall","med",21,28
148,"fall","med",28,NA
149,"fall","med",28,NA
150,"fall","med",7,10
151,"fall","med",0,1
152,"fall","med",0,1
153,"fall","med",7,10
154,"fall","med",14,21
155,"fall","med",4,7
156,"fall","med",7,10
157,"fall","med",1,2
158,"fall","med",14,21
159,"fall","med",3,4
160,"fall","med",21,28
161,"winter","lrg",28,NA
162,"winter","lrg",28,NA
163,"winter","lrg",28,NA
164,"winter","lrg",10,14
165,"winter","lrg",28,NA
166,"winter","lrg",28,NA
167,"winter","lrg",28,NA
168,"winter","lrg",28,NA
169,"winter","lrg",4,7
170,"winter","lrg",1,2
171,"winter","lrg",4,7
172,"winter","lrg",14,21
173,"winter","lrg",14,21
174,"winter","lrg",28,NA
175,"winter","lrg",4,7
176,"winter","lrg",28,NA
177,"winter","lrg",7,10
178,"winter","lrg",28,NA
179,"winter","lrg",28,NA
180,"winter","lrg",28,NA
181,"spring","lrg",28,NA
182,"spring","lrg",10,14
183,"spring","lrg",1,2
184,"spring","lrg",28,NA
185,"spring","lrg",4,7
186,"spring","lrg",14,21
187,"spring","lrg",2,3
188,"spring","lrg",21,28
189,"spring","lrg",28,NA
190,"spring","lrg",28,NA
191,"spring","lrg",28,NA
192,"spring","lrg",2,3
193,"spring","lrg",28,NA
194,"spring","lrg",28,NA
195,"spring","lrg",28,NA
196,"spring","lrg",7,10
197,"spring","lrg",28,NA
198,"spring","lrg",7,10
199,"spring","lrg",28,NA
200,"spring","lrg",21,28
201,"summer","lrg",28,NA
202,"summer","lrg",21,28
203,"summer","lrg",28,NA
204,"summer","lrg",1,2
205,"summer","lrg",14,21
206,"summer","lrg",28,NA
207,"summer","lrg",4,7
208,"summer","lrg",28,NA
209,"summer","lrg",28,NA
210,"summer","lrg",4,7
211,"summer","lrg",21,28
212,"summer","lrg",0,1
213,"summer","lrg",0,1
214,"summer","lrg",4,7
215,"summer","lrg",28,NA
216,"summer","lrg",14,21
217,"summer","lrg",7,10
218,"summer","lrg",14,21
219,"summer","lrg",14,21
220,"summer","lrg",10,14
221,"fall","lrg",7,10
222,"fall","lrg",10,14
223,"fall","lrg",28,NA
224,"fall","lrg",28,NA
225,"fall","lrg",28,NA
226,"fall","lrg",10,14
227,"fall","lrg",0,1
228,"fall","lrg",0,1
229,"fall","lrg",3,4
230,"fall","lrg",28,NA
231,"fall","lrg",28,NA
232,"fall","lrg",1,2
233,"fall","lrg",2,3
234,"fall","lrg",3,4
235,"fall","lrg",14,21
236,"fall","lrg",7,10
237,"fall","lrg",28,NA
238,"fall","lrg",14,21
239,"fall","lrg",14,21
240,"fall","lrg",0,1
241,"winter","bat",0,1
242,"winter","bat",2,3
243,"winter","bat",4,7
244,"winter","bat",1,2
245,"winter","bat",1,2
246,"winter","bat",1,2
247,"winter","bat",0,1
248,"winter","bat",4,7
249,"winter","bat",4,7
250,"winter","bat",2,3
251,"winter","bat",0,1
252,"winter","bat",4,7
253,"winter","bat",2,3
254,"winter","bat",0,1
255,"winter","bat",0,1
256,"winter","bat",0,1
257,"winter","bat",0,1
258,"winter","bat",7,10
259,"winter","bat",1,2
260,"winter","bat",2,3
261,"spring","bat",1,2
262,"spring","bat",2,3
263,"spring","bat",1,2
264,"spring","bat",0,1
265,"spring","bat",0,1
266,"spring","bat",2,3
267,"spring","bat",1,2
268,"spring","bat",0,1
269,"spring","bat",0,1
270,"spring","bat",0,1
271,"spring","bat",2,3
272,"spring","bat",0,1
273,"spring","bat",0,1
274,"spring","bat",0,1
275,"spring","bat",0,1
276,"spring","bat",1,2
277,"spring","bat",0,1
278,"spring","bat",3,4
279,"spring","bat",1,2
280,"spring","bat",0,1
281,"summer","bat",3,4
282,"summer","bat",2,3
283,"summer","bat",4,7
284,"summer","bat",0,1
285,"summer","bat",1,2
286,"summer","bat",0,1
287,"summer","bat",1,2
288,"summer","bat",0,1
289,"summer","bat",4,7
290,"summer","bat",1,2
291,"summer","bat",0,1
292,"summer","bat",4,7
293,"summer","bat",2,3
294,"summer","bat",0,1
295,"summer","bat",1,2
296,"summer","bat",2,3
297,"summer","bat",4,7
298,"summer","bat",0,1
299,"summer","bat",0,1
300,"summer","bat",0,1
301,"fall","bat",1,2
302,"fall","bat",0,1
303,"fall","bat",3,4
304,"fall","bat",0,1
305,"fall","bat",0,1
306,"fall","bat",0,1
307,"fall","bat",0,1
308,"fall","bat",0,1
309,"fall","bat",0,1
310,"fall","bat",0,1
311,"fall","bat",2,3
312,"fall","bat",1,2
313,"fall","bat",0,1
314,"fall","bat",0,1
315,"fall","bat",1,2
316,"fall","bat",7,10
317,"fall","bat",0,1
318,"fall","bat",0,1
319,"fall","bat",1,2
320,"fall","bat",2,3
