"Index","Transect","Species","Size","Row","Distance","DateFound","X","Y"
1,"Transect6","SA","small",54,54,2017-12-29,525288,3857432
2,"Transect5","SA","small",100,33,2018-01-11,525115,3858352
3,"Transect1","SA","small",62,65,2018-03-13,524534,3857592
4,"Transect7","SB","small",79,17,2018-01-21,525405,3857932
5,"Transect9","SB","small",19,4,2018-01-20,525697,3856732
6,"Transect10","SB","small",37,16,2017-12-26,525863,3857092
7,"Transect5","SB","small",20,19,2018-01-25,525101,3856752
8,"Transect5","SA","small",76,3,2018-03-05,525084,3857872
9,"Transect1","SB","small",94,32,2018-02-08,524502,3858232
10,"Transect10","SB","small",42,13,2018-01-09,525859,3857192
11,"Transect8","SB","small",2,11,2018-03-30,525551,3856392
12,"Transect7","SA","small",33,62,2018-05-02,525450,3857012
13,"Transect6","SB","small",51,2,2018-05-06,525236,3857372
14,"Transect2","SA","small",34,3,2018-06-14,524626,3857032
15,"Transect5","SB","small",34,11,2018-05-21,525093,3857032
16,"Transect3","SA","small",35,35,2018-05-08,524811,3857052
17,"Transect10","SA","small",52,31,2018-04-22,525877,3857392
18,"Transect1","SA","small",55,56,2018-06-04,524525,3857452
19,"Transect8","SB","small",63,40,2018-04-13,525580,3857612
20,"Transect5","SA","small",95,52,2018-05-29,525133,3858252
21,"Transect3","SA","small",33,25,2018-06-01,524801,3857012
22,"Transect6","SB","small",94,22,2018-06-06,525256,3858232
23,"Transect10","SB","small",24,45,2018-04-09,525891,3856832
24,"Transect6","SB","small",1,41,2018-05-20,525275,3856372
25,"Transect3","SA","small",5,32,2018-05-01,524807,3856452
26,"Transect6","SA","small",48,9,2018-04-07,525243,3857312
27,"Transect9","SD","small",92,60,2018-05-06,525753,3858192
28,"Transect1","SA","small",14,11,2018-06-20,524481,3856632
29,"Transect4","SA","small",62,13,2018-05-23,524941,3857592
30,"Transect4","SA","small",6,32,2018-04-24,524960,3856472
31,"Transect10","SC","small",83,43,2018-04-30,525889,3858012
32,"Transect4","SB","small",21,48,2018-04-08,524976,3856772
33,"Transect10","SD","small",13,0,2018-05-11,525847,3856612
34,"Transect8","SA","small",99,56,2018-06-03,525596,3858332
35,"Transect8","SA","small",72,7,2018-04-08,525547,3857792
36,"Transect4","SA","small",53,24,2018-06-07,524953,3857412
37,"Transect10","SB","small",90,55,2018-05-05,525901,3858152
38,"Transect5","SA","small",8,17,2018-06-18,525098,3856512
39,"Transect9","SA","small",13,45,2018-05-30,525738,3856612
40,"Transect8","SA","small",22,41,2018-03-27,525581,3856792
41,"Transect10","SB","small",63,12,2018-04-15,525859,3857612
42,"Transect1","SC","small",40,24,2018-06-17,524494,3857152
43,"Transect6","SA","small",54,45,2018-04-01,525280,3857432
44,"Transect6","SA","small",15,22,2018-04-08,525256,3856652
45,"Transect2","SB","small",19,22,2018-05-19,524645,3856732
46,"Transect6","SB","small",36,62,2018-04-20,525297,3857072
47,"Transect4","SB","small",5,3,2018-05-07,524932,3856452
48,"Transect8","SB","small",93,1,2018-04-28,525541,3858212
49,"Transect9","SB","small",19,48,2018-04-01,525741,3856732
50,"Transect5","SA","small",47,34,2018-05-18,525115,3857292
51,"Transect6","SB","small",52,13,2018-04-30,525247,3857392
52,"Transect9","SC","small",24,7,2018-05-26,525700,3856832
53,"Transect3","SD","small",41,3,2018-04-08,524778,3857172
54,"Transect9","SB","small",99,41,2018-04-01,525734,3858332
55,"Transect4","SA","small",80,17,2018-03-27,524945,3857952
56,"Transect9","SB","small",49,9,2018-04-29,525702,3857332
57,"Transect6","SA","small",68,40,2018-03-22,525274,3857712
58,"Transect2","SA","small",64,20,2018-04-17,524643,3857632
59,"Transect9","SB","small",31,52,2018-05-04,525746,3856972
60,"Transect7","SA","small",28,68,2018-05-24,525456,3856912
61,"Transect3","SB","small",28,28,2018-03-24,524804,3856912
62,"Transect1","SB","small",24,24,2018-05-14,524494,3856832
63,"Transect1","SB","small",72,24,2018-04-23,524494,3857792
64,"Transect1","SA","small",94,53,2018-06-23,524522,3858232
65,"Transect8","SC","small",49,10,2018-06-17,525551,3857332
66,"Transect1","SB","small",29,19,2018-05-30,524488,3856932
67,"Transect5","SB","small",93,1,2018-03-24,525082,3858212
68,"Transect1","SB","small",50,36,2018-05-08,524506,3857352
69,"Transect9","SA","small",71,21,2018-04-08,525714,3857772
70,"Transect2","SB","small",14,54,2018-04-21,524677,3856632
71,"Transect9","SC","small",15,37,2018-04-11,525730,3856652
72,"Transect9","SB","small",41,43,2018-05-11,525737,3857172
73,"Transect6","SB","small",47,75,2018-04-22,525309,3857292
74,"Transect6","SA","small",98,23,2018-04-11,525258,3858312
75,"Transect7","SB","small",67,30,2018-06-04,525417,3857692
