"Index","Season","Size","Left","Right"
1,"winter","small",3,4
2,"winter","small",0,1
3,"winter","small",10,14
4,"winter","small",0,1
5,"winter","small",10,14
6,"winter","small",2,3
7,"winter","small",0,1
8,"winter","small",4,7
9,"winter","small",1,2
10,"winter","small",10,14
11,"winter","small",7,10
12,"winter","small",14,21
13,"winter","small",0,1
14,"winter","small",2,3
15,"winter","small",14,21
16,"winter","small",0,1
17,"winter","small",2,3
18,"winter","small",0,1
19,"winter","small",2,3
20,"winter","small",28,NA
21,"spring","small",4,7
22,"spring","small",4,7
23,"spring","small",21,28
24,"spring","small",14,21
25,"spring","small",1,2
26,"spring","small",14,21
27,"spring","small",4,7
28,"spring","small",14,21
29,"spring","small",1,2
30,"spring","small",21,28
31,"spring","small",3,4
32,"spring","small",7,10
33,"spring","small",2,3
34,"spring","small",28,NA
35,"spring","small",7,10
36,"spring","small",0,1
37,"spring","small",7,10
38,"spring","small",7,10
39,"spring","small",2,3
40,"spring","small",7,10
41,"summer","small",0,1
42,"summer","small",3,4
43,"summer","small",1,2
44,"summer","small",14,21
45,"summer","small",2,3
46,"summer","small",0,1
47,"summer","small",10,14
48,"summer","small",0,1
49,"summer","small",2,3
50,"summer","small",3,4
51,"summer","small",2,3
52,"summer","small",1,2
53,"summer","small",28,NA
54,"summer","small",4,7
55,"summer","small",1,2
56,"summer","small",28,NA
57,"summer","small",21,28
58,"summer","small",0,1
59,"summer","small",1,2
60,"summer","small",0,1
61,"fall","small",0,1
62,"fall","small",0,1
63,"fall","small",1,2
64,"fall","small",1,2
65,"fall","small",0,1
66,"fall","small",28,NA
67,"fall","small",4,7
68,"fall","small",0,1
69,"fall","small",14,21
70,"fall","small",0,1
71,"fall","small",0,1
72,"fall","small",4,7
73,"fall","small",14,21
74,"fall","small",0,1
75,"fall","small",4,7
76,"fall","small",0,1
77,"fall","small",0,1
78,"fall","small",7,10
79,"fall","small",4,7
80,"fall","small",0,1
81,"winter","med",2,3
82,"winter","med",21,28
83,"winter","med",2,3
84,"winter","med",0,1
85,"winter","med",4,7
86,"winter","med",28,NA
87,"winter","med",2,3
88,"winter","med",2,3
89,"winter","med",3,4
90,"winter","med",10,14
91,"winter","med",0,1
92,"winter","med",0,1
93,"winter","med",21,28
94,"winter","med",0,1
95,"winter","med",0,1
96,"winter","med",0,1
97,"winter","med",1,2
98,"winter","med",4,7
99,"winter","med",2,3
100,"winter","med",1,2
101,"spring","med",28,NA
102,"spring","med",2,3
103,"spring","med",7,10
104,"spring","med",28,NA
105,"spring","med",14,21
106,"spring","med",21,28
107,"spring","med",4,7
108,"spring","med",1,2
109,"spring","med",4,7
110,"spring","med",28,NA
111,"spring","med",10,14
112,"spring","med",28,NA
113,"spring","med",0,1
114,"spring","med",3,4
115,"spring","med",4,7
116,"spring","med",10,14
117,"spring","med",7,10
118,"spring","med",28,NA
119,"spring","med",1,2
120,"spring","med",28,NA
121,"summer","med",1,2
122,"summer","med",4,7
123,"summer","med",2,3
124,"summer","med",10,14
125,"summer","med",4,7
126,"summer","med",14,21
127,"summer","med",4,7
128,"summer","med",7,10
129,"summer","med",1,2
130,"summer","med",28,NA
131,"summer","med",0,1
132,"summer","med",21,28
133,"summer","med",3,4
134,"summer","med",2,3
135,"summer","med",7,10
136,"summer","med",21,28
137,"summer","med",1,2
138,"summer","med",0,1
139,"summer","med",10,14
140,"summer","med",10,14
141,"fall","med",28,NA
142,"fall","med",2,3
143,"fall","med",14,21
144,"fall","med",1,2
145,"fall","med",28,NA
146,"fall","med",14,21
147,"fall","med",10,14
148,"fall","med",0,1
149,"fall","med",4,7
150,"fall","med",7,10
151,"fall","med",4,7
152,"fall","med",4,7
153,"fall","med",4,7
154,"fall","med",10,14
155,"fall","med",0,1
156,"fall","med",14,21
157,"fall","med",14,21
158,"fall","med",28,NA
159,"fall","med",0,1
160,"fall","med",2,3
161,"winter","lrg",14,21
162,"winter","lrg",14,21
163,"winter","lrg",28,NA
164,"winter","lrg",7,10
165,"winter","lrg",4,7
166,"winter","lrg",28,NA
167,"winter","lrg",28,NA
168,"winter","lrg",28,NA
169,"winter","lrg",28,NA
170,"winter","lrg",10,14
171,"winter","lrg",28,NA
172,"winter","lrg",14,21
173,"winter","lrg",28,NA
174,"winter","lrg",28,NA
175,"winter","lrg",28,NA
176,"winter","lrg",28,NA
177,"winter","lrg",21,28
178,"winter","lrg",28,NA
179,"winter","lrg",7,10
180,"winter","lrg",28,NA
181,"spring","lrg",2,3
182,"spring","lrg",10,14
183,"spring","lrg",28,NA
184,"spring","lrg",28,NA
185,"spring","lrg",28,NA
186,"spring","lrg",4,7
187,"spring","lrg",28,NA
188,"spring","lrg",1,2
189,"spring","lrg",28,NA
190,"spring","lrg",28,NA
191,"spring","lrg",7,10
192,"spring","lrg",7,10
193,"spring","lrg",28,NA
194,"spring","lrg",28,NA
195,"spring","lrg",21,28
196,"spring","lrg",28,NA
197,"spring","lrg",28,NA
198,"spring","lrg",21,28
199,"spring","lrg",28,NA
200,"spring","lrg",28,NA
