"DateSearched","Season","Transect1","Transect2","Transect3","Transect4","Transect5","Transect6","Transect7","Transect8","Transect9","Transect10"
2017-12-20,"fall",1,1,1,1,1,1,1,1,1,1
2017-12-21,"winter",1,1,1,1,1,1,1,1,1,1
2017-12-22,"winter",1,1,1,1,1,1,1,1,1,1
2017-12-23,"winter",1,1,1,1,1,1,1,1,1,1
2017-12-24,"winter",1,1,1,1,1,1,1,1,1,1
2017-12-25,"winter",1,1,1,1,1,1,1,1,1,1
2017-12-26,"winter",1,1,1,1,1,1,1,1,1,1
2017-12-27,"winter",1,1,1,1,1,1,1,1,1,1
2017-12-28,"winter",1,1,1,1,1,1,1,1,1,1
2017-12-29,"winter",1,1,1,1,1,1,1,1,1,1
2017-12-30,"winter",1,1,1,1,1,1,1,1,1,1
2017-12-31,"winter",1,1,1,1,1,1,1,1,1,1
2018-01-01,"winter",1,1,1,1,1,1,1,1,1,1
2018-01-02,"winter",1,1,1,1,1,1,1,1,1,1
2018-01-03,"winter",1,1,1,1,1,1,1,1,1,1
2018-01-04,"winter",1,1,1,1,1,1,1,1,1,1
2018-01-05,"winter",1,1,1,1,1,1,1,1,1,1
2018-01-06,"winter",1,1,1,1,1,1,1,1,1,1
2018-01-07,"winter",1,1,1,1,1,1,1,1,1,1
2018-01-08,"winter",1,1,1,1,1,1,1,1,1,1
2018-01-09,"winter",1,1,1,1,1,1,1,1,1,1
2018-01-10,"winter",1,1,1,1,1,1,1,1,1,1
2018-01-11,"winter",1,1,1,1,1,1,1,1,1,1
2018-01-12,"winter",1,1,1,1,1,1,1,1,1,1
2018-01-13,"winter",1,1,1,1,1,1,1,1,1,1
2018-01-14,"winter",1,1,1,1,1,1,1,1,1,1
2018-01-15,"winter",1,1,1,1,1,1,1,1,1,1
2018-01-16,"winter",1,1,1,1,1,1,1,1,1,1
2018-01-17,"winter",1,1,1,1,1,1,1,1,1,1
2018-01-18,"winter",1,1,1,1,1,1,1,1,1,1
2018-01-19,"winter",1,1,1,1,1,1,1,1,1,1
2018-01-20,"winter",1,1,1,1,1,1,1,1,1,1
2018-01-21,"winter",1,1,1,1,1,1,1,1,1,1
2018-01-22,"winter",1,1,1,1,1,1,1,1,1,1
2018-01-23,"winter",1,1,1,1,1,1,1,1,1,1
2018-01-24,"winter",1,1,1,1,1,1,1,1,1,1
2018-01-25,"winter",1,1,1,1,1,1,1,1,1,1
2018-01-26,"winter",1,1,1,1,1,1,1,1,1,1
2018-01-27,"winter",1,1,1,1,1,1,1,1,1,1
2018-01-28,"winter",1,1,1,1,1,1,1,1,1,1
2018-01-29,"winter",1,1,1,1,1,1,1,1,1,1
2018-01-30,"winter",1,1,1,1,1,1,1,1,1,1
2018-01-31,"winter",1,1,1,1,1,1,1,1,1,1
2018-02-01,"winter",1,1,1,1,1,1,1,1,1,1
2018-02-02,"winter",1,1,1,1,1,1,1,1,1,1
2018-02-03,"winter",1,1,1,1,1,1,1,1,1,1
2018-02-04,"winter",1,1,1,1,1,1,1,1,1,1
2018-02-05,"winter",1,1,1,1,1,1,1,1,1,1
2018-02-06,"winter",1,1,1,1,1,1,1,1,1,1
2018-02-07,"winter",1,1,1,1,1,1,1,1,1,1
2018-02-08,"winter",1,1,1,1,1,1,1,1,1,1
2018-02-09,"winter",1,1,1,1,1,1,1,1,1,1
2018-02-10,"winter",1,1,1,1,1,1,1,1,1,1
2018-02-11,"winter",1,1,1,1,1,1,1,1,1,1
2018-02-12,"winter",1,1,1,1,1,1,1,1,1,1
2018-02-13,"winter",1,1,1,1,1,1,1,1,1,1
