"carcID","Turbine","TurbineType","DateFound","Visibility","Species","SpeciesGroup","Size","Distance"
"x64","t21","X",2018-03-23,"M","BA","bat1","bat",28.5217633506388
"x124","t22","X",2018-03-26,"RP","BA","bat1","bat",8.91904695257844
"x127","t78","Z",2018-03-26,"D","BC","bat1","bat",19.77340772142
"x158","t61","Z",2018-03-29,"D","BA","bat1","bat",50.6021267819816
"x195","t69","Z",2018-03-29,"D","SA","brd1","sml",24.7605493072131
"x231","t48","Y",2018-04-25,"D","SF","brd1","sml",57.6156511288009
"x232","t53","Z",2018-03-29,"RP","BB","bat1","bat",5.35041938725475
"x240","t7","X",2018-03-29,"RP","BA","bat1","bat",11.8599018022916
"x263","t56","Z",2018-04-01,"RP","BA","bat1","bat",2.92993154657462
"x303","t56","Z",2018-04-01,"M","SC","brd1","sml",45.7431116402734
"x329","t47","Y",2018-03-29,"M","SF","brd1","sml",21.0089347648323
"x344","t88","Z",2018-04-04,"D","BA","bat1","bat",43.1293242380506
"x393","t70","Z",2018-04-01,"M","SF","brd1","sml",17.2696034566241
"x399","t4","X",2018-04-01,"D","BC","bat1","bat",51.9223913380426
"x422","t78","Z",2018-04-01,"RP","BA","bat1","bat",4.5674218983078
"x444","t32","Y",2018-04-01,"M","BA","bat1","bat",28.2659616488304
"x498","t47","Y",2018-04-10,"D","SC","brd1","sml",45.0349747410058
"x511","t56","Z",2018-04-07,"RP","BA","bat1","bat",2.38823767556245
"x521","t69","Z",2018-04-10,"M","BB","bat1","bat",14.8889451775658
"x542","t95","Z",2018-04-04,"D","BA","bat1","bat",45.2867268893661
"x577","t95","Z",2018-04-13,"D","BC","bat1","bat",40.0372592135689
"x657","t47","Y",2018-04-16,"D","BA","bat1","bat",59.5667336485546
"x767","t47","Y",2018-04-16,"D","BB","bat1","bat",38.1798216009399
"x856","t14","X",2018-04-19,"D","SD","brd1","sml",32.9187633661628
"x859","t62","Z",2018-04-25,"D","SG","brd1","sml",16.6706915603415
"x886","t22","X",2018-05-01,"M","BB","bat1","bat",33.0415556118039
"x922","t32","Y",2018-05-15,"M","SD","brd1","sml",26.2691820402155
"x925","t61","Z",2018-05-22,"M","SG","brd1","sml",55.8558914643933
"x932","t4","X",2018-04-25,"D","SE","brd2","sml",26.93447109037
"x978","t4","X",2018-04-25,"M","SD","brd1","sml",42.3121557000074
"x1054","t71","Z",2018-04-22,"D","BB","bat1","bat",26.1564877224421
"x1087","t32","Y",2018-04-25,"M","BA","bat1","bat",44.3321108688147
"x1094","t18","X",2018-04-19,"M","BA","bat1","bat",33.8489832868058
"x1114","t53","Z",2018-04-22,"RP","SG","brd1","sml",5.4410365247855
"x1129","t22","X",2018-05-01,"D","LE","brd2","lrg",58.7782027497087
"x1148","t56","Z",2018-04-25,"D","LA","brd2","lrg",48.693483446131
"x1173","t1","X",2018-04-28,"D","BA","bat1","bat",29.1461400685761
"x1183","t69","Z",2018-05-08,"D","BB","bat1","bat",16.5558702614879
"x1396","t57","Z",2018-05-08,"M","BA","bat1","bat",12.034859177976
"x1414","t57","Z",2018-04-28,"M","BA","bat1","bat",13.4455104768003
"x1482","t60","Z",2018-05-01,"RP","BA","bat1","bat",12.965165072708
"x1486","t53","Z",2018-05-08,"D","SF","brd1","sml",58.5930478402088
"x1508","t47","Y",2018-05-08,"D","BB","bat1","bat",33.3376617025323
"x1548","t95","Z",2018-05-01,"RP","BA","bat1","bat",27.4196127299179
"x1636","t61","Z",2018-05-15,"D","MA","brd1","med",35.4952679283704
"x1666","t14","X",2018-05-15,"RP","BB","bat1","bat",6.51578783796313
"x1689","t60","Z",2018-05-15,"RP","BA","bat1","bat",9.6270915031048
"x1720","t47","Y",2018-05-29,"D","SC","brd1","sml",25.9764054820624
"x1745","t22","X",2018-05-15,"M","BA","bat1","bat",24.8749364543699
"x1798","t32","Y",2018-05-22,"RP","BA","bat1","bat",53.1309454514167
"x1811","t62","Z",2018-05-22,"D","LB","brd3","lrg",53.8959928020155
"x1836","t4","X",2018-05-29,"M","SC","brd1","sml",16.7302554205927
"x1949","t57","Z",2018-06-05,"D","BB","bat1","bat",23.8735280834648
"x1957","t58","Z",2018-05-29,"RP","BA","bat1","bat",8.34867012651472
"x1970","t14","X",2018-06-12,"D","SC","brd1","sml",54.7752310846342
"x1975","t58","Z",2018-05-29,"M","SE","brd2","sml",39.8673039067312
"x2004","t53","Z",2018-06-05,"D","SC","brd1","sml",26.3218273807725
"x2035","t32","Y",2018-06-05,"D","SG","brd1","sml",37.9590114123079
"x2044","t53","Z",2018-06-05,"D","LD","brd2","lrg",51.8431852231717
"x2045","t21","X",2018-06-12,"D","BA","bat1","bat",44.7378428120768
"x2053","t7","X",2018-06-05,"D","LE","brd2","lrg",26.9630502286174
"x2072","t78","Z",2018-06-12,"D","BB","bat1","bat",30.7592245110967
"x2124","t88","Z",2018-06-12,"D","SB","brd1","sml",40.1913353753583
"x2136","t78","Z",2018-06-12,"RP","BB","bat1","bat",8.56616504214087
"x2146","t58","Z",2018-06-12,"D","BC","bat1","bat",25.8498503129969
"x2173","t69","Z",2018-06-12,"D","SG","brd1","sml",33.6743668021905
"x2177","t58","Z",2018-06-12,"D","BD","bat0","bat",43.1061064256303
"x2265","t47","Y",2018-06-19,"M","BA","bat1","bat",15.9506035676523
"x2315","t62","Z",2018-06-26,"RP","SC","brd1","sml",7.62543557078454
"x2318","t4","X",2018-06-26,"D","SG","brd1","sml",48.5750615833313
"x2350","t57","Z",2018-06-26,"D","SC","brd1","sml",27.3991778426925
"x2399","t18","X",2018-06-30,"D","BA","bat1","bat",14.4357389740651
"x2457","t95","Z",2018-06-29,"RP","BA","bat1","bat",10.8606921171039
"x2467","t60","Z",2018-06-28,"D","BA","bat1","bat",13.5089710816129
"x2472","t70","Z",2018-07-05,"D","MB","brd1","med",53.7811022397634
"x2476","t69","Z",2018-06-28,"D","BA","bat1","bat",29.7951646293129
"x2496","t58","Z",2018-07-02,"M","BA","bat1","bat",39.3807298901395
"x2560","t61","Z",2018-07-02,"RP","BA","bat1","bat",6.39591208520633
"x2612","t21","X",2018-07-03,"RP","BA","bat1","bat",31.8787986196529
"x2638","t60","Z",2018-07-04,"D","BA","bat1","bat",47.8461365230924
"x2647","t53","Z",2018-07-03,"M","BA","bat1","bat",21.6766628609232
"x2727","t78","Z",2018-07-13,"M","BA","bat1","bat",15.4865218708453
"x2805","t88","Z",2018-07-07,"RP","BA","bat1","bat",7.19319328026882
