carcID,Turbine,TurbineType,DateFound,Visibility,Species,SpeciesGroup,Size,Distance
x64,t21,X,3/23/2018,M,BA,bat1,bat,28.5
x124,t22,X,3/26/2018,RP,BA,bat1,bat,8.9
x127,t78,Z,3/26/2018,D,BC,bat1,bat,19.8
x158,t61,Z,3/29/2018,D,BA,bat1,bat,50.6
x195,t69,Z,3/29/2018,D,SA,brd1,sml,24.8
x231,t48,Y,4/25/2018,D,SF,brd1,sml,57.6
x232,t53,Z,3/29/2018,RP,BB,bat1,bat,5.4
x240,t7,X,3/29/2018,RP,BA,bat1,bat,11.9
x263,t56,Z,4/1/2018,RP,BA,bat1,bat,2.9
x303,t56,Z,4/1/2018,M,SC,brd1,sml,45.7
x329,t47,Y,3/29/2018,M,SF,brd1,sml,21
x344,t88,Z,4/4/2018,D,BA,bat1,bat,43.1
x393,t70,Z,4/1/2018,M,SF,brd1,sml,17.3
x399,t4,X,4/1/2018,D,BC,bat1,bat,51.9
x422,t78,Z,4/1/2018,RP,BA,bat1,bat,4.6
x444,t32,Y,4/1/2018,M,BA,bat1,bat,28.3
x498,t47,Y,4/10/2018,D,SC,brd1,sml,45
x511,t56,Z,4/7/2018,RP,BA,bat1,bat,2.4
x521,t69,Z,4/10/2018,M,BB,bat1,bat,14.9
x542,t95,Z,4/4/2018,D,BA,bat1,bat,45.3
x577,t95,Z,4/13/2018,D,BC,bat1,bat,40
x657,t47,Y,4/16/2018,D,BA,bat1,bat,59.6
x767,t47,Y,4/16/2018,D,BB,bat1,bat,38.2
x856,t14,X,4/19/2018,D,SD,brd1,sml,32.9
x859,t62,Z,4/25/2018,D,SG,brd1,sml,16.7
x886,t22,X,5/1/2018,M,BB,bat1,bat,33
x922,t32,Y,5/15/2018,M,SD,brd1,sml,26.3
x925,t61,Z,5/22/2018,M,SG,brd1,sml,55.9
x932,t4,X,4/25/2018,D,SE,brd2,sml,26.9
x978,t4,X,4/25/2018,M,SD,brd1,sml,42.3
x1054,t71,Z,4/22/2018,D,BB,bat1,bat,26.2
x1087,t32,Y,4/25/2018,M,BA,bat1,bat,44.3
x1094,t18,X,4/19/2018,M,BA,bat1,bat,33.8
x1114,t53,Z,4/22/2018,RP,SG,brd1,sml,5.4
x1129,t22,X,5/1/2018,D,LE,brd2,lrg,58.8
x1148,t56,Z,4/25/2018,D,LA,brd2,lrg,48.7
x1173,t1,X,4/28/2018,D,BA,bat1,bat,29.1
x1183,t69,Z,5/8/2018,D,BB,bat1,bat,16.6
x1396,t57,Z,5/8/2018,M,BA,bat1,bat,12
x1414,t57,Z,4/28/2018,M,BA,bat1,bat,13.4
x1482,t60,Z,5/1/2018,RP,BA,bat1,bat,13
x1486,t53,Z,5/8/2018,D,SF,brd1,sml,58.6
x1508,t47,Y,5/8/2018,D,BB,bat1,bat,33.3
x1548,t95,Z,5/1/2018,RP,BA,bat1,bat,27.4
x1636,t61,Z,5/15/2018,D,MA,brd1,med,35.5
x1666,t14,X,5/15/2018,RP,BB,bat1,bat,6.5
x1689,t60,Z,5/15/2018,RP,BA,bat1,bat,9.6
x1720,t47,Y,5/29/2018,D,SC,brd1,sml,26
x1745,t22,X,5/15/2018,M,BA,bat1,bat,24.9
x1798,t32,Y,5/22/2018,RP,BA,bat1,bat,53.1
x1811,t62,Z,5/22/2018,D,LB,brd3,lrg,53.9
x1836,t4,X,5/29/2018,M,SC,brd1,sml,16.7
x1949,t57,Z,6/5/2018,D,BB,bat1,bat,23.9
x1957,t58,Z,5/29/2018,RP,BA,bat1,bat,8.3
x1970,t14,X,6/12/2018,D,SC,brd1,sml,54.8
x1975,t58,Z,5/29/2018,M,SE,brd2,sml,39.9
x2004,t53,Z,6/5/2018,D,SC,brd1,sml,26.3
x2035,t32,Y,6/5/2018,D,SG,brd1,sml,38
x2044,t53,Z,6/5/2018,D,LD,brd2,lrg,51.8
x2045,t21,X,6/12/2018,D,BA,bat1,bat,44.7
x2053,t7,X,6/5/2018,D,LE,brd2,lrg,27
x2072,t78,Z,6/12/2018,D,BB,bat1,bat,30.8
x2124,t88,Z,6/12/2018,D,SB,brd1,sml,40.2
x2136,t78,Z,6/12/2018,RP,BB,bat1,bat,8.6
x2146,t58,Z,6/12/2018,D,BC,bat1,bat,25.8
x2173,t69,Z,6/12/2018,D,SG,brd1,sml,33.7
x2177,t58,Z,6/12/2018,D,BD,bat0,bat,43.1
x2265,t47,Y,6/19/2018,M,BA,bat1,bat,16
x2315,t62,Z,6/26/2018,RP,SC,brd1,sml,7.6
x2318,t4,X,6/26/2018,D,SG,brd1,sml,48.6
x2350,t57,Z,6/26/2018,D,SC,brd1,sml,27.4
x2399,t18,X,6/30/2018,D,BA,bat1,bat,14.4
x2457,t95,Z,6/29/2018,RP,BA,bat1,bat,10.9
x2467,t60,Z,6/28/2018,D,BA,bat1,bat,13.5
x2472,t70,Z,7/5/2018,D,MB,brd1,med,53.8
x2476,t69,Z,6/28/2018,D,BA,bat1,bat,29.8
x2496,t58,Z,7/2/2018,M,BA,bat1,bat,39.4
x2560,t61,Z,7/2/2018,RP,BA,bat1,bat,6.4
x2612,t21,X,7/3/2018,RP,BA,bat1,bat,31.9
x2638,t60,Z,7/4/2018,D,BA,bat1,bat,47.8
x2647,t53,Z,7/3/2018,M,BA,bat1,bat,21.7
x2727,t78,Z,7/13/2018,M,BA,bat1,bat,15.5
x2805,t88,Z,7/7/2018,RP,BA,bat1,bat,7.2
x2815,t57,Z,7/7/2018,D,BC,bat1,bat,20.3
x2845,t61,Z,7/8/2018,M,BB,bat1,bat,34.9
x2922,t95,Z,7/11/2018,D,BB,bat1,bat,31.1
x2941,t21,X,7/10/2018,M,BB,bat1,bat,37.1
x2943,t22,X,7/11/2018,M,BA,bat1,bat,29.5
x2974,t56,Z,7/12/2018,D,BA,bat1,bat,52.3
x2987,t57,Z,7/16/2018,RP,BA,bat1,bat,4
x3003,t47,Y,7/12/2018,RP,BA,bat1,bat,4.9
x3027,t71,Z,7/12/2018,M,SG,brd1,sml,18
x3085,t88,Z,7/14/2018,RP,BA,bat1,bat,4
x3091,t7,X,8/7/2018,D,BB,bat1,bat,39.1
x3097,t78,Z,7/16/2018,D,BA,bat1,bat,57.3
x3113,t61,Z,7/17/2018,D,BA,bat1,bat,19.7
x3142,t69,Z,7/16/2018,RP,BA,bat1,bat,3.3
x3144,t32,Y,7/21/2018,RP,BA,bat1,bat,42.3
x3180,t22,X,7/18/2018,RP,BB,bat1,bat,22.2
x3189,t69,Z,7/16/2018,RP,BB,bat1,bat,7.8
x3211,t21,X,7/17/2018,RP,BB,bat1,bat,2.1
x3239,t1,X,7/25/2018,M,BA,bat1,bat,35.6
x3258,t88,Z,7/19/2018,D,BB,bat1,bat,41.9
x3275,t71,Z,7/27/2018,M,BA,bat1,bat,11.5
x3290,t32,Y,8/4/2018,D,BA,bat1,bat,40.9
x3336,t71,Z,7/21/2018,M,BA,bat1,bat,28.8
x3359,t18,X,7/21/2018,M,BA,bat1,bat,14.8
x3387,t7,X,7/24/2018,RP,BA,bat1,bat,22.1
x3396,t53,Z,8/2/2018,D,BA,bat1,bat,18.7
x3473,t48,Y,7/25/2018,RP,BA,bat1,bat,7.2
x3478,t69,Z,7/25/2018,M,BA,bat1,bat,35
x3480,t62,Z,7/24/2018,RP,BA,bat1,bat,8.9
x3488,t95,Z,7/24/2018,RP,BA,bat1,bat,12.6
x3501,t78,Z,7/25/2018,RP,BA,bat1,bat,12.5
x3563,t32,Y,7/28/2018,M,BC,bat1,bat,17.4
x3578,t32,Y,8/4/2018,RP,BB,bat1,bat,11.3
x3583,t53,Z,7/30/2018,D,BA,bat1,bat,46.9
x3618,t70,Z,8/1/2018,D,BA,bat1,bat,59.6
x3646,t69,Z,7/31/2018,D,BA,bat1,bat,46.6
x3648,t53,Z,7/30/2018,M,BC,bat1,bat,9.3
x3652,t71,Z,7/30/2018,M,BA,bat1,bat,24.2
x3664,t61,Z,8/1/2018,M,BA,bat1,bat,18.5
x3717,t88,Z,8/1/2018,RP,BD,bat0,bat,6.1
x3733,t14,X,7/31/2018,RP,BC,bat1,bat,20
x3759,t78,Z,8/3/2018,D,BA,bat1,bat,55.9
x3783,t53,Z,8/2/2018,D,BA,bat1,bat,20.7
x3898,t48,Y,8/6/2018,D,BA,bat1,bat,47.9
x3946,t1,X,8/8/2018,RP,BA,bat1,bat,2.5
x3951,t58,Z,8/10/2018,D,BA,bat1,bat,40.4
x4015,t69,Z,8/9/2018,D,BA,bat1,bat,35.7
x4042,t32,Y,8/11/2018,RP,BA,bat1,bat,3.4
x4065,t14,X,8/14/2018,RP,BD,bat0,bat,6
x4093,t48,Y,8/18/2018,M,SB,brd1,sml,15.7
x4135,t61,Z,8/13/2018,D,BA,bat1,bat,49.5
x4195,t48,Y,8/12/2018,M,BB,bat1,bat,29.3
x4249,t88,Z,8/15/2018,RP,BA,bat1,bat,7.1
x4296,t69,Z,8/15/2018,RP,BA,bat1,bat,10.2
x4326,t88,Z,8/19/2018,D,BA,bat1,bat,18.2
x4348,t53,Z,8/20/2018,D,BA,bat1,bat,25.8
x4388,t70,Z,8/19/2018,D,BA,bat1,bat,27.2
x4408,t47,Y,8/20/2018,M,SB,brd1,sml,24
x4424,t58,Z,8/19/2018,RP,BA,bat1,bat,5.8
x4454,t58,Z,8/19/2018,RP,BA,bat1,bat,48.7
x4456,t78,Z,8/18/2018,RP,BA,bat1,bat,4.7
x4470,t88,Z,8/25/2018,D,MA,brd1,med,35.5
x4562,t69,Z,8/21/2018,RP,BE,bat0,bat,7.9
x4639,t69,Z,8/24/2018,M,BB,bat1,bat,57.8
x4714,t32,Y,8/25/2018,M,BC,bat1,bat,16.3
x4725,t4,X,8/25/2018,M,BA,bat1,bat,13.8
x4750,t58,Z,8/25/2018,RP,BC,bat1,bat,6.9
