"cpID","Size","Season","Visibility","Left","Right"
"cp1","bat","spring","RP",1,2
"cp2","bat","spring","RP",0,1
"cp3","bat","spring","RP",0,1
"cp4","bat","spring","RP",0,1
"cp5","bat","spring","RP",7,10
"cp6","bat","spring","RP",0,1
"cp7","bat","spring","RP",2,3
"cp8","bat","spring","RP",1,2
"cp9","bat","spring","RP",0,1
"cp10","bat","spring","RP",0,1
"cp11","bat","spring","RP",4,7
"cp12","bat","spring","RP",0,1
"cp13","bat","spring","RP",2,3
"cp14","bat","spring","RP",4,7
"cp15","bat","spring","RP",1,2
"cp16","bat","spring","RP",2,3
"cp17","bat","spring","RP",4,7
"cp18","bat","spring","RP",2,3
"cp19","bat","spring","RP",4,7
"cp20","bat","spring","RP",1,2
"cp21","bat","summer","RP",0,1
"cp22","bat","summer","RP",0,1
"cp23","bat","summer","RP",7,10
"cp24","bat","summer","RP",10,14
"cp25","bat","summer","RP",0,1
"cp26","bat","summer","RP",1,2
"cp27","bat","summer","RP",3,4
"cp28","bat","summer","RP",3,4
"cp29","bat","summer","RP",0,1
"cp30","bat","summer","RP",3,4
"cp31","bat","summer","RP",4,7
"cp32","bat","summer","RP",3,4
"cp33","bat","summer","RP",2,3
"cp34","bat","summer","RP",4,7
"cp35","bat","summer","RP",1,2
"cp36","bat","summer","RP",0,1
"cp37","bat","summer","RP",0,1
"cp38","bat","summer","RP",1,2
"cp39","bat","summer","RP",0,1
"cp40","bat","summer","RP",4,7
"cp41","bat","fall","RP",1,2
"cp42","bat","fall","RP",0,1
"cp43","bat","fall","RP",4,7
"cp44","bat","fall","RP",0,1
"cp45","bat","fall","RP",3,4
"cp46","bat","fall","RP",1,2
"cp47","bat","fall","RP",2,3
"cp48","bat","fall","RP",3,4
"cp49","bat","fall","RP",2,3
"cp50","bat","fall","RP",1,2
"cp51","bat","fall","RP",7,10
"cp52","bat","fall","RP",7,10
"cp53","bat","fall","RP",0,1
"cp54","bat","fall","RP",1,2
"cp55","bat","fall","RP",0,1
"cp56","bat","fall","RP",0,1
"cp57","bat","fall","RP",2,3
"cp58","bat","fall","RP",3,4
"cp59","bat","fall","RP",0,1
"cp60","bat","fall","RP",1,2
"cp61","bat","spring","M",1,2
"cp62","bat","spring","M",4,7
"cp63","bat","spring","M",2,3
"cp64","bat","spring","M",3,4
"cp65","bat","spring","M",0,1
"cp66","bat","spring","M",14,21
"cp67","bat","spring","M",2,3
"cp68","bat","spring","M",1,2
"cp69","bat","spring","M",2,3
"cp70","bat","spring","M",14,21
"cp71","bat","spring","M",7,10
"cp72","bat","spring","M",1,2
"cp73","bat","spring","M",1,2
"cp74","bat","spring","M",14,21
"cp75","bat","spring","M",2,3
"cp76","bat","spring","M",21,28
"cp77","bat","spring","M",2,3
"cp78","bat","spring","M",1,2
"cp79","bat","spring","M",4,7
"cp80","bat","spring","M",10,14
"cp81","bat","summer","M",10,14
"cp82","bat","summer","M",14,21
"cp83","bat","summer","M",1,2
"cp84","bat","summer","M",10,14
"cp85","bat","summer","M",0,1
"cp86","bat","summer","M",3,4
"cp87","bat","summer","M",4,7
"cp88","bat","summer","M",0,1
"cp89","bat","summer","M",10,14
"cp90","bat","summer","M",0,1
"cp91","bat","summer","M",4,7
"cp92","bat","summer","M",10,14
"cp93","bat","summer","M",4,7
"cp94","bat","summer","M",0,1
"cp95","bat","summer","M",0,1
"cp96","bat","summer","M",1,2
"cp97","bat","summer","M",10,14
"cp98","bat","summer","M",1,2
"cp99","bat","summer","M",10,14
"cp100","bat","summer","M",21,28
"cp101","bat","fall","M",4,7
"cp102","bat","fall","M",14,21
"cp103","bat","fall","M",4,7
"cp104","bat","fall","M",3,4
"cp105","bat","fall","M",1,2
"cp106","bat","fall","M",0,1
"cp107","bat","fall","M",4,7
"cp108","bat","fall","M",0,1
"cp109","bat","fall","M",0,1
"cp110","bat","fall","M",1,2
"cp111","bat","fall","M",7,10
"cp112","bat","fall","M",0,1
"cp113","bat","fall","M",2,3
"cp114","bat","fall","M",3,4
"cp115","bat","fall","M",2,3
"cp116","bat","fall","M",10,14
"cp117","bat","fall","M",7,10
"cp118","bat","fall","M",10,14
"cp119","bat","fall","M",7,10
"cp120","bat","fall","M",0,1
"cp121","bat","spring","D",7,10
"cp122","bat","spring","D",3,4
"cp123","bat","spring","D",10,14
"cp124","bat","spring","D",0,1
"cp125","bat","spring","D",0,1
"cp126","bat","spring","D",2,3
"cp127","bat","spring","D",0,1
"cp128","bat","spring","D",3,4
"cp129","bat","spring","D",7,10
"cp130","bat","spring","D",0,1
"cp131","bat","spring","D",1,2
"cp132","bat","spring","D",10,14
"cp133","bat","spring","D",7,10
"cp134","bat","spring","D",0,1
"cp135","bat","spring","D",3,4
"cp136","bat","spring","D",0,1
"cp137","bat","spring","D",4,7
"cp138","bat","spring","D",0,1
"cp139","bat","spring","D",1,2
"cp140","bat","spring","D",7,10
"cp141","bat","summer","D",4,7
"cp142","bat","summer","D",3,4
"cp143","bat","summer","D",1,2
"cp144","bat","summer","D",4,7
"cp145","bat","summer","D",4,7
"cp146","bat","summer","D",2,3
"cp147","bat","summer","D",0,1
"cp148","bat","summer","D",0,1
"cp149","bat","summer","D",4,7
"cp150","bat","summer","D",0,1
"cp151","bat","summer","D",1,2
"cp152","bat","summer","D",14,21
"cp153","bat","summer","D",2,3
"cp154","bat","summer","D",4,7
"cp155","bat","summer","D",7,10
"cp156","bat","summer","D",0,1
"cp157","bat","summer","D",7,10
"cp158","bat","summer","D",3,4
"cp159","bat","summer","D",3,4
"cp160","bat","summer","D",0,1
"cp161","bat","fall","D",4,7
"cp162","bat","fall","D",0,1
"cp163","bat","fall","D",1,2
"cp164","bat","fall","D",14,21
"cp165","bat","fall","D",21,28
"cp166","bat","fall","D",4,7
"cp167","bat","fall","D",1,2
"cp168","bat","fall","D",14,21
"cp169","bat","fall","D",0,1
"cp170","bat","fall","D",28,Inf
"cp171","bat","fall","D",10,14
"cp172","bat","fall","D",10,14
"cp173","bat","fall","D",21,28
"cp174","bat","fall","D",4,7
"cp175","bat","fall","D",7,10
"cp176","bat","fall","D",0,1
"cp177","bat","fall","D",3,4
"cp178","bat","fall","D",0,1
"cp179","bat","fall","D",10,14
"cp180","bat","fall","D",2,3
"cp181","sml","spring","RP",0,1
"cp182","sml","spring","RP",1,2
"cp183","sml","spring","RP",28,Inf
"cp184","sml","spring","RP",4,7
"cp185","sml","spring","RP",0,1
"cp186","sml","spring","RP",1,2
"cp187","sml","spring","RP",14,21
"cp188","sml","spring","RP",0,1
"cp189","sml","spring","RP",4,7
"cp190","sml","spring","RP",3,4
"cp191","sml","spring","RP",7,10
"cp192","sml","spring","RP",0,1
"cp193","sml","spring","RP",0,1
"cp194","sml","spring","RP",2,3
"cp195","sml","spring","RP",2,3
"cp196","sml","spring","RP",0,1
"cp197","sml","spring","RP",3,4
"cp198","sml","spring","RP",0,1
"cp199","sml","spring","RP",0,1
"cp200","sml","spring","RP",0,1
"cp201","sml","summer","RP",3,4
"cp202","sml","summer","RP",0,1
"cp203","sml","summer","RP",28,Inf
"cp204","sml","summer","RP",21,28
"cp205","sml","summer","RP",4,7
"cp206","sml","summer","RP",28,Inf
"cp207","sml","summer","RP",7,10
"cp208","sml","summer","RP",28,Inf
"cp209","sml","summer","RP",21,28
"cp210","sml","summer","RP",4,7
"cp211","sml","summer","RP",4,7
"cp212","sml","summer","RP",28,Inf
"cp213","sml","summer","RP",7,10
"cp214","sml","summer","RP",2,3
"cp215","sml","summer","RP",3,4
"cp216","sml","summer","RP",10,14
"cp217","sml","summer","RP",14,21
"cp218","sml","summer","RP",10,14
"cp219","sml","summer","RP",10,14
"cp220","sml","summer","RP",0,1
"cp221","sml","fall","RP",3,4
"cp222","sml","fall","RP",0,1
"cp223","sml","fall","RP",0,1
"cp224","sml","fall","RP",10,14
"cp225","sml","fall","RP",28,Inf
"cp226","sml","fall","RP",1,2
"cp227","sml","fall","RP",0,1
"cp228","sml","fall","RP",14,21
"cp229","sml","fall","RP",21,28
"cp230","sml","fall","RP",2,3
"cp231","sml","fall","RP",28,Inf
"cp232","sml","fall","RP",10,14
"cp233","sml","fall","RP",21,28
"cp234","sml","fall","RP",4,7
"cp235","sml","fall","RP",1,2
"cp236","sml","fall","RP",28,Inf
"cp237","sml","fall","RP",0,1
"cp238","sml","fall","RP",28,Inf
"cp239","sml","fall","RP",21,28
"cp240","sml","fall","RP",0,1
"cp241","sml","spring","M",14,21
"cp242","sml","spring","M",0,1
"cp243","sml","spring","M",0,1
"cp244","sml","spring","M",10,14
"cp245","sml","spring","M",21,28
"cp246","sml","spring","M",0,1
"cp247","sml","spring","M",28,Inf
"cp248","sml","spring","M",14,21
"cp249","sml","spring","M",28,Inf
"cp250","sml","spring","M",0,1
"cp251","sml","spring","M",0,1
"cp252","sml","spring","M",7,10
"cp253","sml","spring","M",4,7
"cp254","sml","spring","M",28,Inf
"cp255","sml","spring","M",0,1
"cp256","sml","spring","M",3,4
"cp257","sml","spring","M",28,Inf
"cp258","sml","spring","M",1,2
"cp259","sml","spring","M",28,Inf
"cp260","sml","spring","M",28,Inf
"cp261","sml","summer","M",2,3
"cp262","sml","summer","M",1,2
"cp263","sml","summer","M",0,1
"cp264","sml","summer","M",28,Inf
"cp265","sml","summer","M",7,10
"cp266","sml","summer","M",0,1
"cp267","sml","summer","M",0,1
"cp268","sml","summer","M",3,4
"cp269","sml","summer","M",0,1
"cp270","sml","summer","M",28,Inf
"cp271","sml","summer","M",28,Inf
"cp272","sml","summer","M",28,Inf
"cp273","sml","summer","M",0,1
"cp274","sml","summer","M",28,Inf
"cp275","sml","summer","M",3,4
"cp276","sml","summer","M",2,3
"cp277","sml","summer","M",0,1
"cp278","sml","summer","M",7,10
"cp279","sml","summer","M",1,2
"cp280","sml","summer","M",28,Inf
"cp281","sml","fall","M",10,14
"cp282","sml","fall","M",4,7
"cp283","sml","fall","M",28,Inf
"cp284","sml","fall","M",10,14
"cp285","sml","fall","M",14,21
"cp286","sml","fall","M",28,Inf
"cp287","sml","fall","M",3,4
"cp288","sml","fall","M",28,Inf
"cp289","sml","fall","M",14,21
"cp290","sml","fall","M",4,7
"cp291","sml","fall","M",28,Inf
"cp292","sml","fall","M",1,2
"cp293","sml","fall","M",28,Inf
"cp294","sml","fall","M",7,10
"cp295","sml","fall","M",28,Inf
"cp296","sml","fall","M",1,2
"cp297","sml","fall","M",28,Inf
"cp298","sml","fall","M",4,7
"cp299","sml","fall","M",28,Inf
"cp300","sml","fall","M",0,1
"cp301","sml","spring","D",3,4
"cp302","sml","spring","D",0,1
"cp303","sml","spring","D",4,7
"cp304","sml","spring","D",10,14
"cp305","sml","spring","D",7,10
"cp306","sml","spring","D",14,21
"cp307","sml","spring","D",10,14
"cp308","sml","spring","D",21,28
"cp309","sml","spring","D",28,Inf
"cp310","sml","spring","D",10,14
"cp311","sml","spring","D",1,2
"cp312","sml","spring","D",2,3
"cp313","sml","spring","D",28,Inf
"cp314","sml","spring","D",7,10
"cp315","sml","spring","D",14,21
"cp316","sml","spring","D",1,2
"cp317","sml","spring","D",0,1
"cp318","sml","spring","D",0,1
"cp319","sml","spring","D",28,Inf
"cp320","sml","spring","D",3,4
"cp321","sml","summer","D",4,7
"cp322","sml","summer","D",2,3
"cp323","sml","summer","D",28,Inf
"cp324","sml","summer","D",28,Inf
"cp325","sml","summer","D",21,28
"cp326","sml","summer","D",28,Inf
"cp327","sml","summer","D",21,28
"cp328","sml","summer","D",14,21
"cp329","sml","summer","D",7,10
"cp330","sml","summer","D",10,14
"cp331","sml","summer","D",0,1
"cp332","sml","summer","D",10,14
