"cpID","Size","Season","Left","Right"
"cp1","bat","spring",10.03,14.09
"cp2","bat","spring",3.98,7.05
"cp3","bat","spring",20.95,28.05
"cp4","bat","spring",0,1.02
"cp5","bat","spring",4.17,7.07
"cp6","bat","spring",28.17,Inf
"cp7","bat","spring",0,0.86
"cp8","bat","spring",1.07,2.06
"cp9","bat","spring",10,13.91
"cp10","bat","spring",0,1.03
"cp11","bat","spring",2,2.91
"cp12","bat","spring",3.83,7.02
"cp13","bat","spring",0,0.93
"cp14","bat","spring",4.02,7.01
"cp15","bat","spring",0.81,2.06
"cp16","bat","spring",0.98,1.99
"cp17","bat","spring",20.86,27.96
"cp18","bat","spring",0,0.93
"cp19","bat","spring",1.04,1.95
"cp20","bat","spring",7.04,10.04
"cp21","bat","summer",1.14,1.83
"cp22","bat","summer",0,0.96
"cp23","bat","summer",3,4
"cp24","bat","summer",28.21,Inf
"cp25","bat","summer",2.92,3.95
"cp26","bat","summer",2,2.93
"cp27","bat","summer",0.89,2.02
"cp28","bat","summer",2.03,2.9
"cp29","bat","summer",0.93,2.02
"cp30","bat","summer",14.01,21.03
"cp31","bat","summer",0,1.03
"cp32","bat","summer",0.95,2.06
"cp33","bat","summer",4.04,7.04
"cp34","bat","summer",3.85,7.04
"cp35","bat","summer",0,0.93
"cp36","bat","summer",20.95,27.93
"cp37","bat","summer",2.97,4.02
"cp38","bat","summer",0,1.1
"cp39","bat","summer",0.95,2.12
"cp40","bat","summer",6.98,10
"cp41","bat","fall",1.88,2.92
"cp42","bat","fall",0,0.98
"cp43","bat","fall",4.23,7.14
"cp44","bat","fall",0,0.86
"cp45","bat","fall",0,1.09
"cp46","bat","fall",0,0.95
"cp47","bat","fall",0,0.94
"cp48","bat","fall",4,7.14
"cp49","bat","fall",10.17,13.98
"cp50","bat","fall",0.87,2.06
"cp51","bat","fall",14.03,21.18
"cp52","bat","fall",0,0.77
"cp53","bat","fall",0,1.11
"cp54","bat","fall",0.87,1.98
"cp55","bat","fall",0,1.04
"cp56","bat","fall",2.98,4.12
"cp57","bat","fall",0,1.06
"cp58","bat","fall",6.97,9.93
"cp59","bat","fall",1.04,2
"cp60","bat","fall",7.05,9.99
"cp181","lrg","spring",0,1.1
"cp182","lrg","spring",28.12,Inf
"cp183","lrg","spring",28.12,Inf
"cp184","lrg","spring",10.13,14.08
"cp185","lrg","spring",28.12,Inf
"cp186","lrg","spring",7.05,10.06
"cp187","lrg","spring",14.06,20.92
"cp188","lrg","spring",28.12,Inf
"cp189","lrg","spring",13.97,21.03
"cp190","lrg","spring",20.84,28
"cp191","lrg","spring",28.12,Inf
"cp192","lrg","spring",28.12,Inf
"cp193","lrg","spring",28.12,Inf
"cp194","lrg","spring",28.12,Inf
"cp195","lrg","spring",28.12,Inf
"cp196","lrg","spring",0,0.96
"cp197","lrg","spring",14.13,21.01
"cp198","lrg","spring",28.12,Inf
"cp199","lrg","spring",10.04,13.93
"cp200","lrg","spring",0,1
"cp201","lrg","summer",28.16,Inf
"cp202","lrg","summer",4.1,7.06
"cp203","lrg","summer",28.16,Inf
"cp204","lrg","summer",6.95,9.96
"cp205","lrg","summer",28.16,Inf
"cp206","lrg","summer",13.96,21.04
"cp207","lrg","summer",20.99,28.06
"cp208","lrg","summer",3.97,6.95
"cp209","lrg","summer",2.96,4.01
"cp210","lrg","summer",13.99,21.04
"cp211","lrg","summer",28.16,Inf
"cp212","lrg","summer",14.1,21.02
"cp213","lrg","summer",3.01,3.97
"cp214","lrg","summer",28.16,Inf
"cp215","lrg","summer",3.01,3.97
"cp216","lrg","summer",28.16,Inf
"cp217","lrg","summer",20.91,27.88
"cp218","lrg","summer",28.16,Inf
"cp219","lrg","summer",28.16,Inf
"cp220","lrg","summer",28.16,Inf
"cp221","lrg","fall",9.98,13.98
"cp222","lrg","fall",28.14,Inf
"cp223","lrg","fall",28.14,Inf
"cp224","lrg","fall",0,0.91
"cp225","lrg","fall",28.14,Inf
"cp226","lrg","fall",0,1.05
"cp227","lrg","fall",3,3.9
"cp228","lrg","fall",28.14,Inf
"cp229","lrg","fall",9.99,14.02
"cp230","lrg","fall",28.14,Inf
"cp231","lrg","fall",28.14,Inf
"cp232","lrg","fall",28.14,Inf
"cp233","lrg","fall",28.14,Inf
"cp234","lrg","fall",28.14,Inf
"cp235","lrg","fall",4.04,6.99
"cp236","lrg","fall",28.14,Inf
"cp237","lrg","fall",28.14,Inf
"cp238","lrg","fall",28.14,Inf
"cp239","lrg","fall",6.97,9.96
"cp240","lrg","fall",21.06,27.94
"cp361","med","spring",14.18,20.97
"cp362","med","spring",4.13,7.01
"cp363","med","spring",4.02,7
"cp364","med","spring",28.12,Inf
"cp365","med","spring",10.01,14.06
"cp366","med","spring",28.12,Inf
"cp367","med","spring",2.05,3.15
"cp368","med","spring",2.95,3.92
"cp369","med","spring",13.95,20.88
"cp370","med","spring",0,1.02
"cp371","med","spring",0,1.14
"cp372","med","spring",21.01,27.99
"cp373","med","spring",9.93,13.82
"cp374","med","spring",0,0.91
"cp375","med","spring",0,1.01
"cp376","med","spring",3.93,7.06
"cp377","med","spring",4.09,6.97
"cp378","med","spring",1,2.18
"cp379","med","spring",2.91,4
"cp380","med","spring",0,1.16
"cp381","med","summer",28.14,Inf
"cp382","med","summer",3.91,6.86
"cp383","med","summer",1.03,1.94
"cp384","med","summer",10.11,14
"cp385","med","summer",28.14,Inf
"cp386","med","summer",1.93,3.04
"cp387","med","summer",9.97,14.01
"cp388","med","summer",28.14,Inf
"cp389","med","summer",10.1,14.02
"cp390","med","summer",21.09,28.02
"cp391","med","summer",4.1,7.06
"cp392","med","summer",4.04,7.05
"cp393","med","summer",3.86,6.96
"cp394","med","summer",0,0.96
"cp395","med","summer",0,1.09
"cp396","med","summer",3.9,6.97
"cp397","med","summer",9.97,13.93
"cp398","med","summer",13.91,20.85
"cp399","med","summer",20.99,27.95
"cp400","med","summer",0,0.96
"cp401","med","fall",14.04,21.08
"cp402","med","fall",28.25,Inf
"cp403","med","fall",28.25,Inf
"cp404","med","fall",0,0.88
"cp405","med","fall",21.03,28.05
"cp406","med","fall",28.25,Inf
"cp407","med","fall",28.25,Inf
"cp408","med","fall",13.85,21.02
"cp409","med","fall",7.07,9.86
"cp410","med","fall",7.27,9.94
"cp411","med","fall",6.99,9.87
"cp412","med","fall",4,7.01
"cp413","med","fall",28.25,Inf
"cp414","med","fall",0,1.02
"cp415","med","fall",7,9.92
"cp416","med","fall",3.99,7.02
"cp417","med","fall",3.98,7.05
"cp418","med","fall",7.05,9.98
"cp419","med","fall",14.02,21.03
"cp420","med","fall",28.25,Inf
"cp541","sml","spring",3.94,7.07
"cp542","sml","spring",13.95,21.01
"cp543","sml","spring",1.95,2.98
"cp544","sml","spring",0,0.98
"cp545","sml","spring",4.02,7.06
"cp546","sml","spring",10.01,13.99
"cp547","sml","spring",9.79,13.99
"cp548","sml","spring",14.02,21.12
"cp549","sml","spring",1.08,2.08
"cp550","sml","spring",9.85,13.97
"cp551","sml","spring",20.99,28.11
"cp552","sml","spring",9.97,14
"cp553","sml","spring",0,0.92
"cp554","sml","spring",13.85,21.08
"cp555","sml","spring",28.17,Inf
"cp556","sml","spring",0,0.95
"cp557","sml","spring",2.99,4.01
"cp558","sml","spring",0,0.97
"cp559","sml","spring",2.06,3.09
"cp560","sml","spring",0,1
"cp561","sml","summer",13.86,21.02
"cp562","sml","summer",7.02,9.93
"cp563","sml","summer",0,0.91
"cp564","sml","summer",0.94,2.06
"cp565","sml","summer",0.97,2.05
"cp566","sml","summer",0,1.08
"cp567","sml","summer",2.91,4.05
"cp568","sml","summer",0,0.97
"cp569","sml","summer",7.09,10.06
"cp570","sml","summer",3.85,6.97
"cp571","sml","summer",21.03,27.95
"cp572","sml","summer",28.09,Inf
"cp573","sml","summer",6.86,9.92
"cp574","sml","summer",3.85,6.87
"cp575","sml","summer",0,0.89
"cp576","sml","summer",4.05,7.15
"cp577","sml","summer",0.95,1.97
"cp578","sml","summer",0.92,2.05
"cp579","sml","summer",0,1.09
"cp580","sml","summer",0,1.14
"cp581","sml","fall",1.17,1.86
"cp582","sml","fall",0,1.11
"cp583","sml","fall",0,1.01
"cp584","sml","fall",1.98,3
"cp585","sml","fall",13.93,20.99
"cp586","sml","fall",0,1.16
"cp587","sml","fall",13.82,21.12
"cp588","sml","fall",1,1.92
"cp589","sml","fall",20.91,28.05
"cp590","sml","fall",28.17,Inf
"cp591","sml","fall",1.87,3.07
"cp592","sml","fall",1.94,3.09
"cp593","sml","fall",3.11,4.07
"cp594","sml","fall",10.07,14.03
"cp595","sml","fall",4,7.06
"cp596","sml","fall",3,4.04
"cp597","sml","fall",28.17,Inf
"cp598","sml","fall",4.03,6.97
"cp599","sml","fall",28.17,Inf
"cp600","sml","fall",3.98,7
