"pkID","Size","Season","Visibility","s1","s2","s3","s4","s5"
"pk1","bat","spring","RP",1,NA,NA,NA,NA
"pk2","bat","spring","RP",0,0,0,0,0
"pk3","bat","spring","RP",1,NA,NA,NA,NA
"pk4","bat","spring","RP",1,NA,NA,NA,NA
"pk5","bat","spring","RP",0,1,NA,NA,NA
"pk6","bat","spring","RP",0,0,0,0,1
"pk7","bat","spring","RP",1,NA,NA,NA,NA
"pk8","bat","spring","RP",1,NA,NA,NA,NA
"pk9","bat","spring","RP",1,NA,NA,NA,NA
"pk10","bat","spring","RP",0,0,0,0,0
"pk11","bat","spring","RP",1,NA,NA,NA,NA
"pk12","bat","spring","RP",0,0,1,NA,NA
"pk13","bat","spring","RP",1,NA,NA,NA,NA
"pk14","bat","spring","RP",1,NA,NA,NA,NA
"pk15","bat","spring","RP",1,NA,NA,NA,NA
"pk16","bat","spring","RP",1,NA,NA,NA,NA
"pk17","bat","spring","RP",1,NA,NA,NA,NA
"pk18","bat","spring","RP",1,NA,NA,NA,NA
"pk19","bat","spring","RP",1,NA,NA,NA,NA
"pk20","bat","spring","RP",0,1,NA,NA,NA
"pk21","bat","summer","RP",0,1,NA,NA,NA
"pk22","bat","summer","RP",0,0,0,0,0
"pk23","bat","summer","RP",0,1,NA,NA,NA
"pk24","bat","summer","RP",1,NA,NA,NA,NA
"pk25","bat","summer","RP",0,0,0,0,0
"pk26","bat","summer","RP",0,0,1,NA,NA
"pk27","bat","summer","RP",0,1,NA,NA,NA
"pk28","bat","summer","RP",1,NA,NA,NA,NA
"pk29","bat","summer","RP",1,NA,NA,NA,NA
"pk30","bat","summer","RP",1,NA,NA,NA,NA
"pk31","bat","summer","RP",1,NA,NA,NA,NA
"pk32","bat","summer","RP",1,NA,NA,NA,NA
"pk33","bat","summer","RP",1,NA,NA,NA,NA
"pk34","bat","summer","RP",0,0,1,NA,NA
"pk35","bat","summer","RP",1,NA,NA,NA,NA
"pk36","bat","summer","RP",0,0,1,NA,NA
"pk37","bat","summer","RP",1,NA,NA,NA,NA
"pk38","bat","summer","RP",1,NA,NA,NA,NA
"pk39","bat","summer","RP",0,0,0,0,1
"pk40","bat","summer","RP",1,NA,NA,NA,NA
"pk41","bat","fall","RP",1,NA,NA,NA,NA
"pk42","bat","fall","RP",0,0,0,0,0
"pk43","bat","fall","RP",1,NA,NA,NA,NA
"pk44","bat","fall","RP",1,NA,NA,NA,NA
"pk45","bat","fall","RP",1,NA,NA,NA,NA
"pk46","bat","fall","RP",1,NA,NA,NA,NA
