"carcID","Turbine","TurbineType","DateFound","Species","SpeciesGroup","Distance"
"x315","t8","X",1955-04-27,"BC","bat1",16.2
"x382","t57","Z",1955-04-30,"BC","bat1",10.6
"x431","t72","Z",1955-05-03,"BA","bat1",8.4
"x496","t44","Y",1955-05-03,"BC","bat1",3.3
"x537","t43","Y",1955-05-06,"BC","bat1",13.8
"x651","t79","Z",1955-05-06,"BB","bat1",26.4
"x655","t43","Y",1955-05-06,"BA","bat1",15.4
"x582","t80","Z",1955-05-09,"BC","bat1",10
"x795","t36","Y",1955-05-09,"BB","bat1",1.9
"x823","t97","Z",1955-05-09,"BB","bat1",6.2
"x993","t83","Z",1955-05-12,"BB","bat1",22
"x876","t74","Z",1955-05-15,"BA","bat1",5
"x1019","t82","Z",1955-05-15,"BB","bat1",2.1
"x1135","t56","Z",1955-05-15,"BA","bat1",4.6
"x1136","t14","X",1955-05-15,"BA","bat1",3.6
"x1157","t34","Y",1955-05-15,"BB","bat1",6.7
"x1169","t34","Y",1955-05-15,"BA","bat1",14.4
"x1185","t6","X",1955-05-15,"BB","bat1",5.4
"x786","t27","X",1955-05-18,"BB","bat1",7.4
"x1051","t49","Y",1955-05-18,"BB","bat1",6
"x1085","t55","Z",1955-05-18,"BA","bat1",7.8
"x1200","t59","Z",1955-05-18,"BC","bat1",2.8
"x1203","t92","Z",1955-05-18,"BA","bat1",5.8
"x1246","t91","Z",1955-05-18,"BA","bat1",7
"x1319","t7","X",1955-05-18,"BA","bat1",42.9
"x1369","t89","Z",1955-05-18,"BA","bat1",4.9
"x1236","t20","X",1955-05-21,"BB","bat1",7.6
"x1259","t74","Z",1955-05-21,"BB","bat1",16.2
"x1315","t16","X",1955-05-21,"BB","bat1",26.4
"x1435","t100","Z",1955-05-21,"BA","bat1",9.3
"x1086","t29","X",1955-05-24,"BC","bat1",14
"x1143","t75","Z",1955-05-24,"BB","bat1",9.6
"x1258","t21","X",1955-05-24,"BA","bat1",3.3
"x1553","t53","Z",1955-05-24,"BA","bat1",12
"x1612","t86","Z",1955-05-24,"BB","bat1",25.7
"x1649","t71","Z",1955-05-24,"BA","bat1",7.5
"x1678","t97","Z",1955-05-24,"BA","bat1",13
"x1721","t18","X",1955-05-27,"BC","bat1",16
"x1890","t83","Z",1955-05-27,"BA","bat1",9.6
"x1995","t54","Z",1955-05-27,"BA","bat1",8
"x1433","t11","X",1955-05-30,"BC","bat1",1.7
"x1512","t27","X",1955-05-30,"BA","bat1",0.4
"x1820","t73","Z",1955-05-30,"BB","bat1",7
"x1876","t3","X",1955-05-30,"BD","bat0",6
"x1899","t77","Z",1955-05-30,"BC","bat1",6.9
"x1953","t31","Y",1955-05-30,"BA","bat1",2.3
"x2171","t89","Z",1955-05-30,"BA","bat1",0.8
"x1948","t8","X",1955-06-02,"BA","bat1",10.7
"x2047","t12","X",1955-06-02,"BA","bat1",6.7
"x2225","t95","Z",1955-06-02,"BA","bat1",6.2
"x2313","t40","Y",1955-06-02,"BA","bat1",25.7
"x2323","t46","Y",1955-06-02,"BA","bat1",5.6
"x2257","t67","Z",1955-06-05,"BB","bat1",30.3
"x2272","t79","Z",1955-06-05,"BB","bat1",5.1
"x2404","t92","Z",1955-06-05,"BA","bat1",5.2
"x2448","t29","X",1955-06-05,"BC","bat1",8
"x2465","t77","Z",1955-06-05,"BC","bat1",4
"x2484","t94","Z",1955-06-05,"BB","bat1",1.1
"x2596","t48","Y",1955-06-08,"BA","bat1",1
"x2601","t19","X",1955-06-11,"BA","bat1",22
"x2663","t56","Z",1955-06-14,"BC","bat1",7.2
"x2917","t35","Y",1955-06-21,"BA","bat1",3.7
"x2923","t83","Z",1955-06-21,"BB","bat1",11
"x2927","t57","Z",1955-06-28,"BA","bat1",12.8
"x2967","t42","Y",1955-06-28,"BA","bat1",12.3
"x3035","t53","Z",1955-06-28,"BB","bat1",22.4
"x3045","t94","Z",1955-06-28,"BB","bat1",13.5
"x3090","t65","Z",1955-07-05,"BA","bat1",8.7
"x3107","t27","X",1955-07-05,"BC","bat1",18.4
"x3150","t86","Z",1955-07-05,"BA","bat1",9.2
"x3331","t100","Z",1955-07-12,"BC","bat1",12.1
"x3321","t37","Y",1955-07-19,"BB","bat1",11.1
"x3380","t83","Z",1955-07-19,"BA","bat1",59.8
"x3438","t15","X",1955-07-19,"BA","bat1",8
"x3348","t90","Z",1955-07-26,"BC","bat1",2
"x3518","t29","X",1955-07-26,"BC","bat1",4.2
"x3528","t59","Z",1955-07-26,"BD","bat0",8.1
"x3535","t88","Z",1955-07-26,"BA","bat1",5.7
"x3560","t1","X",1955-07-26,"BA","bat1",18.8
"x3655","t91","Z",1955-08-02,"BA","bat1",11.5
"x3799","t75","Z",1955-08-09,"BB","bat1",9.7
"x3810","t87","Z",1955-08-09,"BA","bat1",12.1
"x3913","t95","Z",1955-08-16,"BA","bat1",2
"x3928","t4","X",1955-08-16,"BB","bat1",11.2
"x3966","t28","X",1955-08-16,"BA","bat1",12
"x3972","t64","Z",1955-08-16,"BA","bat1",6.7
"x3985","t100","Z",1955-08-16,"BB","bat1",25.2
"x4000","t39","Y",1955-08-16,"BC","bat1",1.6
"x4010","t95","Z",1955-08-16,"BA","bat1",41
"x4011","t44","Y",1955-08-16,"BC","bat1",10.7
"x4024","t37","Y",1955-08-23,"BA","bat1",10.7
"x4081","t2","X",1955-08-23,"BC","bat1",3.7
"x4095","t61","Z",1955-08-23,"BA","bat1",2.2
"x4107","t91","Z",1955-08-23,"BC","bat1",9.5
"x4114","t10","X",1955-08-23,"BA","bat1",1.7
"x4080","t42","Y",1955-08-25,"BC","bat1",9.1
"x4226","t51","Z",1955-08-28,"BB","bat1",17.3
"x4274","t28","X",1955-08-30,"BA","bat1",18.6
"x4282","t95","Z",1955-08-30,"BC","bat1",12.1
"x4361","t23","X",1955-09-01,"BA","bat1",34.2
"x4375","t95","Z",1955-09-01,"BA","bat1",3.6
"x4405","t17","X",1955-09-02,"BB","bat1",44.7
"x4442","t31","Y",1955-09-02,"BA","bat1",3.7
"x4403","t69","Z",1955-09-03,"BB","bat1",0.1
"x4445","t95","Z",1955-09-03,"BA","bat1",20.1
"x4490","t73","Z",1955-09-04,"BA","bat1",7.7
"x4391","t74","Z",1955-09-05,"BC","bat1",9.8
"x4515","t85","Z",1955-09-05,"BA","bat1",3
"x4554","t68","Z",1955-09-05,"BA","bat1",36.5
"x4564","t47","Y",1955-09-05,"BB","bat1",10.2
"x4570","t97","Z",1955-09-05,"BA","bat1",6.9
"x4513","t35","Y",1955-09-06,"BA","bat1",13.3
"x4520","t7","X",1955-09-06,"BA","bat1",9.8
"x4606","t85","Z",1955-09-06,"BB","bat1",19.6
"x4597","t58","Z",1955-09-07,"BA","bat1",2.1
"x4601","t49","Y",1955-09-07,"BA","bat1",7.3
"x4604","t70","Z",1955-09-07,"BA","bat1",12.5
"x4614","t58","Z",1955-09-07,"BB","bat1",6.2
"x4616","t55","Z",1955-09-07,"BA","bat1",5.9
"x4684","t43","Y",1955-09-07,"BA","bat1",6.5
