"cpID","Season","Left","Right"
"cp1","spring",0,0.93
"cp2","spring",0.98,1.97
"cp3","spring",0,1.01
"cp4","spring",13.99,21.13
"cp5","spring",0,1.17
"cp6","spring",20.95,27.97
"cp7","spring",0,0.92
"cp8","spring",0.96,1.92
"cp9","spring",0,0.96
"cp10","spring",2.05,2.91
"cp11","spring",0.92,2.02
"cp12","spring",0,0.9
"cp13","spring",0.93,1.89
"cp14","spring",3.94,6.97
"cp15","spring",0,0.96
"cp16","spring",1.88,2.98
"cp17","spring",1.05,1.9
"cp18","spring",9.96,13.88
"cp19","spring",0,0.98
"cp20","spring",1,1.95
"cp21","summer",10.06,13.86
"cp22","summer",0,0.95
"cp23","summer",4.07,6.94
"cp24","summer",10.01,13.98
"cp25","summer",28.16,Inf
"cp26","summer",0.97,2
"cp27","summer",3.95,6.92
"cp28","summer",0,0.97
"cp29","summer",2.89,3.96
"cp30","summer",4.01,7.11
"cp31","summer",0,0.82
"cp32","summer",0,1.05
"cp33","summer",0,1.19
"cp34","summer",0,0.92
"cp35","summer",4.12,7.09
"cp36","summer",1.9,3.18
"cp37","summer",4.17,7.06
"cp38","summer",0,1.04
"cp39","summer",0,0.98
"cp40","summer",1.97,2.99
"cp41","fall",0.92,1.98
"cp42","fall",7.03,10
"cp43","fall",3.89,6.93
"cp44","fall",4,7.08
"cp45","fall",2.15,2.92
"cp46","fall",0,1.01
"cp47","fall",7.08,9.91
"cp48","fall",6.84,9.97
"cp49","fall",2,3.02
"cp50","fall",0,1.04
"cp51","fall",0,0.92
"cp52","fall",0,0.71
"cp53","fall",2.99,3.93
"cp54","fall",4.11,6.96
"cp55","fall",4.06,7.01
"cp56","fall",13.94,20.96
"cp57","fall",0,0.95
"cp58","fall",0,1
"cp59","fall",0,0.93
"cp60","fall",0,0.94
