"pkID","Season","s1","s2","s3","s4","s5"
"pk1","spring",1,NA,NA,NA,NA
"pk2","spring",0,NA,NA,NA,NA
"pk3","spring",1,NA,NA,NA,NA
"pk4","spring",1,NA,NA,NA,NA
"pk5","spring",0,NA,NA,NA,NA
"pk6","spring",1,NA,NA,NA,NA
"pk7","spring",1,NA,NA,NA,NA
"pk8","spring",1,NA,NA,NA,NA
"pk9","spring",1,NA,NA,NA,NA
"pk10","spring",1,NA,NA,NA,NA
"pk11","spring",1,NA,NA,NA,NA
"pk12","spring",1,NA,NA,NA,NA
"pk13","spring",1,NA,NA,NA,NA
"pk14","spring",1,NA,NA,NA,NA
"pk15","spring",1,NA,NA,NA,NA
"pk16","spring",1,NA,NA,NA,NA
"pk17","spring",1,NA,NA,NA,NA
"pk18","spring",1,NA,NA,NA,NA
"pk19","spring",1,NA,NA,NA,NA
"pk20","spring",1,NA,NA,NA,NA
"pk21","summer",1,NA,NA,NA,NA
"pk22","summer",1,NA,NA,NA,NA
"pk23","summer",1,NA,NA,NA,NA
"pk24","summer",0,NA,NA,NA,NA
"pk25","summer",1,NA,NA,NA,NA
"pk26","summer",1,NA,NA,NA,NA
"pk27","summer",1,NA,NA,NA,NA
"pk28","summer",1,NA,NA,NA,NA
"pk29","summer",1,NA,NA,NA,NA
"pk30","summer",1,NA,NA,NA,NA
"pk31","summer",1,NA,NA,NA,NA
"pk32","summer",0,NA,NA,NA,NA
"pk33","summer",0,NA,NA,NA,NA
"pk34","summer",1,NA,NA,NA,NA
"pk35","summer",0,NA,NA,NA,NA
"pk36","summer",0,NA,NA,NA,NA
"pk37","summer",0,NA,NA,NA,NA
"pk38","summer",1,NA,NA,NA,NA
"pk39","summer",1,NA,NA,NA,NA
"pk40","summer",1,NA,NA,NA,NA
"pk41","fall",1,NA,NA,NA,NA
"pk42","fall",1,NA,NA,NA,NA
"pk43","fall",1,NA,NA,NA,NA
"pk44","fall",1,NA,NA,NA,NA
"pk45","fall",1,NA,NA,NA,NA
"pk46","fall",1,NA,NA,NA,NA
"pk47","fall",0,NA,NA,NA,NA
"pk48","fall",1,NA,NA,NA,NA
"pk49","fall",1,NA,NA,NA,NA
"pk50","fall",1,NA,NA,NA,NA
"pk51","fall",1,NA,NA,NA,NA
"pk52","fall",1,NA,NA,NA,NA
"pk53","fall",0,0,1,NA,NA
"pk54","fall",1,NA,NA,NA,NA
"pk55","fall",1,NA,NA,NA,NA
"pk56","fall",1,NA,NA,NA,NA
"pk57","fall",1,NA,NA,NA,NA
"pk58","fall",1,NA,NA,NA,NA
"pk59","fall",1,NA,NA,NA,NA
"pk60","fall",1,NA,NA,NA,NA
