"carcID","Turbine","TurbineType","DateFound","Visibility","Species","SpeciesGroup","Size","Distance"
"x25","t70","Z",1955-04-21,"D","MH","brd3","med",42.7
"x124","t71","Z",1955-04-30,"M","BB","bat1","bat",15.4
"x113","t18","X",1955-05-03,"RP","BC","bat1","bat",6.9
"x152","t56","Z",1955-05-03,"RP","BA","bat1","bat",10.9
"x187","t78","Z",1955-05-03,"RP","BA","bat1","bat",3.4
"x175","t69","Z",1955-05-06,"D","MA","brd1","med",53.6
"x194","t71","Z",1955-05-06,"D","SB","brd1","sml",45.1
"x259","t61","Z",1955-05-06,"RP","BB","bat1","bat",10.2
"x266","t47","Y",1955-05-06,"D","BA","bat1","bat",48.4
"x222","t78","Z",1955-05-09,"RP","BA","bat1","bat",3.9
"x225","t58","Z",1955-05-09,"RP","BA","bat1","bat",3.9
"x242","t56","Z",1955-05-09,"D","LB","brd3","lrg",41.6
"x262","t60","Z",1955-05-09,"RP","BA","bat1","bat",13
"x318","t1","X",1955-05-12,"D","BB","bat1","bat",17.6
"x476","t57","Z",1955-05-12,"RP","BA","bat1","bat",7.4
"x209","t22","X",1955-05-15,"RP","BC","bat1","bat",59.4
"x424","t56","Z",1955-05-15,"RP","BA","bat1","bat",16.2
"x430","t70","Z",1955-05-15,"D","LA","brd2","lrg",47.5
"x455","t22","X",1955-05-15,"D","LA","brd2","lrg",58
"x538","t58","Z",1955-05-15,"M","BB","bat1","bat",16.9
"x583","t14","X",1955-05-15,"D","BC","bat1","bat",49.5
"x609","t61","Z",1955-05-18,"D","SG","brd1","sml",24.1
"x715","t61","Z",1955-05-18,"D","MF","brd2","med",52.2
"x720","t53","Z",1955-05-18,"D","MB","brd1","med",46.8
"x484","t4","X",1955-05-21,"M","ME","brd2","med",38.4
"x490","t48","Y",1955-05-21,"M","MF","brd2","med",45.2
"x550","t88","Z",1955-05-21,"D","MD","brd1","med",53.5
"x739","t88","Z",1955-05-21,"D","LC","brd3","lrg",46.3
"x764","t48","Y",1955-05-21,"RP","BA","bat1","bat",0
"x812","t4","X",1955-05-21,"D","MG","brd2","med",46.8
"x816","t60","Z",1955-05-21,"RP","BB","bat1","bat",11.3
