"Turbine","bat","sml","med","lrg"
"t8",0.688,0.944,0.612,0.555
"t9",0.688,0.944,0.612,0.555
"t10",0.688,0.944,0.612,0.555
"t13",0.688,0.944,0.612,0.555
"t16",0.688,0.944,0.612,0.555
"t18",0.688,0.944,0.612,0.555
"t27",0.688,0.944,0.612,0.555
"t31",0.688,0.944,0.612,0.555
"t34",0.688,0.944,0.612,0.555
"t37",0.688,0.944,0.612,0.555
"t42",0.688,0.944,0.612,0.555
"t55",0.688,0.944,0.612,0.555
"t61",0.688,0.944,0.612,0.555
"t67",0.688,0.944,0.612,0.555
"t70",0.688,0.944,0.612,0.555
"t72",0.688,0.944,0.612,0.555
"t78",0.688,0.944,0.612,0.555
"t80",0.688,0.944,0.612,0.555
"t81",0.688,0.944,0.612,0.555
"t87",0.688,0.944,0.612,0.555
"t91",0.688,0.944,0.612,0.555
"t94",0.688,0.944,0.612,0.555
"t96",0.688,0.944,0.612,0.555
