"pkID","Size","Season","Visibility","s1","s2","s3","s4","s5"
"pk1","bat","spring","RP",0,0,0,0,0
"pk2","bat","spring","RP",0,0,0,0,0
"pk3","bat","spring","RP",0,1,NA,NA,NA
"pk4","bat","spring","RP",1,NA,NA,NA,NA
"pk5","bat","spring","RP",1,NA,NA,NA,NA
"pk6","bat","spring","RP",1,NA,NA,NA,NA
"pk7","bat","spring","RP",1,NA,NA,NA,NA
"pk8","bat","spring","RP",1,NA,NA,NA,NA
"pk9","bat","spring","RP",1,NA,NA,NA,NA
"pk10","bat","spring","RP",1,NA,NA,NA,NA
"pk11","bat","spring","RP",0,1,NA,NA,NA
"pk12","bat","spring","RP",0,0,0,0,1
"pk13","bat","spring","RP",1,NA,NA,NA,NA
"pk14","bat","spring","RP",1,NA,NA,NA,NA
"pk15","bat","spring","RP",0,1,NA,NA,NA
"pk16","bat","spring","RP",1,NA,NA,NA,NA
"pk17","bat","spring","RP",1,NA,NA,NA,NA
"pk18","bat","spring","RP",1,NA,NA,NA,NA
"pk19","bat","spring","RP",0,0,1,NA,NA
"pk20","bat","spring","RP",1,NA,NA,NA,NA
"pk21","bat","summer","RP",1,NA,NA,NA,NA
"pk22","bat","summer","RP",0,0,0,1,NA
"pk23","bat","summer","RP",1,NA,NA,NA,NA
"pk24","bat","summer","RP",1,NA,NA,NA,NA
"pk25","bat","summer","RP",1,NA,NA,NA,NA
"pk26","bat","summer","RP",0,0,1,NA,NA
"pk27","bat","summer","RP",1,NA,NA,NA,NA
"pk28","bat","summer","RP",1,NA,NA,NA,NA
"pk29","bat","summer","RP",1,NA,NA,NA,NA
"pk30","bat","summer","RP",1,NA,NA,NA,NA
"pk31","bat","summer","RP",1,NA,NA,NA,NA
"pk32","bat","summer","RP",0,0,0,0,0
"pk33","bat","summer","RP",0,0,1,NA,NA
"pk34","bat","summer","RP",1,NA,NA,NA,NA
"pk35","bat","summer","RP",1,NA,NA,NA,NA
"pk36","bat","summer","RP",1,NA,NA,NA,NA
"pk37","bat","summer","RP",0,1,NA,NA,NA
"pk38","bat","summer","RP",1,NA,NA,NA,NA
"pk39","bat","summer","RP",1,NA,NA,NA,NA
"pk40","bat","summer","RP",1,NA,NA,NA,NA
"pk41","bat","fall","RP",0,0,0,1,NA
"pk42","bat","fall","RP",0,1,NA,NA,NA
"pk43","bat","fall","RP",1,NA,NA,NA,NA
"pk44","bat","fall","RP",0,1,NA,NA,NA
"pk45","bat","fall","RP",1,NA,NA,NA,NA
"pk46","bat","fall","RP",1,NA,NA,NA,NA
"pk47","bat","fall","RP",1,NA,NA,NA,NA
"pk48","bat","fall","RP",0,1,NA,NA,NA
"pk49","bat","fall","RP",1,NA,NA,NA,NA
"pk50","bat","fall","RP",0,0,0,0,0
"pk51","bat","fall","RP",1,NA,NA,NA,NA
"pk52","bat","fall","RP",0,0,0,0,0
"pk53","bat","fall","RP",0,1,NA,NA,NA
"pk54","bat","fall","RP",0,0,1,NA,NA
"pk55","bat","fall","RP",1,NA,NA,NA,NA
"pk56","bat","fall","RP",0,1,NA,NA,NA
"pk57","bat","fall","RP",0,0,1,NA,NA
"pk58","bat","fall","RP",0,1,NA,NA,NA
"pk59","bat","fall","RP",1,NA,NA,NA,NA
"pk60","bat","fall","RP",1,NA,NA,NA,NA
"pk61","bat","spring","M",0,0,0,0,0
"pk62","bat","spring","M",0,0,0,0,0
"pk63","bat","spring","M",0,0,0,0,0
"pk64","bat","spring","M",0,0,0,0,0
"pk65","bat","spring","M",1,NA,NA,NA,NA
"pk66","bat","spring","M",1,NA,NA,NA,NA
"pk67","bat","spring","M",0,0,1,NA,NA
"pk68","bat","spring","M",0,1,NA,NA,NA
"pk69","bat","spring","M",0,0,0,1,NA
"pk70","bat","spring","M",0,0,1,NA,NA
"pk71","bat","spring","M",0,0,0,0,0
"pk72","bat","spring","M",1,NA,NA,NA,NA
"pk73","bat","spring","M",0,0,0,0,0
"pk74","bat","spring","M",0,0,0,1,NA
"pk75","bat","spring","M",0,0,0,0,0
"pk76","bat","spring","M",0,0,0,0,0
"pk77","bat","spring","M",0,0,0,0,0
"pk78","bat","spring","M",0,0,0,1,NA
"pk79","bat","spring","M",0,1,NA,NA,NA
"pk80","bat","spring","M",0,0,0,0,0
"pk81","bat","summer","M",1,NA,NA,NA,NA
"pk82","bat","summer","M",0,0,0,0,0
"pk83","bat","summer","M",0,1,NA,NA,NA
"pk84","bat","summer","M",0,0,0,0,0
"pk85","bat","summer","M",1,NA,NA,NA,NA
"pk86","bat","summer","M",0,0,0,0,0
"pk87","bat","summer","M",0,0,0,0,1
"pk88","bat","summer","M",1,NA,NA,NA,NA
"pk89","bat","summer","M",0,1,NA,NA,NA
"pk90","bat","summer","M",0,1,NA,NA,NA
"pk91","bat","summer","M",1,NA,NA,NA,NA
"pk92","bat","summer","M",0,0,0,0,0
"pk93","bat","summer","M",1,NA,NA,NA,NA
"pk94","bat","summer","M",1,NA,NA,NA,NA
"pk95","bat","summer","M",1,NA,NA,NA,NA
"pk96","bat","summer","M",0,0,0,0,0
"pk97","bat","summer","M",1,NA,NA,NA,NA
"pk98","bat","summer","M",0,0,0,1,NA
"pk99","bat","summer","M",1,NA,NA,NA,NA
"pk100","bat","summer","M",1,NA,NA,NA,NA
"pk101","bat","fall","M",0,0,0,0,0
"pk102","bat","fall","M",0,0,0,0,0
"pk103","bat","fall","M",0,0,0,0,0
"pk104","bat","fall","M",0,0,0,1,NA
"pk105","bat","fall","M",0,0,1,NA,NA
"pk106","bat","fall","M",0,0,0,0,0
"pk107","bat","fall","M",1,NA,NA,NA,NA
"pk108","bat","fall","M",0,0,0,0,0
"pk109","bat","fall","M",0,0,1,NA,NA
"pk110","bat","fall","M",0,0,0,0,0
"pk111","bat","fall","M",1,NA,NA,NA,NA
"pk112","bat","fall","M",0,0,0,0,0
"pk113","bat","fall","M",0,0,1,NA,NA
"pk114","bat","fall","M",0,0,0,0,0
"pk115","bat","fall","M",1,NA,NA,NA,NA
"pk116","bat","fall","M",0,0,1,NA,NA
"pk117","bat","fall","M",1,NA,NA,NA,NA
"pk118","bat","fall","M",1,NA,NA,NA,NA
"pk119","bat","fall","M",0,0,0,0,0
"pk120","bat","fall","M",1,NA,NA,NA,NA
"pk121","bat","spring","D",0,0,0,0,0
"pk122","bat","spring","D",0,0,0,0,0
"pk123","bat","spring","D",0,0,0,0,0
"pk124","bat","spring","D",0,0,0,0,0
"pk125","bat","spring","D",0,0,0,0,0
"pk126","bat","spring","D",0,0,0,0,0
"pk127","bat","spring","D",0,0,0,0,0
"pk128","bat","spring","D",0,0,0,0,0
"pk129","bat","spring","D",0,0,0,0,0
"pk130","bat","spring","D",0,0,1,NA,NA
"pk131","bat","spring","D",0,0,0,0,0
"pk132","bat","spring","D",0,0,0,0,0
"pk133","bat","spring","D",0,0,0,0,0
"pk134","bat","spring","D",0,1,NA,NA,NA
"pk135","bat","spring","D",1,NA,NA,NA,NA
"pk136","bat","spring","D",0,1,NA,NA,NA
"pk137","bat","spring","D",0,0,0,0,0
"pk138","bat","spring","D",1,NA,NA,NA,NA
"pk139","bat","spring","D",0,0,0,0,0
"pk140","bat","spring","D",0,0,0,0,0
"pk141","bat","summer","D",0,0,0,0,0
"pk142","bat","summer","D",0,0,0,0,0
"pk143","bat","summer","D",0,0,0,0,0
"pk144","bat","summer","D",0,1,NA,NA,NA
"pk145","bat","summer","D",0,0,0,0,1
"pk146","bat","summer","D",0,0,0,0,0
"pk147","bat","summer","D",0,0,1,NA,NA
"pk148","bat","summer","D",0,0,0,0,0
"pk149","bat","summer","D",0,0,0,0,0
"pk150","bat","summer","D",0,0,0,0,0
"pk151","bat","summer","D",0,0,0,0,0
"pk152","bat","summer","D",0,0,0,0,0
"pk153","bat","summer","D",1,NA,NA,NA,NA
"pk154","bat","summer","D",0,0,0,0,0
"pk155","bat","summer","D",0,0,0,0,0
"pk156","bat","summer","D",1,NA,NA,NA,NA
"pk157","bat","summer","D",0,0,0,0,0
"pk158","bat","summer","D",0,0,0,0,0
"pk159","bat","summer","D",0,0,0,0,0
"pk160","bat","summer","D",1,NA,NA,NA,NA
"pk161","bat","fall","D",1,NA,NA,NA,NA
"pk162","bat","fall","D",0,0,0,0,0
"pk163","bat","fall","D",0,0,0,0,0
"pk164","bat","fall","D",0,0,0,0,0
"pk165","bat","fall","D",0,0,0,0,0
"pk166","bat","fall","D",0,0,0,1,NA
"pk167","bat","fall","D",0,0,0,0,0
"pk168","bat","fall","D",1,NA,NA,NA,NA
"pk169","bat","fall","D",0,0,0,0,0
"pk170","bat","fall","D",0,0,0,0,0
"pk171","bat","fall","D",1,NA,NA,NA,NA
"pk172","bat","fall","D",0,0,0,0,0
"pk173","bat","fall","D",0,0,0,0,0
"pk174","bat","fall","D",0,0,0,0,0
"pk175","bat","fall","D",0,0,0,0,0
"pk176","bat","fall","D",0,0,0,0,0
"pk177","bat","fall","D",0,0,0,0,0
"pk178","bat","fall","D",0,0,0,0,0
"pk179","bat","fall","D",0,1,NA,NA,NA
"pk180","bat","fall","D",0,1,NA,NA,NA
"pk181","sml","spring","RP",1,NA,NA,NA,NA
"pk182","sml","spring","RP",1,NA,NA,NA,NA
"pk183","sml","spring","RP",0,0,0,0,0
"pk184","sml","spring","RP",1,NA,NA,NA,NA
"pk185","sml","spring","RP",0,0,1,NA,NA
"pk186","sml","spring","RP",1,NA,NA,NA,NA
"pk187","sml","spring","RP",1,NA,NA,NA,NA
"pk188","sml","spring","RP",1,NA,NA,NA,NA
"pk189","sml","spring","RP",0,0,0,0,1
"pk190","sml","spring","RP",0,1,NA,NA,NA
"pk191","sml","spring","RP",1,NA,NA,NA,NA
"pk192","sml","spring","RP",0,0,1,NA,NA
"pk193","sml","spring","RP",1,NA,NA,NA,NA
"pk194","sml","spring","RP",1,NA,NA,NA,NA
"pk195","sml","spring","RP",1,NA,NA,NA,NA
"pk196","sml","spring","RP",0,0,1,NA,NA
"pk197","sml","spring","RP",1,NA,NA,NA,NA
"pk198","sml","spring","RP",1,NA,NA,NA,NA
"pk199","sml","spring","RP",1,NA,NA,NA,NA
"pk200","sml","spring","RP",0,1,NA,NA,NA
"pk201","sml","summer","RP",0,1,NA,NA,NA
"pk202","sml","summer","RP",0,0,1,NA,NA
"pk203","sml","summer","RP",1,NA,NA,NA,NA
"pk204","sml","summer","RP",1,NA,NA,NA,NA
"pk205","sml","summer","RP",1,NA,NA,NA,NA
"pk206","sml","summer","RP",0,1,NA,NA,NA
"pk207","sml","summer","RP",1,NA,NA,NA,NA
"pk208","sml","summer","RP",1,NA,NA,NA,NA
"pk209","sml","summer","RP",1,NA,NA,NA,NA
"pk210","sml","summer","RP",0,1,NA,NA,NA
"pk211","sml","summer","RP",1,NA,NA,NA,NA
"pk212","sml","summer","RP",1,NA,NA,NA,NA
"pk213","sml","summer","RP",0,1,NA,NA,NA
"pk214","sml","summer","RP",1,NA,NA,NA,NA
"pk215","sml","summer","RP",0,0,1,NA,NA
"pk216","sml","summer","RP",0,0,0,0,1
"pk217","sml","summer","RP",0,1,NA,NA,NA
"pk218","sml","summer","RP",1,NA,NA,NA,NA
"pk219","sml","summer","RP",1,NA,NA,NA,NA
"pk220","sml","summer","RP",1,NA,NA,NA,NA
"pk221","sml","fall","RP",1,NA,NA,NA,NA
"pk222","sml","fall","RP",1,NA,NA,NA,NA
"pk223","sml","fall","RP",1,NA,NA,NA,NA
"pk224","sml","fall","RP",0,1,NA,NA,NA
"pk225","sml","fall","RP",1,NA,NA,NA,NA
"pk226","sml","fall","RP",1,NA,NA,NA,NA
"pk227","sml","fall","RP",1,NA,NA,NA,NA
"pk228","sml","fall","RP",1,NA,NA,NA,NA
"pk229","sml","fall","RP",0,0,1,NA,NA
"pk230","sml","fall","RP",1,NA,NA,NA,NA
"pk231","sml","fall","RP",1,NA,NA,NA,NA
"pk232","sml","fall","RP",0,1,NA,NA,NA
"pk233","sml","fall","RP",1,NA,NA,NA,NA
"pk234","sml","fall","RP",1,NA,NA,NA,NA
"pk235","sml","fall","RP",0,0,1,NA,NA
"pk236","sml","fall","RP",0,0,0,0,0
"pk237","sml","fall","RP",0,1,NA,NA,NA
"pk238","sml","fall","RP",1,NA,NA,NA,NA
"pk239","sml","fall","RP",1,NA,NA,NA,NA
"pk240","sml","fall","RP",1,NA,NA,NA,NA
"pk241","sml","spring","M",0,0,1,NA,NA
"pk242","sml","spring","M",1,NA,NA,NA,NA
"pk243","sml","spring","M",0,0,0,0,0
"pk244","sml","spring","M",0,0,1,NA,NA
"pk245","sml","spring","M",1,NA,NA,NA,NA
"pk246","sml","spring","M",1,NA,NA,NA,NA
"pk247","sml","spring","M",1,NA,NA,NA,NA
"pk248","sml","spring","M",0,0,0,0,0
"pk249","sml","spring","M",0,0,1,NA,NA
"pk250","sml","spring","M",0,0,1,NA,NA
"pk251","sml","spring","M",1,NA,NA,NA,NA
"pk252","sml","spring","M",0,0,0,0,0
"pk253","sml","spring","M",0,0,0,0,0
"pk254","sml","spring","M",0,0,0,0,0
"pk255","sml","spring","M",0,1,NA,NA,NA
"pk256","sml","spring","M",1,NA,NA,NA,NA
"pk257","sml","spring","M",1,NA,NA,NA,NA
"pk258","sml","spring","M",1,NA,NA,NA,NA
"pk259","sml","spring","M",1,NA,NA,NA,NA
"pk260","sml","spring","M",0,0,0,0,0
"pk261","sml","summer","M",1,NA,NA,NA,NA
"pk262","sml","summer","M",0,0,1,NA,NA
"pk263","sml","summer","M",0,0,0,0,0
"pk264","sml","summer","M",1,NA,NA,NA,NA
"pk265","sml","summer","M",0,1,NA,NA,NA
"pk266","sml","summer","M",0,0,0,0,0
"pk267","sml","summer","M",1,NA,NA,NA,NA
"pk268","sml","summer","M",1,NA,NA,NA,NA
"pk269","sml","summer","M",0,1,NA,NA,NA
"pk270","sml","summer","M",0,0,0,0,0
"pk271","sml","summer","M",0,0,0,0,0
"pk272","sml","summer","M",0,0,0,0,0
"pk273","sml","summer","M",0,1,NA,NA,NA
